Date	Company Code	Company Name	Stock Price
1959-01-31	USOCIA2	The Museo de Arte de Jalisco	102.16
1959-02-28	USOCIA2	The Museo de Arte de Jalisco	108.36
1959-03-31	USOCIA2	The Museo de Arte de Jalisco	107.25
1959-04-30	USOCIA2	The Museo de Arte de Jalisco	102.71
1959-05-31	USOCIA2	The Museo de Arte de Jalisco	107.41
1959-06-30	USOCIA2	The Museo de Arte de Jalisco	105.72
1959-07-31	USOCIA2	The Museo de Arte de Jalisco	111.72
1959-08-31	USOCIA2	The Museo de Arte de Jalisco	105.89
1959-09-30	USOCIA2	The Museo de Arte de Jalisco	104.29
1959-10-31	USOCIA2	The Museo de Arte de Jalisco	107.43
1959-11-30	USOCIA2	The Museo de Arte de Jalisco	107.88
1959-12-31	USOCIA2	The Museo de Arte de Jalisco	108.71
1960-01-31	USOCIA2	The Museo de Arte de Jalisco	115.54
1960-02-29	USOCIA2	The Museo de Arte de Jalisco	114.87
1960-03-31	USOCIA2	The Museo de Arte de Jalisco	111.23
1960-04-30	USOCIA2	The Museo de Arte de Jalisco	103.2
1960-05-31	USOCIA2	The Museo de Arte de Jalisco	97.94
1960-06-30	USOCIA2	The Museo de Arte de Jalisco	94.52
1960-07-31	USOCIA2	The Museo de Arte de Jalisco	97.7
1960-08-31	USOCIA2	The Museo de Arte de Jalisco	103.69
1960-09-30	USOCIA2	The Museo de Arte de Jalisco	104.21
1960-10-31	USOCIA2	The Museo de Arte de Jalisco	113.03
1960-11-30	USOCIA2	The Museo de Arte de Jalisco	111.73
1960-12-31	USOCIA2	The Museo de Arte de Jalisco	105.67
1961-01-31	USOCIA2	The Museo de Arte de Jalisco	111.33
1961-02-28	USOCIA2	The Museo de Arte de Jalisco	112.25
1961-03-31	USOCIA2	The Museo de Arte de Jalisco	120.71
1961-04-30	USOCIA2	The Museo de Arte de Jalisco	119.94
1961-05-31	USOCIA2	The Museo de Arte de Jalisco	121.0
1961-06-30	USOCIA2	The Museo de Arte de Jalisco	121.0
1961-07-31	USOCIA2	The Museo de Arte de Jalisco	122.15
1961-08-31	USOCIA2	The Museo de Arte de Jalisco	125.94
1961-09-30	USOCIA2	The Museo de Arte de Jalisco	130.3
1961-10-31	USOCIA2	The Museo de Arte de Jalisco	132.94
1961-11-30	USOCIA2	The Museo de Arte de Jalisco	133.12
1961-12-31	USOCIA2	The Museo de Arte de Jalisco	132.96
1962-01-31	USOCIA2	The Museo de Arte de Jalisco	136.16
1962-02-28	USOCIA2	The Museo de Arte de Jalisco	134.26
1962-03-31	USOCIA2	The Museo de Arte de Jalisco	133.49
1962-04-30	USOCIA2	The Museo de Arte de Jalisco	132.95
1962-05-31	USOCIA2	The Museo de Arte de Jalisco	126.76
1962-06-30	USOCIA2	The Museo de Arte de Jalisco	127.05
1962-07-31	USOCIA2	The Museo de Arte de Jalisco	131.04
1962-08-31	USOCIA2	The Museo de Arte de Jalisco	129.57
1962-09-30	USOCIA2	The Museo de Arte de Jalisco	123.47
1962-10-31	USOCIA2	The Museo de Arte de Jalisco	121.09
1962-11-30	USOCIA2	The Museo de Arte de Jalisco	121.31
1962-12-31	USOCIA2	The Museo de Arte de Jalisco	114.72
1963-01-31	USOCIA2	The Museo de Arte de Jalisco	114.59
1963-02-28	USOCIA2	The Museo de Arte de Jalisco	113.52
1963-03-31	USOCIA2	The Museo de Arte de Jalisco	115.4
1963-04-30	USOCIA2	The Museo de Arte de Jalisco	115.74
1963-05-31	USOCIA2	The Museo de Arte de Jalisco	116.35
1963-06-30	USOCIA2	The Museo de Arte de Jalisco	115.55
1963-07-31	USOCIA2	The Museo de Arte de Jalisco	116.59
1963-08-31	USOCIA2	The Museo de Arte de Jalisco	112.28
1963-09-30	USOCIA2	The Museo de Arte de Jalisco	113.63
1963-10-31	USOCIA2	The Museo de Arte de Jalisco	112.41
1963-11-30	USOCIA2	The Museo de Arte de Jalisco	113.84
1963-12-31	USOCIA2	The Museo de Arte de Jalisco	114.28
1964-01-31	USOCIA2	The Museo de Arte de Jalisco	113.7
1964-02-29	USOCIA2	The Museo de Arte de Jalisco	114.56
1964-03-31	USOCIA2	The Museo de Arte de Jalisco	114.3
1964-04-30	USOCIA2	The Museo de Arte de Jalisco	121.1
1964-05-31	USOCIA2	The Museo de Arte de Jalisco	120.58
1964-06-30	USOCIA2	The Museo de Arte de Jalisco	118.81
1964-07-31	USOCIA2	The Museo de Arte de Jalisco	112.46
1964-08-31	USOCIA2	The Museo de Arte de Jalisco	112.56
1964-09-30	USOCIA2	The Museo de Arte de Jalisco	105.55
1964-10-31	USOCIA2	The Museo de Arte de Jalisco	101.24
1964-11-30	USOCIA2	The Museo de Arte de Jalisco	103.96
1964-12-31	USOCIA2	The Museo de Arte de Jalisco	104.14
1965-01-31	USOCIA2	The Museo de Arte de Jalisco	106.69
1965-02-28	USOCIA2	The Museo de Arte de Jalisco	105.42
1965-03-31	USOCIA2	The Museo de Arte de Jalisco	108.31
1965-04-30	USOCIA2	The Museo de Arte de Jalisco	109.7
1965-05-31	USOCIA2	The Museo de Arte de Jalisco	111.8
1965-06-30	USOCIA2	The Museo de Arte de Jalisco	111.42
1965-07-31	USOCIA2	The Museo de Arte de Jalisco	116.05
1965-08-31	USOCIA2	The Museo de Arte de Jalisco	113.13
1965-09-30	USOCIA2	The Museo de Arte de Jalisco	115.56
1965-10-31	USOCIA2	The Museo de Arte de Jalisco	118.43
1965-11-30	USOCIA2	The Museo de Arte de Jalisco	118.34
1965-12-31	USOCIA2	The Museo de Arte de Jalisco	110.9
1966-01-31	USOCIA2	The Museo de Arte de Jalisco	108.79
1966-02-28	USOCIA2	The Museo de Arte de Jalisco	110.45
1966-03-31	USOCIA2	The Museo de Arte de Jalisco	111.01
1966-04-30	USOCIA2	The Museo de Arte de Jalisco	113.68
1966-05-31	USOCIA2	The Museo de Arte de Jalisco	114.71
1966-06-30	USOCIA2	The Museo de Arte de Jalisco	114.65
1966-07-31	USOCIA2	The Museo de Arte de Jalisco	116.81
1966-08-31	USOCIA2	The Museo de Arte de Jalisco	112.54
1966-09-30	USOCIA2	The Museo de Arte de Jalisco	111.17
1966-10-31	USOCIA2	The Museo de Arte de Jalisco	106.28
1966-11-30	USOCIA2	The Museo de Arte de Jalisco	110.97
1966-12-31	USOCIA2	The Museo de Arte de Jalisco	103.66
1967-01-31	USOCIA2	The Museo de Arte de Jalisco	100.5
1967-02-28	USOCIA2	The Museo de Arte de Jalisco	102.06
1967-03-31	USOCIA2	The Museo de Arte de Jalisco	102.75
1967-04-30	USOCIA2	The Museo de Arte de Jalisco	102.18
1967-05-31	USOCIA2	The Museo de Arte de Jalisco	103.47
1967-06-30	USOCIA2	The Museo de Arte de Jalisco	106.5
1967-07-31	USOCIA2	The Museo de Arte de Jalisco	109.79
1967-08-31	USOCIA2	The Museo de Arte de Jalisco	112.53
1967-09-30	USOCIA2	The Museo de Arte de Jalisco	108.81
1967-10-31	USOCIA2	The Museo de Arte de Jalisco	109.36
