Date	Company Code	Company Name	Stock Price
1959-01-31	US451QA	The Museo de Arte de León	105.93
1959-02-28	US451QA	The Museo de Arte de León	113.74
1959-03-31	US451QA	The Museo de Arte de León	109.92
1959-04-30	US451QA	The Museo de Arte de León	106.87
1959-05-31	US451QA	The Museo de Arte de León	107.9
1959-06-30	US451QA	The Museo de Arte de León	103.93
1959-07-31	US451QA	The Museo de Arte de León	100.1
1959-08-31	US451QA	The Museo de Arte de León	94.18
1959-09-30	US451QA	The Museo de Arte de León	93.89
1959-10-31	US451QA	The Museo de Arte de León	91.91
1959-11-30	US451QA	The Museo de Arte de León	90.46
1959-12-31	US451QA	The Museo de Arte de León	98.59
1960-01-31	US451QA	The Museo de Arte de León	93.06
1960-02-29	US451QA	The Museo de Arte de León	98.9
1960-03-31	US451QA	The Museo de Arte de León	103.97
1960-04-30	US451QA	The Museo de Arte de León	107.96
1960-05-31	US451QA	The Museo de Arte de León	110.8
1960-06-30	US451QA	The Museo de Arte de León	108.32
1960-07-31	US451QA	The Museo de Arte de León	109.43
1960-08-31	US451QA	The Museo de Arte de León	110.17
1960-09-30	US451QA	The Museo de Arte de León	111.03
1960-10-31	US451QA	The Museo de Arte de León	116.09
1960-11-30	US451QA	The Museo de Arte de León	112.23
1960-12-31	US451QA	The Museo de Arte de León	112.17
1961-01-31	US451QA	The Museo de Arte de León	112.82
1961-02-28	US451QA	The Museo de Arte de León	121.44
1961-03-31	US451QA	The Museo de Arte de León	126.0
1961-04-30	US451QA	The Museo de Arte de León	122.7
1961-05-31	US451QA	The Museo de Arte de León	123.32
1961-06-30	US451QA	The Museo de Arte de León	125.49
1961-07-31	US451QA	The Museo de Arte de León	122.54
1961-08-31	US451QA	The Museo de Arte de León	124.96
1961-09-30	US451QA	The Museo de Arte de León	125.32
1961-10-31	US451QA	The Museo de Arte de León	127.05
1961-11-30	US451QA	The Museo de Arte de León	127.03
1961-12-31	US451QA	The Museo de Arte de León	131.91
1962-01-31	US451QA	The Museo de Arte de León	131.86
1962-02-28	US451QA	The Museo de Arte de León	133.8
1962-03-31	US451QA	The Museo de Arte de León	129.59
1962-04-30	US451QA	The Museo de Arte de León	130.19
1962-05-31	US451QA	The Museo de Arte de León	130.14
1962-06-30	US451QA	The Museo de Arte de León	134.68
1962-07-31	US451QA	The Museo de Arte de León	135.87
1962-08-31	US451QA	The Museo de Arte de León	136.7
1962-09-30	US451QA	The Museo de Arte de León	140.84
1962-10-31	US451QA	The Museo de Arte de León	143.05
1962-11-30	US451QA	The Museo de Arte de León	143.73
1962-12-31	US451QA	The Museo de Arte de León	143.59
1963-01-31	US451QA	The Museo de Arte de León	146.5
