Date	Company Code	Company Name	Stock Price
1959-01-31	USVV7D1	The Museo de Arte de Lima	104.16
1959-02-28	USVV7D1	The Museo de Arte de Lima	103.53
1959-03-31	USVV7D1	The Museo de Arte de Lima	102.95
1959-04-30	USVV7D1	The Museo de Arte de Lima	101.59
1959-05-31	USVV7D1	The Museo de Arte de Lima	96.81
1959-06-30	USVV7D1	The Museo de Arte de Lima	101.73
1959-07-31	USVV7D1	The Museo de Arte de Lima	101.69
1959-08-31	USVV7D1	The Museo de Arte de Lima	102.93
1959-09-30	USVV7D1	The Museo de Arte de Lima	103.17
1959-10-31	USVV7D1	The Museo de Arte de Lima	105.87
1959-11-30	USVV7D1	The Museo de Arte de Lima	105.13
1959-12-31	USVV7D1	The Museo de Arte de Lima	106.12
1960-01-31	USVV7D1	The Museo de Arte de Lima	106.62
1960-02-29	USVV7D1	The Museo de Arte de Lima	105.56
1960-03-31	USVV7D1	The Museo de Arte de Lima	108.7
1960-04-30	USVV7D1	The Museo de Arte de Lima	109.35
1960-05-31	USVV7D1	The Museo de Arte de Lima	109.13
1960-06-30	USVV7D1	The Museo de Arte de Lima	104.02
1960-07-31	USVV7D1	The Museo de Arte de Lima	100.8
1960-08-31	USVV7D1	The Museo de Arte de Lima	100.39
1960-09-30	USVV7D1	The Museo de Arte de Lima	102.79
1960-10-31	USVV7D1	The Museo de Arte de Lima	103.5
1960-11-30	USVV7D1	The Museo de Arte de Lima	101.47
1960-12-31	USVV7D1	The Museo de Arte de Lima	99.61
1961-01-31	USVV7D1	The Museo de Arte de Lima	104.83
1961-02-28	USVV7D1	The Museo de Arte de Lima	106.22
1961-03-31	USVV7D1	The Museo de Arte de Lima	105.12
1961-04-30	USVV7D1	The Museo de Arte de Lima	107.04
1961-05-31	USVV7D1	The Museo de Arte de Lima	112.68
1961-06-30	USVV7D1	The Museo de Arte de Lima	115.72
1961-07-31	USVV7D1	The Museo de Arte de Lima	119.21
1961-08-31	USVV7D1	The Museo de Arte de Lima	120.91
1961-09-30	USVV7D1	The Museo de Arte de Lima	121.16
1961-10-31	USVV7D1	The Museo de Arte de Lima	125.16
1961-11-30	USVV7D1	The Museo de Arte de Lima	130.89
1961-12-31	USVV7D1	The Museo de Arte de Lima	131.11
1962-01-31	USVV7D1	The Museo de Arte de Lima	133.49
1962-02-28	USVV7D1	The Museo de Arte de Lima	126.36
1962-03-31	USVV7D1	The Museo de Arte de Lima	122.37
1962-04-30	USVV7D1	The Museo de Arte de Lima	126.08
1962-05-31	USVV7D1	The Museo de Arte de Lima	127.95
1962-06-30	USVV7D1	The Museo de Arte de Lima	131.34
1962-07-31	USVV7D1	The Museo de Arte de Lima	130.33
1962-08-31	USVV7D1	The Museo de Arte de Lima	126.82
1962-09-30	USVV7D1	The Museo de Arte de Lima	128.45
1962-10-31	USVV7D1	The Museo de Arte de Lima	124.78
1962-11-30	USVV7D1	The Museo de Arte de Lima	125.61
1962-12-31	USVV7D1	The Museo de Arte de Lima	120.34
1963-01-31	USVV7D1	The Museo de Arte de Lima	120.12
1963-02-28	USVV7D1	The Museo de Arte de Lima	117.93
1963-03-31	USVV7D1	The Museo de Arte de Lima	113.64
1963-04-30	USVV7D1	The Museo de Arte de Lima	113.63
1963-05-31	USVV7D1	The Museo de Arte de Lima	121.06
1963-06-30	USVV7D1	The Museo de Arte de Lima	125.03
1963-07-31	USVV7D1	The Museo de Arte de Lima	129.51
1963-08-31	USVV7D1	The Museo de Arte de Lima	129.32
1963-09-30	USVV7D1	The Museo de Arte de Lima	128.85
1963-10-31	USVV7D1	The Museo de Arte de Lima	128.83
1963-11-30	USVV7D1	The Museo de Arte de Lima	126.67
1963-12-31	USVV7D1	The Museo de Arte de Lima	127.73
1964-01-31	USVV7D1	The Museo de Arte de Lima	122.73
1964-02-29	USVV7D1	The Museo de Arte de Lima	126.9
1964-03-31	USVV7D1	The Museo de Arte de Lima	136.61
1964-04-30	USVV7D1	The Museo de Arte de Lima	141.53
1964-05-31	USVV7D1	The Museo de Arte de Lima	137.24
1964-06-30	USVV7D1	The Museo de Arte de Lima	135.71
1964-07-31	USVV7D1	The Museo de Arte de Lima	130.52
1964-08-31	USVV7D1	The Museo de Arte de Lima	134.65
1964-09-30	USVV7D1	The Museo de Arte de Lima	137.95
