Date	Company Code	Company Name	Stock Price
1959-01-31	UST6KYB	The Museo de Arte de Michoacán	115.06
1959-02-28	UST6KYB	The Museo de Arte de Michoacán	114.08
1959-03-31	UST6KYB	The Museo de Arte de Michoacán	115.5
1959-04-30	UST6KYB	The Museo de Arte de Michoacán	116.73
1959-05-31	UST6KYB	The Museo de Arte de Michoacán	112.78
1959-06-30	UST6KYB	The Museo de Arte de Michoacán	109.48
1959-07-31	UST6KYB	The Museo de Arte de Michoacán	109.46
1959-08-31	UST6KYB	The Museo de Arte de Michoacán	113.86
1959-09-30	UST6KYB	The Museo de Arte de Michoacán	109.53
1959-10-31	UST6KYB	The Museo de Arte de Michoacán	111.82
1959-11-30	UST6KYB	The Museo de Arte de Michoacán	113.67
1959-12-31	UST6KYB	The Museo de Arte de Michoacán	117.58
1960-01-31	UST6KYB	The Museo de Arte de Michoacán	117.19
1960-02-29	UST6KYB	The Museo de Arte de Michoacán	121.4
1960-03-31	UST6KYB	The Museo de Arte de Michoacán	119.24
1960-04-30	UST6KYB	The Museo de Arte de Michoacán	112.9
1960-05-31	UST6KYB	The Museo de Arte de Michoacán	115.32
1960-06-30	UST6KYB	The Museo de Arte de Michoacán	117.09
1960-07-31	UST6KYB	The Museo de Arte de Michoacán	116.08
1960-08-31	UST6KYB	The Museo de Arte de Michoacán	115.11
1960-09-30	UST6KYB	The Museo de Arte de Michoacán	124.76
1960-10-31	UST6KYB	The Museo de Arte de Michoacán	116.46
1960-11-30	UST6KYB	The Museo de Arte de Michoacán	112.93
1960-12-31	UST6KYB	The Museo de Arte de Michoacán	117.76
1961-01-31	UST6KYB	The Museo de Arte de Michoacán	119.68
1961-02-28	UST6KYB	The Museo de Arte de Michoacán	118.49
1961-03-31	UST6KYB	The Museo de Arte de Michoacán	117.67
1961-04-30	UST6KYB	The Museo de Arte de Michoacán	117.43
1961-05-31	UST6KYB	The Museo de Arte de Michoacán	112.48
1961-06-30	UST6KYB	The Museo de Arte de Michoacán	111.88
1961-07-31	UST6KYB	The Museo de Arte de Michoacán	106.25
1961-08-31	UST6KYB	The Museo de Arte de Michoacán	96.81
1961-09-30	UST6KYB	The Museo de Arte de Michoacán	92.93
1961-10-31	UST6KYB	The Museo de Arte de Michoacán	87.45
1961-11-30	UST6KYB	The Museo de Arte de Michoacán	85.58
1961-12-31	UST6KYB	The Museo de Arte de Michoacán	82.35
1962-01-31	UST6KYB	The Museo de Arte de Michoacán	80.4
