Date	Company Code	Company Name	Stock Price
1959-01-31	USCK0YN	The Museo de Arte de Montevideo	108.13
1959-02-28	USCK0YN	The Museo de Arte de Montevideo	103.09
1959-03-31	USCK0YN	The Museo de Arte de Montevideo	105.33
1959-04-30	USCK0YN	The Museo de Arte de Montevideo	113.7
1959-05-31	USCK0YN	The Museo de Arte de Montevideo	114.15
1959-06-30	USCK0YN	The Museo de Arte de Montevideo	116.82
1959-07-31	USCK0YN	The Museo de Arte de Montevideo	122.12
1959-08-31	USCK0YN	The Museo de Arte de Montevideo	123.97
1959-09-30	USCK0YN	The Museo de Arte de Montevideo	119.93
1959-10-31	USCK0YN	The Museo de Arte de Montevideo	121.32
1959-11-30	USCK0YN	The Museo de Arte de Montevideo	116.26
1959-12-31	USCK0YN	The Museo de Arte de Montevideo	108.56
1960-01-31	USCK0YN	The Museo de Arte de Montevideo	112.71
1960-02-29	USCK0YN	The Museo de Arte de Montevideo	107.21
1960-03-31	USCK0YN	The Museo de Arte de Montevideo	109.31
1960-04-30	USCK0YN	The Museo de Arte de Montevideo	111.15
1960-05-31	USCK0YN	The Museo de Arte de Montevideo	110.5
1960-06-30	USCK0YN	The Museo de Arte de Montevideo	110.42
1960-07-31	USCK0YN	The Museo de Arte de Montevideo	108.34
1960-08-31	USCK0YN	The Museo de Arte de Montevideo	111.74
1960-09-30	USCK0YN	The Museo de Arte de Montevideo	116.7
1960-10-31	USCK0YN	The Museo de Arte de Montevideo	119.57
1960-11-30	USCK0YN	The Museo de Arte de Montevideo	117.95
1960-12-31	USCK0YN	The Museo de Arte de Montevideo	115.04
1961-01-31	USCK0YN	The Museo de Arte de Montevideo	117.91
1961-02-28	USCK0YN	The Museo de Arte de Montevideo	125.19
1961-03-31	USCK0YN	The Museo de Arte de Montevideo	119.15
1961-04-30	USCK0YN	The Museo de Arte de Montevideo	118.14
1961-05-31	USCK0YN	The Museo de Arte de Montevideo	118.63
1961-06-30	USCK0YN	The Museo de Arte de Montevideo	117.61
1961-07-31	USCK0YN	The Museo de Arte de Montevideo	116.13
1961-08-31	USCK0YN	The Museo de Arte de Montevideo	116.86
1961-09-30	USCK0YN	The Museo de Arte de Montevideo	118.15
1961-10-31	USCK0YN	The Museo de Arte de Montevideo	117.83
1961-11-30	USCK0YN	The Museo de Arte de Montevideo	111.07
1961-12-31	USCK0YN	The Museo de Arte de Montevideo	112.76
1962-01-31	USCK0YN	The Museo de Arte de Montevideo	110.76
1962-02-28	USCK0YN	The Museo de Arte de Montevideo	118.21
1962-03-31	USCK0YN	The Museo de Arte de Montevideo	115.8
1962-04-30	USCK0YN	The Museo de Arte de Montevideo	124.85
1962-05-31	USCK0YN	The Museo de Arte de Montevideo	126.04
1962-06-30	USCK0YN	The Museo de Arte de Montevideo	127.1
1962-07-31	USCK0YN	The Museo de Arte de Montevideo	131.83
1962-08-31	USCK0YN	The Museo de Arte de Montevideo	133.66
1962-09-30	USCK0YN	The Museo de Arte de Montevideo	134.29
1962-10-31	USCK0YN	The Museo de Arte de Montevideo	136.44
1962-11-30	USCK0YN	The Museo de Arte de Montevideo	136.48
1962-12-31	USCK0YN	The Museo de Arte de Montevideo	142.35
1963-01-31	USCK0YN	The Museo de Arte de Montevideo	144.08
1963-02-28	USCK0YN	The Museo de Arte de Montevideo	141.27
1963-03-31	USCK0YN	The Museo de Arte de Montevideo	141.71
1963-04-30	USCK0YN	The Museo de Arte de Montevideo	137.31
1963-05-31	USCK0YN	The Museo de Arte de Montevideo	134.34
1963-06-30	USCK0YN	The Museo de Arte de Montevideo	131.88
1963-07-31	USCK0YN	The Museo de Arte de Montevideo	133.61
1963-08-31	USCK0YN	The Museo de Arte de Montevideo	133.46
1963-09-30	USCK0YN	The Museo de Arte de Montevideo	134.1
1963-10-31	USCK0YN	The Museo de Arte de Montevideo	133.63
1963-11-30	USCK0YN	The Museo de Arte de Montevideo	129.49
1963-12-31	USCK0YN	The Museo de Arte de Montevideo	121.27
1964-01-31	USCK0YN	The Museo de Arte de Montevideo	124.14
1964-02-29	USCK0YN	The Museo de Arte de Montevideo	120.09
1964-03-31	USCK0YN	The Museo de Arte de Montevideo	119.52
1964-04-30	USCK0YN	The Museo de Arte de Montevideo	120.66
1964-05-31	USCK0YN	The Museo de Arte de Montevideo	122.56
1964-06-30	USCK0YN	The Museo de Arte de Montevideo	126.72
1964-07-31	USCK0YN	The Museo de Arte de Montevideo	127.49
1964-08-31	USCK0YN	The Museo de Arte de Montevideo	132.9
1964-09-30	USCK0YN	The Museo de Arte de Montevideo	134.93
1964-10-31	USCK0YN	The Museo de Arte de Montevideo	127.3
1964-11-30	USCK0YN	The Museo de Arte de Montevideo	127.83
1964-12-31	USCK0YN	The Museo de Arte de Montevideo	124.0
1965-01-31	USCK0YN	The Museo de Arte de Montevideo	119.21
1965-02-28	USCK0YN	The Museo de Arte de Montevideo	125.18
1965-03-31	USCK0YN	The Museo de Arte de Montevideo	127.95
1965-04-30	USCK0YN	The Museo de Arte de Montevideo	135.67
1965-05-31	USCK0YN	The Museo de Arte de Montevideo	128.16
1965-06-30	USCK0YN	The Museo de Arte de Montevideo	127.9
1965-07-31	USCK0YN	The Museo de Arte de Montevideo	126.22
1965-08-31	USCK0YN	The Museo de Arte de Montevideo	124.18
1965-09-30	USCK0YN	The Museo de Arte de Montevideo	120.06
1965-10-31	USCK0YN	The Museo de Arte de Montevideo	113.75
1965-11-30	USCK0YN	The Museo de Arte de Montevideo	113.56
1965-12-31	USCK0YN	The Museo de Arte de Montevideo	110.41
1966-01-31	USCK0YN	The Museo de Arte de Montevideo	109.63
1966-02-28	USCK0YN	The Museo de Arte de Montevideo	112.92
1966-03-31	USCK0YN	The Museo de Arte de Montevideo	112.39
1966-04-30	USCK0YN	The Museo de Arte de Montevideo	119.58
1966-05-31	USCK0YN	The Museo de Arte de Montevideo	119.43
1966-06-30	USCK0YN	The Museo de Arte de Montevideo	113.79
1966-07-31	USCK0YN	The Museo de Arte de Montevideo	112.52
1966-08-31	USCK0YN	The Museo de Arte de Montevideo	115.35
1966-09-30	USCK0YN	The Museo de Arte de Montevideo	111.02
1966-10-31	USCK0YN	The Museo de Arte de Montevideo	118.7
1966-11-30	USCK0YN	The Museo de Arte de Montevideo	111.85
1966-12-31	USCK0YN	The Museo de Arte de Montevideo	114.53
1967-01-31	USCK0YN	The Museo de Arte de Montevideo	113.61
1967-02-28	USCK0YN	The Museo de Arte de Montevideo	113.49
1967-03-31	USCK0YN	The Museo de Arte de Montevideo	116.74
1967-04-30	USCK0YN	The Museo de Arte de Montevideo	118.18
1967-05-31	USCK0YN	The Museo de Arte de Montevideo	113.41
1967-06-30	USCK0YN	The Museo de Arte de Montevideo	109.63
1967-07-31	USCK0YN	The Museo de Arte de Montevideo	108.89
1967-08-31	USCK0YN	The Museo de Arte de Montevideo	107.05
1967-09-30	USCK0YN	The Museo de Arte de Montevideo	107.45
1967-10-31	USCK0YN	The Museo de Arte de Montevideo	103.69
1967-11-30	USCK0YN	The Museo de Arte de Montevideo	102.84
1967-12-31	USCK0YN	The Museo de Arte de Montevideo	109.74
1968-01-31	USCK0YN	The Museo de Arte de Montevideo	110.02
1968-02-29	USCK0YN	The Museo de Arte de Montevideo	110.19
1968-03-31	USCK0YN	The Museo de Arte de Montevideo	114.03
1968-04-30	USCK0YN	The Museo de Arte de Montevideo	107.34
1968-05-31	USCK0YN	The Museo de Arte de Montevideo	107.89
