Date	Company Code	Company Name	Stock Price
1959-01-31	US4M7Q8	The Museo de Arte de Mérida	111.65
1959-02-28	US4M7Q8	The Museo de Arte de Mérida	117.34
1959-03-31	US4M7Q8	The Museo de Arte de Mérida	121.6
1959-04-30	US4M7Q8	The Museo de Arte de Mérida	116.58
1959-05-31	US4M7Q8	The Museo de Arte de Mérida	120.81
1959-06-30	US4M7Q8	The Museo de Arte de Mérida	121.07
1959-07-31	US4M7Q8	The Museo de Arte de Mérida	115.67
1959-08-31	US4M7Q8	The Museo de Arte de Mérida	106.56
1959-09-30	US4M7Q8	The Museo de Arte de Mérida	105.39
1959-10-31	US4M7Q8	The Museo de Arte de Mérida	103.4
1959-11-30	US4M7Q8	The Museo de Arte de Mérida	106.1
1959-12-31	US4M7Q8	The Museo de Arte de Mérida	111.61
1960-01-31	US4M7Q8	The Museo de Arte de Mérida	112.46
1960-02-29	US4M7Q8	The Museo de Arte de Mérida	112.03
1960-03-31	US4M7Q8	The Museo de Arte de Mérida	108.56
1960-04-30	US4M7Q8	The Museo de Arte de Mérida	107.26
1960-05-31	US4M7Q8	The Museo de Arte de Mérida	103.68
1960-06-30	US4M7Q8	The Museo de Arte de Mérida	102.67
1960-07-31	US4M7Q8	The Museo de Arte de Mérida	105.78
1960-08-31	US4M7Q8	The Museo de Arte de Mérida	99.75
1960-09-30	US4M7Q8	The Museo de Arte de Mérida	103.26
1960-10-31	US4M7Q8	The Museo de Arte de Mérida	104.03
1960-11-30	US4M7Q8	The Museo de Arte de Mérida	106.88
1960-12-31	US4M7Q8	The Museo de Arte de Mérida	104.4
1961-01-31	US4M7Q8	The Museo de Arte de Mérida	105.07
1961-02-28	US4M7Q8	The Museo de Arte de Mérida	104.62
1961-03-31	US4M7Q8	The Museo de Arte de Mérida	100.54
1961-04-30	US4M7Q8	The Museo de Arte de Mérida	99.71
1961-05-31	US4M7Q8	The Museo de Arte de Mérida	101.85
1961-06-30	US4M7Q8	The Museo de Arte de Mérida	103.89
1961-07-31	US4M7Q8	The Museo de Arte de Mérida	102.7
1961-08-31	US4M7Q8	The Museo de Arte de Mérida	109.19
1961-09-30	US4M7Q8	The Museo de Arte de Mérida	111.4
1961-10-31	US4M7Q8	The Museo de Arte de Mérida	114.42
1961-11-30	US4M7Q8	The Museo de Arte de Mérida	118.06
1961-12-31	US4M7Q8	The Museo de Arte de Mérida	125.59
1962-01-31	US4M7Q8	The Museo de Arte de Mérida	124.57
1962-02-28	US4M7Q8	The Museo de Arte de Mérida	130.58
1962-03-31	US4M7Q8	The Museo de Arte de Mérida	134.19
1962-04-30	US4M7Q8	The Museo de Arte de Mérida	135.75
1962-05-31	US4M7Q8	The Museo de Arte de Mérida	135.64
1962-06-30	US4M7Q8	The Museo de Arte de Mérida	134.23
1962-07-31	US4M7Q8	The Museo de Arte de Mérida	137.05
1962-08-31	US4M7Q8	The Museo de Arte de Mérida	137.87
1962-09-30	US4M7Q8	The Museo de Arte de Mérida	137.91
1962-10-31	US4M7Q8	The Museo de Arte de Mérida	139.59
1962-11-30	US4M7Q8	The Museo de Arte de Mérida	140.28
1962-12-31	US4M7Q8	The Museo de Arte de Mérida	137.64
1963-01-31	US4M7Q8	The Museo de Arte de Mérida	133.09
1963-02-28	US4M7Q8	The Museo de Arte de Mérida	132.71
1963-03-31	US4M7Q8	The Museo de Arte de Mérida	137.76
1963-04-30	US4M7Q8	The Museo de Arte de Mérida	136.82
1963-05-31	US4M7Q8	The Museo de Arte de Mérida	133.83
1963-06-30	US4M7Q8	The Museo de Arte de Mérida	130.15
1963-07-31	US4M7Q8	The Museo de Arte de Mérida	133.11
1963-08-31	US4M7Q8	The Museo de Arte de Mérida	138.23
1963-09-30	US4M7Q8	The Museo de Arte de Mérida	137.08
1963-10-31	US4M7Q8	The Museo de Arte de Mérida	135.29
1963-11-30	US4M7Q8	The Museo de Arte de Mérida	131.82
1963-12-31	US4M7Q8	The Museo de Arte de Mérida	135.51
1964-01-31	US4M7Q8	The Museo de Arte de Mérida	134.89
1964-02-29	US4M7Q8	The Museo de Arte de Mérida	133.77
1964-03-31	US4M7Q8	The Museo de Arte de Mérida	138.65
1964-04-30	US4M7Q8	The Museo de Arte de Mérida	143.06
1964-05-31	US4M7Q8	The Museo de Arte de Mérida	141.84
1964-06-30	US4M7Q8	The Museo de Arte de Mérida	136.48
1964-07-31	US4M7Q8	The Museo de Arte de Mérida	138.63
1964-08-31	US4M7Q8	The Museo de Arte de Mérida	144.64
1964-09-30	US4M7Q8	The Museo de Arte de Mérida	148.54
1964-10-31	US4M7Q8	The Museo de Arte de Mérida	147.45
1964-11-30	US4M7Q8	The Museo de Arte de Mérida	149.13
1964-12-31	US4M7Q8	The Museo de Arte de Mérida	147.91
1965-01-31	US4M7Q8	The Museo de Arte de Mérida	146.18
1965-02-28	US4M7Q8	The Museo de Arte de Mérida	140.67
1965-03-31	US4M7Q8	The Museo de Arte de Mérida	140.13
1965-04-30	US4M7Q8	The Museo de Arte de Mérida	142.84
1965-05-31	US4M7Q8	The Museo de Arte de Mérida	148.02
1965-06-30	US4M7Q8	The Museo de Arte de Mérida	150.62
1965-07-31	US4M7Q8	The Museo de Arte de Mérida	154.93
1965-08-31	US4M7Q8	The Museo de Arte de Mérida	150.3
1965-09-30	US4M7Q8	The Museo de Arte de Mérida	156.22
1965-10-31	US4M7Q8	The Museo de Arte de Mérida	163.92
1965-11-30	US4M7Q8	The Museo de Arte de Mérida	167.37
1965-12-31	US4M7Q8	The Museo de Arte de Mérida	171.17
1966-01-31	US4M7Q8	The Museo de Arte de Mérida	179.78
1966-02-28	US4M7Q8	The Museo de Arte de Mérida	178.84
1966-03-31	US4M7Q8	The Museo de Arte de Mérida	178.13
1966-04-30	US4M7Q8	The Museo de Arte de Mérida	177.22
1966-05-31	US4M7Q8	The Museo de Arte de Mérida	179.45
1966-06-30	US4M7Q8	The Museo de Arte de Mérida	181.01
1966-07-31	US4M7Q8	The Museo de Arte de Mérida	177.8
1966-08-31	US4M7Q8	The Museo de Arte de Mérida	173.61
1966-09-30	US4M7Q8	The Museo de Arte de Mérida	180.14
1966-10-31	US4M7Q8	The Museo de Arte de Mérida	178.7
1966-11-30	US4M7Q8	The Museo de Arte de Mérida	174.32
1966-12-31	US4M7Q8	The Museo de Arte de Mérida	175.97
1967-01-31	US4M7Q8	The Museo de Arte de Mérida	171.89
1967-02-28	US4M7Q8	The Museo de Arte de Mérida	176.2
1967-03-31	US4M7Q8	The Museo de Arte de Mérida	178.24
1967-04-30	US4M7Q8	The Museo de Arte de Mérida	186.74
1967-05-31	US4M7Q8	The Museo de Arte de Mérida	186.36
1967-06-30	US4M7Q8	The Museo de Arte de Mérida	187.69
1967-07-31	US4M7Q8	The Museo de Arte de Mérida	185.75
1967-08-31	US4M7Q8	The Museo de Arte de Mérida	189.29
1967-09-30	US4M7Q8	The Museo de Arte de Mérida	190.02
1967-10-31	US4M7Q8	The Museo de Arte de Mérida	189.28
1967-11-30	US4M7Q8	The Museo de Arte de Mérida	191.31
1967-12-31	US4M7Q8	The Museo de Arte de Mérida	192.59
1968-01-31	US4M7Q8	The Museo de Arte de Mérida	191.92
1968-02-29	US4M7Q8	The Museo de Arte de Mérida	193.39
1968-03-31	US4M7Q8	The Museo de Arte de Mérida	188.15
1968-04-30	US4M7Q8	The Museo de Arte de Mérida	190.59
1968-05-31	US4M7Q8	The Museo de Arte de Mérida	193.08
1968-06-30	US4M7Q8	The Museo de Arte de Mérida	195.23
1968-07-31	US4M7Q8	The Museo de Arte de Mérida	195.64
1968-08-31	US4M7Q8	The Museo de Arte de Mérida	198.35
1968-09-30	US4M7Q8	The Museo de Arte de Mérida	195.07
1968-10-31	US4M7Q8	The Museo de Arte de Mérida	197.27
1968-11-30	US4M7Q8	The Museo de Arte de Mérida	196.31
1968-12-31	US4M7Q8	The Museo de Arte de Mérida	191.04
1969-01-31	US4M7Q8	The Museo de Arte de Mérida	194.3
1969-02-28	US4M7Q8	The Museo de Arte de Mérida	194.97
1969-03-31	US4M7Q8	The Museo de Arte de Mérida	196.6
1969-04-30	US4M7Q8	The Museo de Arte de Mérida	194.37
1969-05-31	US4M7Q8	The Museo de Arte de Mérida	195.84
1969-06-30	US4M7Q8	The Museo de Arte de Mérida	192.77
