Date	Company Code	Company Name	Stock Price
1959-01-31	USCX292	The Museo de Arte de Nayarit	98.65
1959-02-28	USCX292	The Museo de Arte de Nayarit	106.99
1959-03-31	USCX292	The Museo de Arte de Nayarit	104.13
1959-04-30	USCX292	The Museo de Arte de Nayarit	98.36
1959-05-31	USCX292	The Museo de Arte de Nayarit	105.27
1959-06-30	USCX292	The Museo de Arte de Nayarit	111.2
1959-07-31	USCX292	The Museo de Arte de Nayarit	117.38
1959-08-31	USCX292	The Museo de Arte de Nayarit	122.12
1959-09-30	USCX292	The Museo de Arte de Nayarit	131.47
1959-10-31	USCX292	The Museo de Arte de Nayarit	138.26
1959-11-30	USCX292	The Museo de Arte de Nayarit	139.69
1959-12-31	USCX292	The Museo de Arte de Nayarit	140.07
1960-01-31	USCX292	The Museo de Arte de Nayarit	136.16
1960-02-29	USCX292	The Museo de Arte de Nayarit	140.92
1960-03-31	USCX292	The Museo de Arte de Nayarit	137.8
1960-04-30	USCX292	The Museo de Arte de Nayarit	132.86
1960-05-31	USCX292	The Museo de Arte de Nayarit	132.49
1960-06-30	USCX292	The Museo de Arte de Nayarit	138.05
1960-07-31	USCX292	The Museo de Arte de Nayarit	141.91
1960-08-31	USCX292	The Museo de Arte de Nayarit	145.5
1960-09-30	USCX292	The Museo de Arte de Nayarit	141.9
1960-10-31	USCX292	The Museo de Arte de Nayarit	140.48
1960-11-30	USCX292	The Museo de Arte de Nayarit	134.54
1960-12-31	USCX292	The Museo de Arte de Nayarit	132.66
1961-01-31	USCX292	The Museo de Arte de Nayarit	131.65
1961-02-28	USCX292	The Museo de Arte de Nayarit	131.28
1961-03-31	USCX292	The Museo de Arte de Nayarit	131.82
1961-04-30	USCX292	The Museo de Arte de Nayarit	131.83
1961-05-31	USCX292	The Museo de Arte de Nayarit	130.63
1961-06-30	USCX292	The Museo de Arte de Nayarit	133.98
1961-07-31	USCX292	The Museo de Arte de Nayarit	135.47
1961-08-31	USCX292	The Museo de Arte de Nayarit	132.83
1961-09-30	USCX292	The Museo de Arte de Nayarit	137.95
1961-10-31	USCX292	The Museo de Arte de Nayarit	135.23
1961-11-30	USCX292	The Museo de Arte de Nayarit	135.44
1961-12-31	USCX292	The Museo de Arte de Nayarit	135.99
1962-01-31	USCX292	The Museo de Arte de Nayarit	140.72
1962-02-28	USCX292	The Museo de Arte de Nayarit	143.3
1962-03-31	USCX292	The Museo de Arte de Nayarit	136.81
1962-04-30	USCX292	The Museo de Arte de Nayarit	133.11
1962-05-31	USCX292	The Museo de Arte de Nayarit	131.78
1962-06-30	USCX292	The Museo de Arte de Nayarit	130.65
1962-07-31	USCX292	The Museo de Arte de Nayarit	133.07
1962-08-31	USCX292	The Museo de Arte de Nayarit	130.7
1962-09-30	USCX292	The Museo de Arte de Nayarit	131.73
1962-10-31	USCX292	The Museo de Arte de Nayarit	129.22
1962-11-30	USCX292	The Museo de Arte de Nayarit	128.66
1962-12-31	USCX292	The Museo de Arte de Nayarit	129.72
1963-01-31	USCX292	The Museo de Arte de Nayarit	134.92
1963-02-28	USCX292	The Museo de Arte de Nayarit	132.39
1963-03-31	USCX292	The Museo de Arte de Nayarit	139.79
1963-04-30	USCX292	The Museo de Arte de Nayarit	140.75
1963-05-31	USCX292	The Museo de Arte de Nayarit	140.01
1963-06-30	USCX292	The Museo de Arte de Nayarit	140.18
1963-07-31	USCX292	The Museo de Arte de Nayarit	140.16
1963-08-31	USCX292	The Museo de Arte de Nayarit	137.61
1963-09-30	USCX292	The Museo de Arte de Nayarit	137.75
1963-10-31	USCX292	The Museo de Arte de Nayarit	144.61
1963-11-30	USCX292	The Museo de Arte de Nayarit	143.27
1963-12-31	USCX292	The Museo de Arte de Nayarit	139.78
1964-01-31	USCX292	The Museo de Arte de Nayarit	139.32
1964-02-29	USCX292	The Museo de Arte de Nayarit	143.0
1964-03-31	USCX292	The Museo de Arte de Nayarit	144.71
1964-04-30	USCX292	The Museo de Arte de Nayarit	140.54
1964-05-31	USCX292	The Museo de Arte de Nayarit	145.07
1964-06-30	USCX292	The Museo de Arte de Nayarit	143.65
