Date	Company Code	Company Name	Stock Price
1959-01-31	USREN2F	The Museo de Arte de Oaxaca	89.41
1959-02-28	USREN2F	The Museo de Arte de Oaxaca	90.21
1959-03-31	USREN2F	The Museo de Arte de Oaxaca	85.66
1959-04-30	USREN2F	The Museo de Arte de Oaxaca	83.89
1959-05-31	USREN2F	The Museo de Arte de Oaxaca	88.45
1959-06-30	USREN2F	The Museo de Arte de Oaxaca	84.2
1959-07-31	USREN2F	The Museo de Arte de Oaxaca	83.58
1959-08-31	USREN2F	The Museo de Arte de Oaxaca	82.61
1959-09-30	USREN2F	The Museo de Arte de Oaxaca	88.35
1959-10-31	USREN2F	The Museo de Arte de Oaxaca	92.4
1959-11-30	USREN2F	The Museo de Arte de Oaxaca	94.08
1959-12-31	USREN2F	The Museo de Arte de Oaxaca	94.6
1960-01-31	USREN2F	The Museo de Arte de Oaxaca	98.02
1960-02-29	USREN2F	The Museo de Arte de Oaxaca	97.52
1960-03-31	USREN2F	The Museo de Arte de Oaxaca	93.1
1960-04-30	USREN2F	The Museo de Arte de Oaxaca	95.8
1960-05-31	USREN2F	The Museo de Arte de Oaxaca	91.39
1960-06-30	USREN2F	The Museo de Arte de Oaxaca	90.46
1960-07-31	USREN2F	The Museo de Arte de Oaxaca	87.12
1960-08-31	USREN2F	The Museo de Arte de Oaxaca	83.64
1960-09-30	USREN2F	The Museo de Arte de Oaxaca	84.16
1960-10-31	USREN2F	The Museo de Arte de Oaxaca	83.18
1960-11-30	USREN2F	The Museo de Arte de Oaxaca	83.6
1960-12-31	USREN2F	The Museo de Arte de Oaxaca	88.11
1961-01-31	USREN2F	The Museo de Arte de Oaxaca	85.81
1961-02-28	USREN2F	The Museo de Arte de Oaxaca	83.66
1961-03-31	USREN2F	The Museo de Arte de Oaxaca	82.77
1961-04-30	USREN2F	The Museo de Arte de Oaxaca	79.03
1961-05-31	USREN2F	The Museo de Arte de Oaxaca	78.37
1961-06-30	USREN2F	The Museo de Arte de Oaxaca	72.53
1961-07-31	USREN2F	The Museo de Arte de Oaxaca	75.59
1961-08-31	USREN2F	The Museo de Arte de Oaxaca	73.71
1961-09-30	USREN2F	The Museo de Arte de Oaxaca	74.81
1961-10-31	USREN2F	The Museo de Arte de Oaxaca	73.11
