Date	Company Code	Company Name	Stock Price
1959-01-31	USGQWIT	The Museo de Arte de Ponce	94.1
1959-02-28	USGQWIT	The Museo de Arte de Ponce	91.56
1959-03-31	USGQWIT	The Museo de Arte de Ponce	87.25
1959-04-30	USGQWIT	The Museo de Arte de Ponce	79.3
1959-05-31	USGQWIT	The Museo de Arte de Ponce	82.31
1959-06-30	USGQWIT	The Museo de Arte de Ponce	76.92
1959-07-31	USGQWIT	The Museo de Arte de Ponce	72.63
1959-08-31	USGQWIT	The Museo de Arte de Ponce	75.86
1959-09-30	USGQWIT	The Museo de Arte de Ponce	85.4
1959-10-31	USGQWIT	The Museo de Arte de Ponce	86.05
1959-11-30	USGQWIT	The Museo de Arte de Ponce	89.13
1959-12-31	USGQWIT	The Museo de Arte de Ponce	87.53
1960-01-31	USGQWIT	The Museo de Arte de Ponce	87.62
1960-02-29	USGQWIT	The Museo de Arte de Ponce	89.17
1960-03-31	USGQWIT	The Museo de Arte de Ponce	88.04
1960-04-30	USGQWIT	The Museo de Arte de Ponce	88.77
1960-05-31	USGQWIT	The Museo de Arte de Ponce	90.54
1960-06-30	USGQWIT	The Museo de Arte de Ponce	86.67
1960-07-31	USGQWIT	The Museo de Arte de Ponce	87.71
1960-08-31	USGQWIT	The Museo de Arte de Ponce	92.38
1960-09-30	USGQWIT	The Museo de Arte de Ponce	96.69
1960-10-31	USGQWIT	The Museo de Arte de Ponce	96.63
1960-11-30	USGQWIT	The Museo de Arte de Ponce	98.6
1960-12-31	USGQWIT	The Museo de Arte de Ponce	92.94
1961-01-31	USGQWIT	The Museo de Arte de Ponce	92.29
1961-02-28	USGQWIT	The Museo de Arte de Ponce	89.88
1961-03-31	USGQWIT	The Museo de Arte de Ponce	89.87
1961-04-30	USGQWIT	The Museo de Arte de Ponce	90.83
1961-05-31	USGQWIT	The Museo de Arte de Ponce	90.44
1961-06-30	USGQWIT	The Museo de Arte de Ponce	90.77
1961-07-31	USGQWIT	The Museo de Arte de Ponce	90.58
1961-08-31	USGQWIT	The Museo de Arte de Ponce	91.06
1961-09-30	USGQWIT	The Museo de Arte de Ponce	87.4
1961-10-31	USGQWIT	The Museo de Arte de Ponce	89.41
1961-11-30	USGQWIT	The Museo de Arte de Ponce	92.17
