Date	Company Code	Company Name	Stock Price
1959-01-31	USNMCZ6	The Museo de Arte de Puerto Rico	88.83
1959-02-28	USNMCZ6	The Museo de Arte de Puerto Rico	96.24
1959-03-31	USNMCZ6	The Museo de Arte de Puerto Rico	93.6
1959-04-30	USNMCZ6	The Museo de Arte de Puerto Rico	92.14
1959-05-31	USNMCZ6	The Museo de Arte de Puerto Rico	90.22
1959-06-30	USNMCZ6	The Museo de Arte de Puerto Rico	86.35
1959-07-31	USNMCZ6	The Museo de Arte de Puerto Rico	87.71
1959-08-31	USNMCZ6	The Museo de Arte de Puerto Rico	87.49
1959-09-30	USNMCZ6	The Museo de Arte de Puerto Rico	85.34
1959-10-31	USNMCZ6	The Museo de Arte de Puerto Rico	90.31
1959-11-30	USNMCZ6	The Museo de Arte de Puerto Rico	87.86
1959-12-31	USNMCZ6	The Museo de Arte de Puerto Rico	92.05
1960-01-31	USNMCZ6	The Museo de Arte de Puerto Rico	92.47
1960-02-29	USNMCZ6	The Museo de Arte de Puerto Rico	85.98
1960-03-31	USNMCZ6	The Museo de Arte de Puerto Rico	84.2
1960-04-30	USNMCZ6	The Museo de Arte de Puerto Rico	77.56
1960-05-31	USNMCZ6	The Museo de Arte de Puerto Rico	78.8
1960-06-30	USNMCZ6	The Museo de Arte de Puerto Rico	86.18
1960-07-31	USNMCZ6	The Museo de Arte de Puerto Rico	89.41
1960-08-31	USNMCZ6	The Museo de Arte de Puerto Rico	93.37
1960-09-30	USNMCZ6	The Museo de Arte de Puerto Rico	86.61
1960-10-31	USNMCZ6	The Museo de Arte de Puerto Rico	93.35
1960-11-30	USNMCZ6	The Museo de Arte de Puerto Rico	89.34
1960-12-31	USNMCZ6	The Museo de Arte de Puerto Rico	83.76
1961-01-31	USNMCZ6	The Museo de Arte de Puerto Rico	81.97
1961-02-28	USNMCZ6	The Museo de Arte de Puerto Rico	80.11
1961-03-31	USNMCZ6	The Museo de Arte de Puerto Rico	77.64
1961-04-30	USNMCZ6	The Museo de Arte de Puerto Rico	72.71
1961-05-31	USNMCZ6	The Museo de Arte de Puerto Rico	76.55
1961-06-30	USNMCZ6	The Museo de Arte de Puerto Rico	79.88
1961-07-31	USNMCZ6	The Museo de Arte de Puerto Rico	82.59
1961-08-31	USNMCZ6	The Museo de Arte de Puerto Rico	90.91
1961-09-30	USNMCZ6	The Museo de Arte de Puerto Rico	90.32
1961-10-31	USNMCZ6	The Museo de Arte de Puerto Rico	86.23
1961-11-30	USNMCZ6	The Museo de Arte de Puerto Rico	87.85
1961-12-31	USNMCZ6	The Museo de Arte de Puerto Rico	87.02
1962-01-31	USNMCZ6	The Museo de Arte de Puerto Rico	86.25
1962-02-28	USNMCZ6	The Museo de Arte de Puerto Rico	78.97
1962-03-31	USNMCZ6	The Museo de Arte de Puerto Rico	78.28
1962-04-30	USNMCZ6	The Museo de Arte de Puerto Rico	75.83
1962-05-31	USNMCZ6	The Museo de Arte de Puerto Rico	84.77
1962-06-30	USNMCZ6	The Museo de Arte de Puerto Rico	77.96
1962-07-31	USNMCZ6	The Museo de Arte de Puerto Rico	79.65
1962-08-31	USNMCZ6	The Museo de Arte de Puerto Rico	74.1
1962-09-30	USNMCZ6	The Museo de Arte de Puerto Rico	81.79
1962-10-31	USNMCZ6	The Museo de Arte de Puerto Rico	82.43
1962-11-30	USNMCZ6	The Museo de Arte de Puerto Rico	83.08
1962-12-31	USNMCZ6	The Museo de Arte de Puerto Rico	87.3
1963-01-31	USNMCZ6	The Museo de Arte de Puerto Rico	78.65
1963-02-28	USNMCZ6	The Museo de Arte de Puerto Rico	72.85
1963-03-31	USNMCZ6	The Museo de Arte de Puerto Rico	69.47
1963-04-30	USNMCZ6	The Museo de Arte de Puerto Rico	73.02
1963-05-31	USNMCZ6	The Museo de Arte de Puerto Rico	71.31
1963-06-30	USNMCZ6	The Museo de Arte de Puerto Rico	71.18
1963-07-31	USNMCZ6	The Museo de Arte de Puerto Rico	72.3
1963-08-31	USNMCZ6	The Museo de Arte de Puerto Rico	79.77
1963-09-30	USNMCZ6	The Museo de Arte de Puerto Rico	88.98
1963-10-31	USNMCZ6	The Museo de Arte de Puerto Rico	87.17
1963-11-30	USNMCZ6	The Museo de Arte de Puerto Rico	93.07
1963-12-31	USNMCZ6	The Museo de Arte de Puerto Rico	85.7
1964-01-31	USNMCZ6	The Museo de Arte de Puerto Rico	90.74
1964-02-29	USNMCZ6	The Museo de Arte de Puerto Rico	82.13
1964-03-31	USNMCZ6	The Museo de Arte de Puerto Rico	82.77
1964-04-30	USNMCZ6	The Museo de Arte de Puerto Rico	84.61
1964-05-31	USNMCZ6	The Museo de Arte de Puerto Rico	85.52
1964-06-30	USNMCZ6	The Museo de Arte de Puerto Rico	85.15
1964-07-31	USNMCZ6	The Museo de Arte de Puerto Rico	85.68
1964-08-31	USNMCZ6	The Museo de Arte de Puerto Rico	84.4
1964-09-30	USNMCZ6	The Museo de Arte de Puerto Rico	82.41
1964-10-31	USNMCZ6	The Museo de Arte de Puerto Rico	84.81
1964-11-30	USNMCZ6	The Museo de Arte de Puerto Rico	78.33
1964-12-31	USNMCZ6	The Museo de Arte de Puerto Rico	84.12
1965-01-31	USNMCZ6	The Museo de Arte de Puerto Rico	84.54
1965-02-28	USNMCZ6	The Museo de Arte de Puerto Rico	90.65
1965-03-31	USNMCZ6	The Museo de Arte de Puerto Rico	91.87
1965-04-30	USNMCZ6	The Museo de Arte de Puerto Rico	88.7
1965-05-31	USNMCZ6	The Museo de Arte de Puerto Rico	91.61
1965-06-30	USNMCZ6	The Museo de Arte de Puerto Rico	95.15
1965-07-31	USNMCZ6	The Museo de Arte de Puerto Rico	94.3
1965-08-31	USNMCZ6	The Museo de Arte de Puerto Rico	89.69
1965-09-30	USNMCZ6	The Museo de Arte de Puerto Rico	92.55
