Date	Company Code	Company Name	Stock Price
1959-01-31	US9HUWY	The Museo de Arte de Querétaro	104.91
1959-02-28	US9HUWY	The Museo de Arte de Querétaro	105.55
1959-03-31	US9HUWY	The Museo de Arte de Querétaro	107.09
1959-04-30	US9HUWY	The Museo de Arte de Querétaro	107.41
1959-05-31	US9HUWY	The Museo de Arte de Querétaro	110.86
1959-06-30	US9HUWY	The Museo de Arte de Querétaro	104.74
1959-07-31	US9HUWY	The Museo de Arte de Querétaro	104.24
1959-08-31	US9HUWY	The Museo de Arte de Querétaro	107.85
1959-09-30	US9HUWY	The Museo de Arte de Querétaro	105.07
1959-10-31	US9HUWY	The Museo de Arte de Querétaro	105.03
1959-11-30	US9HUWY	The Museo de Arte de Querétaro	109.24
1959-12-31	US9HUWY	The Museo de Arte de Querétaro	115.96
1960-01-31	US9HUWY	The Museo de Arte de Querétaro	111.08
1960-02-29	US9HUWY	The Museo de Arte de Querétaro	108.76
1960-03-31	US9HUWY	The Museo de Arte de Querétaro	107.56
1960-04-30	US9HUWY	The Museo de Arte de Querétaro	102.99
1960-05-31	US9HUWY	The Museo de Arte de Querétaro	103.8
1960-06-30	US9HUWY	The Museo de Arte de Querétaro	111.78
1960-07-31	US9HUWY	The Museo de Arte de Querétaro	105.13
1960-08-31	US9HUWY	The Museo de Arte de Querétaro	100.47
1960-09-30	US9HUWY	The Museo de Arte de Querétaro	99.18
1960-10-31	US9HUWY	The Museo de Arte de Querétaro	103.33
1960-11-30	US9HUWY	The Museo de Arte de Querétaro	98.43
1960-12-31	US9HUWY	The Museo de Arte de Querétaro	103.74
1961-01-31	US9HUWY	The Museo de Arte de Querétaro	108.37
1961-02-28	US9HUWY	The Museo de Arte de Querétaro	104.12
1961-03-31	US9HUWY	The Museo de Arte de Querétaro	101.3
1961-04-30	US9HUWY	The Museo de Arte de Querétaro	98.85
1961-05-31	US9HUWY	The Museo de Arte de Querétaro	101.7
1961-06-30	US9HUWY	The Museo de Arte de Querétaro	99.11
1961-07-31	US9HUWY	The Museo de Arte de Querétaro	100.66
1961-08-31	US9HUWY	The Museo de Arte de Querétaro	97.96
1961-09-30	US9HUWY	The Museo de Arte de Querétaro	96.93
1961-10-31	US9HUWY	The Museo de Arte de Querétaro	98.27
1961-11-30	US9HUWY	The Museo de Arte de Querétaro	100.15
1961-12-31	US9HUWY	The Museo de Arte de Querétaro	96.09
1962-01-31	US9HUWY	The Museo de Arte de Querétaro	90.8
1962-02-28	US9HUWY	The Museo de Arte de Querétaro	95.78
1962-03-31	US9HUWY	The Museo de Arte de Querétaro	94.23
1962-04-30	US9HUWY	The Museo de Arte de Querétaro	93.26
1962-05-31	US9HUWY	The Museo de Arte de Querétaro	90.23
1962-06-30	US9HUWY	The Museo de Arte de Querétaro	93.38
1962-07-31	US9HUWY	The Museo de Arte de Querétaro	95.84
1962-08-31	US9HUWY	The Museo de Arte de Querétaro	95.56
1962-09-30	US9HUWY	The Museo de Arte de Querétaro	103.43
1962-10-31	US9HUWY	The Museo de Arte de Querétaro	98.79
1962-11-30	US9HUWY	The Museo de Arte de Querétaro	101.88
1962-12-31	US9HUWY	The Museo de Arte de Querétaro	99.28
1963-01-31	US9HUWY	The Museo de Arte de Querétaro	96.09
1963-02-28	US9HUWY	The Museo de Arte de Querétaro	100.61
1963-03-31	US9HUWY	The Museo de Arte de Querétaro	97.92
1963-04-30	US9HUWY	The Museo de Arte de Querétaro	89.08
1963-05-31	US9HUWY	The Museo de Arte de Querétaro	90.82
1963-06-30	US9HUWY	The Museo de Arte de Querétaro	89.37
1963-07-31	US9HUWY	The Museo de Arte de Querétaro	86.28
1963-08-31	US9HUWY	The Museo de Arte de Querétaro	87.74
1963-09-30	US9HUWY	The Museo de Arte de Querétaro	89.89
1963-10-31	US9HUWY	The Museo de Arte de Querétaro	95.2
1963-11-30	US9HUWY	The Museo de Arte de Querétaro	86.86
1963-12-31	US9HUWY	The Museo de Arte de Querétaro	84.28
1964-01-31	US9HUWY	The Museo de Arte de Querétaro	85.92
1964-02-29	US9HUWY	The Museo de Arte de Querétaro	76.39
1964-03-31	US9HUWY	The Museo de Arte de Querétaro	69.45
