Date	Company Code	Company Name	Stock Price
1959-01-31	USE5XCI	The Museo de Arte de Quintana Roo	117.7
1959-02-28	USE5XCI	The Museo de Arte de Quintana Roo	118.24
1959-03-31	USE5XCI	The Museo de Arte de Quintana Roo	113.32
1959-04-30	USE5XCI	The Museo de Arte de Quintana Roo	116.14
1959-05-31	USE5XCI	The Museo de Arte de Quintana Roo	115.78
1959-06-30	USE5XCI	The Museo de Arte de Quintana Roo	116.43
1959-07-31	USE5XCI	The Museo de Arte de Quintana Roo	115.6
1959-08-31	USE5XCI	The Museo de Arte de Quintana Roo	112.86
1959-09-30	USE5XCI	The Museo de Arte de Quintana Roo	112.51
1959-10-31	USE5XCI	The Museo de Arte de Quintana Roo	117.94
1959-11-30	USE5XCI	The Museo de Arte de Quintana Roo	114.53
1959-12-31	USE5XCI	The Museo de Arte de Quintana Roo	118.92
1960-01-31	USE5XCI	The Museo de Arte de Quintana Roo	124.14
1960-02-29	USE5XCI	The Museo de Arte de Quintana Roo	122.6
1960-03-31	USE5XCI	The Museo de Arte de Quintana Roo	116.77
1960-04-30	USE5XCI	The Museo de Arte de Quintana Roo	114.99
1960-05-31	USE5XCI	The Museo de Arte de Quintana Roo	112.04
1960-06-30	USE5XCI	The Museo de Arte de Quintana Roo	110.4
1960-07-31	USE5XCI	The Museo de Arte de Quintana Roo	109.93
1960-08-31	USE5XCI	The Museo de Arte de Quintana Roo	118.3
1960-09-30	USE5XCI	The Museo de Arte de Quintana Roo	117.1
1960-10-31	USE5XCI	The Museo de Arte de Quintana Roo	117.53
1960-11-30	USE5XCI	The Museo de Arte de Quintana Roo	120.96
1960-12-31	USE5XCI	The Museo de Arte de Quintana Roo	117.66
1961-01-31	USE5XCI	The Museo de Arte de Quintana Roo	120.8
1961-02-28	USE5XCI	The Museo de Arte de Quintana Roo	114.43
1961-03-31	USE5XCI	The Museo de Arte de Quintana Roo	111.53
1961-04-30	USE5XCI	The Museo de Arte de Quintana Roo	106.58
1961-05-31	USE5XCI	The Museo de Arte de Quintana Roo	107.21
1961-06-30	USE5XCI	The Museo de Arte de Quintana Roo	105.25
1961-07-31	USE5XCI	The Museo de Arte de Quintana Roo	101.07
1961-08-31	USE5XCI	The Museo de Arte de Quintana Roo	102.12
1961-09-30	USE5XCI	The Museo de Arte de Quintana Roo	103.79
1961-10-31	USE5XCI	The Museo de Arte de Quintana Roo	99.27
1961-11-30	USE5XCI	The Museo de Arte de Quintana Roo	90.98
1961-12-31	USE5XCI	The Museo de Arte de Quintana Roo	82.41
1962-01-31	USE5XCI	The Museo de Arte de Quintana Roo	88.39
1962-02-28	USE5XCI	The Museo de Arte de Quintana Roo	82.92
1962-03-31	USE5XCI	The Museo de Arte de Quintana Roo	89.0
1962-04-30	USE5XCI	The Museo de Arte de Quintana Roo	86.65
1962-05-31	USE5XCI	The Museo de Arte de Quintana Roo	81.22
1962-06-30	USE5XCI	The Museo de Arte de Quintana Roo	81.06
1962-07-31	USE5XCI	The Museo de Arte de Quintana Roo	80.43
1962-08-31	USE5XCI	The Museo de Arte de Quintana Roo	79.28
1962-09-30	USE5XCI	The Museo de Arte de Quintana Roo	80.33
1962-10-31	USE5XCI	The Museo de Arte de Quintana Roo	84.75
1962-11-30	USE5XCI	The Museo de Arte de Quintana Roo	81.81
1962-12-31	USE5XCI	The Museo de Arte de Quintana Roo	81.44
1963-01-31	USE5XCI	The Museo de Arte de Quintana Roo	85.44
1963-02-28	USE5XCI	The Museo de Arte de Quintana Roo	85.26
1963-03-31	USE5XCI	The Museo de Arte de Quintana Roo	86.78
1963-04-30	USE5XCI	The Museo de Arte de Quintana Roo	89.36
1963-05-31	USE5XCI	The Museo de Arte de Quintana Roo	87.44
1963-06-30	USE5XCI	The Museo de Arte de Quintana Roo	80.9
1963-07-31	USE5XCI	The Museo de Arte de Quintana Roo	82.58
1963-08-31	USE5XCI	The Museo de Arte de Quintana Roo	85.66
1963-09-30	USE5XCI	The Museo de Arte de Quintana Roo	85.21
1963-10-31	USE5XCI	The Museo de Arte de Quintana Roo	76.23
1963-11-30	USE5XCI	The Museo de Arte de Quintana Roo	68.78
1963-12-31	USE5XCI	The Museo de Arte de Quintana Roo	62.47
1964-01-31	USE5XCI	The Museo de Arte de Quintana Roo	71.95
1964-02-29	USE5XCI	The Museo de Arte de Quintana Roo	72.84
1964-03-31	USE5XCI	The Museo de Arte de Quintana Roo	75.61
1964-04-30	USE5XCI	The Museo de Arte de Quintana Roo	72.96
1964-05-31	USE5XCI	The Museo de Arte de Quintana Roo	75.82
1964-06-30	USE5XCI	The Museo de Arte de Quintana Roo	70.71
1964-07-31	USE5XCI	The Museo de Arte de Quintana Roo	80.35
1964-08-31	USE5XCI	The Museo de Arte de Quintana Roo	80.74
1964-09-30	USE5XCI	The Museo de Arte de Quintana Roo	75.88
1964-10-31	USE5XCI	The Museo de Arte de Quintana Roo	81.8
1964-11-30	USE5XCI	The Museo de Arte de Quintana Roo	84.47
1964-12-31	USE5XCI	The Museo de Arte de Quintana Roo	86.87
1965-01-31	USE5XCI	The Museo de Arte de Quintana Roo	92.08
1965-02-28	USE5XCI	The Museo de Arte de Quintana Roo	89.63
1965-03-31	USE5XCI	The Museo de Arte de Quintana Roo	88.0
1965-04-30	USE5XCI	The Museo de Arte de Quintana Roo	81.83
1965-05-31	USE5XCI	The Museo de Arte de Quintana Roo	80.67
1965-06-30	USE5XCI	The Museo de Arte de Quintana Roo	78.28
1965-07-31	USE5XCI	The Museo de Arte de Quintana Roo	79.43
1965-08-31	USE5XCI	The Museo de Arte de Quintana Roo	88.8
1965-09-30	USE5XCI	The Museo de Arte de Quintana Roo	88.54
1965-10-31	USE5XCI	The Museo de Arte de Quintana Roo	83.18
1965-11-30	USE5XCI	The Museo de Arte de Quintana Roo	81.08
1965-12-31	USE5XCI	The Museo de Arte de Quintana Roo	77.56
1966-01-31	USE5XCI	The Museo de Arte de Quintana Roo	77.46
1966-02-28	USE5XCI	The Museo de Arte de Quintana Roo	76.54
1966-03-31	USE5XCI	The Museo de Arte de Quintana Roo	75.6
1966-04-30	USE5XCI	The Museo de Arte de Quintana Roo	80.87
1966-05-31	USE5XCI	The Museo de Arte de Quintana Roo	81.48
1966-06-30	USE5XCI	The Museo de Arte de Quintana Roo	83.76
1966-07-31	USE5XCI	The Museo de Arte de Quintana Roo	91.55
1966-08-31	USE5XCI	The Museo de Arte de Quintana Roo	90.05
1966-09-30	USE5XCI	The Museo de Arte de Quintana Roo	89.6
1966-10-31	USE5XCI	The Museo de Arte de Quintana Roo	90.54
1966-11-30	USE5XCI	The Museo de Arte de Quintana Roo	87.18
1966-12-31	USE5XCI	The Museo de Arte de Quintana Roo	85.46
1967-01-31	USE5XCI	The Museo de Arte de Quintana Roo	84.21
1967-02-28	USE5XCI	The Museo de Arte de Quintana Roo	86.07
1967-03-31	USE5XCI	The Museo de Arte de Quintana Roo	85.66
1967-04-30	USE5XCI	The Museo de Arte de Quintana Roo	87.04
1967-05-31	USE5XCI	The Museo de Arte de Quintana Roo	85.74
1967-06-30	USE5XCI	The Museo de Arte de Quintana Roo	88.55
1967-07-31	USE5XCI	The Museo de Arte de Quintana Roo	91.03
1967-08-31	USE5XCI	The Museo de Arte de Quintana Roo	92.63
1967-09-30	USE5XCI	The Museo de Arte de Quintana Roo	93.11
1967-10-31	USE5XCI	The Museo de Arte de Quintana Roo	92.12
1967-11-30	USE5XCI	The Museo de Arte de Quintana Roo	87.09
1967-12-31	USE5XCI	The Museo de Arte de Quintana Roo	84.09
1968-01-31	USE5XCI	The Museo de Arte de Quintana Roo	84.0
1968-02-29	USE5XCI	The Museo de Arte de Quintana Roo	83.72
1968-03-31	USE5XCI	The Museo de Arte de Quintana Roo	83.16
1968-04-30	USE5XCI	The Museo de Arte de Quintana Roo	86.62
1968-05-31	USE5XCI	The Museo de Arte de Quintana Roo	86.15
1968-06-30	USE5XCI	The Museo de Arte de Quintana Roo	76.29
1968-07-31	USE5XCI	The Museo de Arte de Quintana Roo	79.7
1968-08-31	USE5XCI	The Museo de Arte de Quintana Roo	84.07
1968-09-30	USE5XCI	The Museo de Arte de Quintana Roo	82.92
1968-10-31	USE5XCI	The Museo de Arte de Quintana Roo	79.43
1968-11-30	USE5XCI	The Museo de Arte de Quintana Roo	82.35
1968-12-31	USE5XCI	The Museo de Arte de Quintana Roo	83.75
1969-01-31	USE5XCI	The Museo de Arte de Quintana Roo	85.07
1969-02-28	USE5XCI	The Museo de Arte de Quintana Roo	86.7
1969-03-31	USE5XCI	The Museo de Arte de Quintana Roo	87.97
1969-04-30	USE5XCI	The Museo de Arte de Quintana Roo	94.49
1969-05-31	USE5XCI	The Museo de Arte de Quintana Roo	89.79
1969-06-30	USE5XCI	The Museo de Arte de Quintana Roo	85.69
1969-07-31	USE5XCI	The Museo de Arte de Quintana Roo	84.34
1969-08-31	USE5XCI	The Museo de Arte de Quintana Roo	78.49
1969-09-30	USE5XCI	The Museo de Arte de Quintana Roo	82.64
1969-10-31	USE5XCI	The Museo de Arte de Quintana Roo	82.84
1969-11-30	USE5XCI	The Museo de Arte de Quintana Roo	81.87
1969-12-31	USE5XCI	The Museo de Arte de Quintana Roo	78.11
1970-01-31	USE5XCI	The Museo de Arte de Quintana Roo	82.03
1970-02-28	USE5XCI	The Museo de Arte de Quintana Roo	88.81
1970-03-31	USE5XCI	The Museo de Arte de Quintana Roo	86.49
1970-04-30	USE5XCI	The Museo de Arte de Quintana Roo	83.15
1970-05-31	USE5XCI	The Museo de Arte de Quintana Roo	76.41
1970-06-30	USE5XCI	The Museo de Arte de Quintana Roo	71.71
1970-07-31	USE5XCI	The Museo de Arte de Quintana Roo	76.86
1970-08-31	USE5XCI	The Museo de Arte de Quintana Roo	76.98
1970-09-30	USE5XCI	The Museo de Arte de Quintana Roo	76.88
1970-10-31	USE5XCI	The Museo de Arte de Quintana Roo	71.44
1970-11-30	USE5XCI	The Museo de Arte de Quintana Roo	71.21
1970-12-31	USE5XCI	The Museo de Arte de Quintana Roo	77.44
1971-01-31	USE5XCI	The Museo de Arte de Quintana Roo	76.5
1971-02-28	USE5XCI	The Museo de Arte de Quintana Roo	78.87
1971-03-31	USE5XCI	The Museo de Arte de Quintana Roo	73.07
1971-04-30	USE5XCI	The Museo de Arte de Quintana Roo	72.67
1971-05-31	USE5XCI	The Museo de Arte de Quintana Roo	74.64
1971-06-30	USE5XCI	The Museo de Arte de Quintana Roo	76.34
1971-07-31	USE5XCI	The Museo de Arte de Quintana Roo	77.05
1971-08-31	USE5XCI	The Museo de Arte de Quintana Roo	78.56
1971-09-30	USE5XCI	The Museo de Arte de Quintana Roo	81.24
