Date	Company Code	Company Name	Stock Price
1959-01-31	USY5VMB	The Museo de Arte de Saltillo	96.51
1959-02-28	USY5VMB	The Museo de Arte de Saltillo	94.31
1959-03-31	USY5VMB	The Museo de Arte de Saltillo	86.93
1959-04-30	USY5VMB	The Museo de Arte de Saltillo	93.24
1959-05-31	USY5VMB	The Museo de Arte de Saltillo	95.77
1959-06-30	USY5VMB	The Museo de Arte de Saltillo	94.94
1959-07-31	USY5VMB	The Museo de Arte de Saltillo	96.61
1959-08-31	USY5VMB	The Museo de Arte de Saltillo	100.74
1959-09-30	USY5VMB	The Museo de Arte de Saltillo	97.08
1959-10-31	USY5VMB	The Museo de Arte de Saltillo	95.52
1959-11-30	USY5VMB	The Museo de Arte de Saltillo	96.95
1959-12-31	USY5VMB	The Museo de Arte de Saltillo	89.16
1960-01-31	USY5VMB	The Museo de Arte de Saltillo	92.56
1960-02-29	USY5VMB	The Museo de Arte de Saltillo	97.0
1960-03-31	USY5VMB	The Museo de Arte de Saltillo	96.68
1960-04-30	USY5VMB	The Museo de Arte de Saltillo	94.12
1960-05-31	USY5VMB	The Museo de Arte de Saltillo	93.98
1960-06-30	USY5VMB	The Museo de Arte de Saltillo	89.32
1960-07-31	USY5VMB	The Museo de Arte de Saltillo	92.58
1960-08-31	USY5VMB	The Museo de Arte de Saltillo	92.81
1960-09-30	USY5VMB	The Museo de Arte de Saltillo	88.76
1960-10-31	USY5VMB	The Museo de Arte de Saltillo	84.99
1960-11-30	USY5VMB	The Museo de Arte de Saltillo	82.47
1960-12-31	USY5VMB	The Museo de Arte de Saltillo	82.14
1961-01-31	USY5VMB	The Museo de Arte de Saltillo	82.77
1961-02-28	USY5VMB	The Museo de Arte de Saltillo	87.88
1961-03-31	USY5VMB	The Museo de Arte de Saltillo	89.6
1961-04-30	USY5VMB	The Museo de Arte de Saltillo	90.91
1961-05-31	USY5VMB	The Museo de Arte de Saltillo	87.56
1961-06-30	USY5VMB	The Museo de Arte de Saltillo	85.03
1961-07-31	USY5VMB	The Museo de Arte de Saltillo	79.57
1961-08-31	USY5VMB	The Museo de Arte de Saltillo	82.89
1961-09-30	USY5VMB	The Museo de Arte de Saltillo	78.98
1961-10-31	USY5VMB	The Museo de Arte de Saltillo	71.89
1961-11-30	USY5VMB	The Museo de Arte de Saltillo	65.37
1961-12-31	USY5VMB	The Museo de Arte de Saltillo	67.17
1962-01-31	USY5VMB	The Museo de Arte de Saltillo	70.59
1962-02-28	USY5VMB	The Museo de Arte de Saltillo	70.33
1962-03-31	USY5VMB	The Museo de Arte de Saltillo	76.64
1962-04-30	USY5VMB	The Museo de Arte de Saltillo	77.23
1962-05-31	USY5VMB	The Museo de Arte de Saltillo	76.62
1962-06-30	USY5VMB	The Museo de Arte de Saltillo	77.42
1962-07-31	USY5VMB	The Museo de Arte de Saltillo	71.19
1962-08-31	USY5VMB	The Museo de Arte de Saltillo	66.83
1962-09-30	USY5VMB	The Museo de Arte de Saltillo	65.7
1962-10-31	USY5VMB	The Museo de Arte de Saltillo	61.81
1962-11-30	USY5VMB	The Museo de Arte de Saltillo	71.07
1962-12-31	USY5VMB	The Museo de Arte de Saltillo	67.6
1963-01-31	USY5VMB	The Museo de Arte de Saltillo	68.75
1963-02-28	USY5VMB	The Museo de Arte de Saltillo	65.8
1963-03-31	USY5VMB	The Museo de Arte de Saltillo	66.74
1963-04-30	USY5VMB	The Museo de Arte de Saltillo	69.8
1963-05-31	USY5VMB	The Museo de Arte de Saltillo	70.71
1963-06-30	USY5VMB	The Museo de Arte de Saltillo	73.85
1963-07-31	USY5VMB	The Museo de Arte de Saltillo	71.17
1963-08-31	USY5VMB	The Museo de Arte de Saltillo	72.24
1963-09-30	USY5VMB	The Museo de Arte de Saltillo	68.47
1963-10-31	USY5VMB	The Museo de Arte de Saltillo	71.4
1963-11-30	USY5VMB	The Museo de Arte de Saltillo	72.48
1963-12-31	USY5VMB	The Museo de Arte de Saltillo	71.95
1964-01-31	USY5VMB	The Museo de Arte de Saltillo	69.95
1964-02-29	USY5VMB	The Museo de Arte de Saltillo	67.0
1964-03-31	USY5VMB	The Museo de Arte de Saltillo	64.65
1964-04-30	USY5VMB	The Museo de Arte de Saltillo	66.45
1964-05-31	USY5VMB	The Museo de Arte de Saltillo	69.07
1964-06-30	USY5VMB	The Museo de Arte de Saltillo	71.66
1964-07-31	USY5VMB	The Museo de Arte de Saltillo	73.22
1964-08-31	USY5VMB	The Museo de Arte de Saltillo	73.29
1964-09-30	USY5VMB	The Museo de Arte de Saltillo	63.75
1964-10-31	USY5VMB	The Museo de Arte de Saltillo	65.69
1964-11-30	USY5VMB	The Museo de Arte de Saltillo	65.2
1964-12-31	USY5VMB	The Museo de Arte de Saltillo	63.85
1965-01-31	USY5VMB	The Museo de Arte de Saltillo	61.86
1965-02-28	USY5VMB	The Museo de Arte de Saltillo	61.73
1965-03-31	USY5VMB	The Museo de Arte de Saltillo	60.33
1965-04-30	USY5VMB	The Museo de Arte de Saltillo	61.85
