Date	Company Code	Company Name	Stock Price
1959-01-31	USUI62R	The Museo de Arte de San José	109.47
1959-02-28	USUI62R	The Museo de Arte de San José	117.62
1959-03-31	USUI62R	The Museo de Arte de San José	121.77
1959-04-30	USUI62R	The Museo de Arte de San José	122.03
1959-05-31	USUI62R	The Museo de Arte de San José	114.97
1959-06-30	USUI62R	The Museo de Arte de San José	121.6
1959-07-31	USUI62R	The Museo de Arte de San José	119.19
1959-08-31	USUI62R	The Museo de Arte de San José	124.72
1959-09-30	USUI62R	The Museo de Arte de San José	125.69
1959-10-31	USUI62R	The Museo de Arte de San José	125.17
1959-11-30	USUI62R	The Museo de Arte de San José	117.25
1959-12-31	USUI62R	The Museo de Arte de San José	109.08
1960-01-31	USUI62R	The Museo de Arte de San José	107.37
1960-02-29	USUI62R	The Museo de Arte de San José	112.51
1960-03-31	USUI62R	The Museo de Arte de San José	116.49
1960-04-30	USUI62R	The Museo de Arte de San José	118.48
1960-05-31	USUI62R	The Museo de Arte de San José	119.84
1960-06-30	USUI62R	The Museo de Arte de San José	122.61
1960-07-31	USUI62R	The Museo de Arte de San José	122.8
1960-08-31	USUI62R	The Museo de Arte de San José	115.87
1960-09-30	USUI62R	The Museo de Arte de San José	116.72
1960-10-31	USUI62R	The Museo de Arte de San José	120.78
1960-11-30	USUI62R	The Museo de Arte de San José	120.36
1960-12-31	USUI62R	The Museo de Arte de San José	120.34
1961-01-31	USUI62R	The Museo de Arte de San José	122.53
1961-02-28	USUI62R	The Museo de Arte de San José	126.49
1961-03-31	USUI62R	The Museo de Arte de San José	133.31
1961-04-30	USUI62R	The Museo de Arte de San José	136.21
1961-05-31	USUI62R	The Museo de Arte de San José	137.13
1961-06-30	USUI62R	The Museo de Arte de San José	137.33
1961-07-31	USUI62R	The Museo de Arte de San José	143.11
1961-08-31	USUI62R	The Museo de Arte de San José	143.1
1961-09-30	USUI62R	The Museo de Arte de San José	142.16
1961-10-31	USUI62R	The Museo de Arte de San José	141.75
1961-11-30	USUI62R	The Museo de Arte de San José	144.49
1961-12-31	USUI62R	The Museo de Arte de San José	140.23
1962-01-31	USUI62R	The Museo de Arte de San José	142.55
1962-02-28	USUI62R	The Museo de Arte de San José	146.3
1962-03-31	USUI62R	The Museo de Arte de San José	150.13
1962-04-30	USUI62R	The Museo de Arte de San José	144.28
1962-05-31	USUI62R	The Museo de Arte de San José	146.01
1962-06-30	USUI62R	The Museo de Arte de San José	149.86
1962-07-31	USUI62R	The Museo de Arte de San José	152.86
1962-08-31	USUI62R	The Museo de Arte de San José	150.99
1962-09-30	USUI62R	The Museo de Arte de San José	147.08
1962-10-31	USUI62R	The Museo de Arte de San José	147.97
1962-11-30	USUI62R	The Museo de Arte de San José	153.18
1962-12-31	USUI62R	The Museo de Arte de San José	147.58
1963-01-31	USUI62R	The Museo de Arte de San José	147.49
1963-02-28	USUI62R	The Museo de Arte de San José	151.57
1963-03-31	USUI62R	The Museo de Arte de San José	146.71
1963-04-30	USUI62R	The Museo de Arte de San José	145.94
1963-05-31	USUI62R	The Museo de Arte de San José	149.15
1963-06-30	USUI62R	The Museo de Arte de San José	142.54
1963-07-31	USUI62R	The Museo de Arte de San José	142.9
1963-08-31	USUI62R	The Museo de Arte de San José	145.24
1963-09-30	USUI62R	The Museo de Arte de San José	151.07
1963-10-31	USUI62R	The Museo de Arte de San José	154.05
1963-11-30	USUI62R	The Museo de Arte de San José	161.19
1963-12-31	USUI62R	The Museo de Arte de San José	165.22
1964-01-31	USUI62R	The Museo de Arte de San José	167.4
1964-02-29	USUI62R	The Museo de Arte de San José	159.05
1964-03-31	USUI62R	The Museo de Arte de San José	166.96
1964-04-30	USUI62R	The Museo de Arte de San José	167.65
1964-05-31	USUI62R	The Museo de Arte de San José	166.01
1964-06-30	USUI62R	The Museo de Arte de San José	160.1
1964-07-31	USUI62R	The Museo de Arte de San José	165.36
1964-08-31	USUI62R	The Museo de Arte de San José	160.73
1964-09-30	USUI62R	The Museo de Arte de San José	163.36
1964-10-31	USUI62R	The Museo de Arte de San José	156.36
1964-11-30	USUI62R	The Museo de Arte de San José	160.73
1964-12-31	USUI62R	The Museo de Arte de San José	161.31
1965-01-31	USUI62R	The Museo de Arte de San José	157.22
1965-02-28	USUI62R	The Museo de Arte de San José	162.09
1965-03-31	USUI62R	The Museo de Arte de San José	155.69
1965-04-30	USUI62R	The Museo de Arte de San José	154.72
1965-05-31	USUI62R	The Museo de Arte de San José	161.15
1965-06-30	USUI62R	The Museo de Arte de San José	164.01
