Date	Company Code	Company Name	Stock Price
1959-01-31	USWBUER	The Museo de Arte de San Luis Potosí	113.2
1959-02-28	USWBUER	The Museo de Arte de San Luis Potosí	115.25
1959-03-31	USWBUER	The Museo de Arte de San Luis Potosí	113.3
1959-04-30	USWBUER	The Museo de Arte de San Luis Potosí	113.73
1959-05-31	USWBUER	The Museo de Arte de San Luis Potosí	114.74
1959-06-30	USWBUER	The Museo de Arte de San Luis Potosí	112.95
1959-07-31	USWBUER	The Museo de Arte de San Luis Potosí	113.63
1959-08-31	USWBUER	The Museo de Arte de San Luis Potosí	113.31
1959-09-30	USWBUER	The Museo de Arte de San Luis Potosí	105.74
1959-10-31	USWBUER	The Museo de Arte de San Luis Potosí	112.52
1959-11-30	USWBUER	The Museo de Arte de San Luis Potosí	113.72
1959-12-31	USWBUER	The Museo de Arte de San Luis Potosí	113.23
1960-01-31	USWBUER	The Museo de Arte de San Luis Potosí	116.28
1960-02-29	USWBUER	The Museo de Arte de San Luis Potosí	117.48
1960-03-31	USWBUER	The Museo de Arte de San Luis Potosí	113.63
1960-04-30	USWBUER	The Museo de Arte de San Luis Potosí	118.22
1960-05-31	USWBUER	The Museo de Arte de San Luis Potosí	118.22
1960-06-30	USWBUER	The Museo de Arte de San Luis Potosí	119.07
1960-07-31	USWBUER	The Museo de Arte de San Luis Potosí	119.37
1960-08-31	USWBUER	The Museo de Arte de San Luis Potosí	118.54
1960-09-30	USWBUER	The Museo de Arte de San Luis Potosí	120.17
1960-10-31	USWBUER	The Museo de Arte de San Luis Potosí	124.92
1960-11-30	USWBUER	The Museo de Arte de San Luis Potosí	131.89
1960-12-31	USWBUER	The Museo de Arte de San Luis Potosí	136.43
1961-01-31	USWBUER	The Museo de Arte de San Luis Potosí	135.08
1961-02-28	USWBUER	The Museo de Arte de San Luis Potosí	131.99
1961-03-31	USWBUER	The Museo de Arte de San Luis Potosí	128.68
1961-04-30	USWBUER	The Museo de Arte de San Luis Potosí	135.18
1961-05-31	USWBUER	The Museo de Arte de San Luis Potosí	132.11
1961-06-30	USWBUER	The Museo de Arte de San Luis Potosí	138.33
1961-07-31	USWBUER	The Museo de Arte de San Luis Potosí	140.75
1961-08-31	USWBUER	The Museo de Arte de San Luis Potosí	138.64
1961-09-30	USWBUER	The Museo de Arte de San Luis Potosí	140.91
1961-10-31	USWBUER	The Museo de Arte de San Luis Potosí	137.67
1961-11-30	USWBUER	The Museo de Arte de San Luis Potosí	132.74
1961-12-31	USWBUER	The Museo de Arte de San Luis Potosí	130.41
1962-01-31	USWBUER	The Museo de Arte de San Luis Potosí	128.82
1962-02-28	USWBUER	The Museo de Arte de San Luis Potosí	127.06
1962-03-31	USWBUER	The Museo de Arte de San Luis Potosí	132.11
1962-04-30	USWBUER	The Museo de Arte de San Luis Potosí	134.67
1962-05-31	USWBUER	The Museo de Arte de San Luis Potosí	138.06
1962-06-30	USWBUER	The Museo de Arte de San Luis Potosí	136.69
1962-07-31	USWBUER	The Museo de Arte de San Luis Potosí	135.36
1962-08-31	USWBUER	The Museo de Arte de San Luis Potosí	133.42
1962-09-30	USWBUER	The Museo de Arte de San Luis Potosí	130.25
1962-10-31	USWBUER	The Museo de Arte de San Luis Potosí	134.03
1962-11-30	USWBUER	The Museo de Arte de San Luis Potosí	134.73
1962-12-31	USWBUER	The Museo de Arte de San Luis Potosí	134.38
1963-01-31	USWBUER	The Museo de Arte de San Luis Potosí	132.39
1963-02-28	USWBUER	The Museo de Arte de San Luis Potosí	128.06
1963-03-31	USWBUER	The Museo de Arte de San Luis Potosí	133.07
1963-04-30	USWBUER	The Museo de Arte de San Luis Potosí	129.36
1963-05-31	USWBUER	The Museo de Arte de San Luis Potosí	127.56
1963-06-30	USWBUER	The Museo de Arte de San Luis Potosí	122.35
1963-07-31	USWBUER	The Museo de Arte de San Luis Potosí	130.0
1963-08-31	USWBUER	The Museo de Arte de San Luis Potosí	129.86
1963-09-30	USWBUER	The Museo de Arte de San Luis Potosí	131.46
1963-10-31	USWBUER	The Museo de Arte de San Luis Potosí	130.66
1963-11-30	USWBUER	The Museo de Arte de San Luis Potosí	131.1
1963-12-31	USWBUER	The Museo de Arte de San Luis Potosí	128.37
1964-01-31	USWBUER	The Museo de Arte de San Luis Potosí	123.99
1964-02-29	USWBUER	The Museo de Arte de San Luis Potosí	127.38
1964-03-31	USWBUER	The Museo de Arte de San Luis Potosí	125.87
1964-04-30	USWBUER	The Museo de Arte de San Luis Potosí	129.24
1964-05-31	USWBUER	The Museo de Arte de San Luis Potosí	128.01
1964-06-30	USWBUER	The Museo de Arte de San Luis Potosí	135.02
1964-07-31	USWBUER	The Museo de Arte de San Luis Potosí	134.45
1964-08-31	USWBUER	The Museo de Arte de San Luis Potosí	135.5
1964-09-30	USWBUER	The Museo de Arte de San Luis Potosí	128.77
1964-10-31	USWBUER	The Museo de Arte de San Luis Potosí	127.33
1964-11-30	USWBUER	The Museo de Arte de San Luis Potosí	127.77
1964-12-31	USWBUER	The Museo de Arte de San Luis Potosí	121.05
1965-01-31	USWBUER	The Museo de Arte de San Luis Potosí	123.57
1965-02-28	USWBUER	The Museo de Arte de San Luis Potosí	120.61
1965-03-31	USWBUER	The Museo de Arte de San Luis Potosí	117.45
1965-04-30	USWBUER	The Museo de Arte de San Luis Potosí	112.3
1965-05-31	USWBUER	The Museo de Arte de San Luis Potosí	104.57
1965-06-30	USWBUER	The Museo de Arte de San Luis Potosí	100.9
1965-07-31	USWBUER	The Museo de Arte de San Luis Potosí	97.92
1965-08-31	USWBUER	The Museo de Arte de San Luis Potosí	98.53
1965-09-30	USWBUER	The Museo de Arte de San Luis Potosí	91.83
1965-10-31	USWBUER	The Museo de Arte de San Luis Potosí	90.33
1965-11-30	USWBUER	The Museo de Arte de San Luis Potosí	91.44
1965-12-31	USWBUER	The Museo de Arte de San Luis Potosí	90.48
1966-01-31	USWBUER	The Museo de Arte de San Luis Potosí	88.78
1966-02-28	USWBUER	The Museo de Arte de San Luis Potosí	85.73
1966-03-31	USWBUER	The Museo de Arte de San Luis Potosí	84.76
1966-04-30	USWBUER	The Museo de Arte de San Luis Potosí	87.42
1966-05-31	USWBUER	The Museo de Arte de San Luis Potosí	79.59
1966-06-30	USWBUER	The Museo de Arte de San Luis Potosí	77.76
1966-07-31	USWBUER	The Museo de Arte de San Luis Potosí	78.22
1966-08-31	USWBUER	The Museo de Arte de San Luis Potosí	80.17
1966-09-30	USWBUER	The Museo de Arte de San Luis Potosí	78.38
1966-10-31	USWBUER	The Museo de Arte de San Luis Potosí	77.2
1966-11-30	USWBUER	The Museo de Arte de San Luis Potosí	76.62
1966-12-31	USWBUER	The Museo de Arte de San Luis Potosí	71.39
