Date	Company Code	Company Name	Stock Price
1959-01-31	USOORQN	The Museo de Arte de Sinaloa	99.08
1959-02-28	USOORQN	The Museo de Arte de Sinaloa	105.17
1959-03-31	USOORQN	The Museo de Arte de Sinaloa	107.67
1959-04-30	USOORQN	The Museo de Arte de Sinaloa	105.61
1959-05-31	USOORQN	The Museo de Arte de Sinaloa	108.26
1959-06-30	USOORQN	The Museo de Arte de Sinaloa	107.08
1959-07-31	USOORQN	The Museo de Arte de Sinaloa	107.09
1959-08-31	USOORQN	The Museo de Arte de Sinaloa	102.8
1959-09-30	USOORQN	The Museo de Arte de Sinaloa	103.27
1959-10-31	USOORQN	The Museo de Arte de Sinaloa	106.01
1959-11-30	USOORQN	The Museo de Arte de Sinaloa	104.15
1959-12-31	USOORQN	The Museo de Arte de Sinaloa	110.98
1960-01-31	USOORQN	The Museo de Arte de Sinaloa	108.49
1960-02-29	USOORQN	The Museo de Arte de Sinaloa	107.9
1960-03-31	USOORQN	The Museo de Arte de Sinaloa	109.45
1960-04-30	USOORQN	The Museo de Arte de Sinaloa	101.12
1960-05-31	USOORQN	The Museo de Arte de Sinaloa	104.48
1960-06-30	USOORQN	The Museo de Arte de Sinaloa	102.78
1960-07-31	USOORQN	The Museo de Arte de Sinaloa	109.52
1960-08-31	USOORQN	The Museo de Arte de Sinaloa	109.39
1960-09-30	USOORQN	The Museo de Arte de Sinaloa	100.83
1960-10-31	USOORQN	The Museo de Arte de Sinaloa	99.52
1960-11-30	USOORQN	The Museo de Arte de Sinaloa	90.67
1960-12-31	USOORQN	The Museo de Arte de Sinaloa	88.51
1961-01-31	USOORQN	The Museo de Arte de Sinaloa	85.11
1961-02-28	USOORQN	The Museo de Arte de Sinaloa	86.05
1961-03-31	USOORQN	The Museo de Arte de Sinaloa	92.84
1961-04-30	USOORQN	The Museo de Arte de Sinaloa	96.81
1961-05-31	USOORQN	The Museo de Arte de Sinaloa	94.91
1961-06-30	USOORQN	The Museo de Arte de Sinaloa	102.81
1961-07-31	USOORQN	The Museo de Arte de Sinaloa	101.67
1961-08-31	USOORQN	The Museo de Arte de Sinaloa	96.75
1961-09-30	USOORQN	The Museo de Arte de Sinaloa	90.93
1961-10-31	USOORQN	The Museo de Arte de Sinaloa	83.66
1961-11-30	USOORQN	The Museo de Arte de Sinaloa	82.21
1961-12-31	USOORQN	The Museo de Arte de Sinaloa	83.49
1962-01-31	USOORQN	The Museo de Arte de Sinaloa	80.16
1962-02-28	USOORQN	The Museo de Arte de Sinaloa	76.99
1962-03-31	USOORQN	The Museo de Arte de Sinaloa	70.67
1962-04-30	USOORQN	The Museo de Arte de Sinaloa	68.81
1962-05-31	USOORQN	The Museo de Arte de Sinaloa	68.44
1962-06-30	USOORQN	The Museo de Arte de Sinaloa	62.76
1962-07-31	USOORQN	The Museo de Arte de Sinaloa	62.69
1962-08-31	USOORQN	The Museo de Arte de Sinaloa	60.9
1962-09-30	USOORQN	The Museo de Arte de Sinaloa	62.56423038288168
1962-10-31	USOORQN	The Museo de Arte de Sinaloa	63.06
1962-11-30	USOORQN	The Museo de Arte de Sinaloa	69.74
1962-12-31	USOORQN	The Museo de Arte de Sinaloa	66.29
1963-01-31	USOORQN	The Museo de Arte de Sinaloa	72.99
1963-02-28	USOORQN	The Museo de Arte de Sinaloa	74.0
1963-03-31	USOORQN	The Museo de Arte de Sinaloa	74.38
1963-04-30	USOORQN	The Museo de Arte de Sinaloa	73.7
1963-05-31	USOORQN	The Museo de Arte de Sinaloa	66.82
1963-06-30	USOORQN	The Museo de Arte de Sinaloa	67.45
1963-07-31	USOORQN	The Museo de Arte de Sinaloa	67.91
1963-08-31	USOORQN	The Museo de Arte de Sinaloa	70.49
1963-09-30	USOORQN	The Museo de Arte de Sinaloa	72.36
1963-10-31	USOORQN	The Museo de Arte de Sinaloa	71.37
1963-11-30	USOORQN	The Museo de Arte de Sinaloa	75.82
1963-12-31	USOORQN	The Museo de Arte de Sinaloa	80.25
1964-01-31	USOORQN	The Museo de Arte de Sinaloa	80.99
1964-02-29	USOORQN	The Museo de Arte de Sinaloa	81.34
1964-03-31	USOORQN	The Museo de Arte de Sinaloa	78.36
1964-04-30	USOORQN	The Museo de Arte de Sinaloa	72.85
1964-05-31	USOORQN	The Museo de Arte de Sinaloa	67.65
1964-06-30	USOORQN	The Museo de Arte de Sinaloa	74.91
1964-07-31	USOORQN	The Museo de Arte de Sinaloa	76.65
1964-08-31	USOORQN	The Museo de Arte de Sinaloa	67.53
1964-09-30	USOORQN	The Museo de Arte de Sinaloa	62.06
1964-10-31	USOORQN	The Museo de Arte de Sinaloa	69.79
1964-11-30	USOORQN	The Museo de Arte de Sinaloa	70.59
1964-12-31	USOORQN	The Museo de Arte de Sinaloa	67.18
1965-01-31	USOORQN	The Museo de Arte de Sinaloa	64.31
1965-02-28	USOORQN	The Museo de Arte de Sinaloa	61.31026127753751
1965-03-31	USOORQN	The Museo de Arte de Sinaloa	61.50862101053213
1965-04-30	USOORQN	The Museo de Arte de Sinaloa	66.18
1965-05-31	USOORQN	The Museo de Arte de Sinaloa	60.61
1965-06-30	USOORQN	The Museo de Arte de Sinaloa	63.41
1965-07-31	USOORQN	The Museo de Arte de Sinaloa	62.2
1965-08-31	USOORQN	The Museo de Arte de Sinaloa	60.18
1965-09-30	USOORQN	The Museo de Arte de Sinaloa	65.27
1965-10-31	USOORQN	The Museo de Arte de Sinaloa	65.73
1965-11-30	USOORQN	The Museo de Arte de Sinaloa	65.8
1965-12-31	USOORQN	The Museo de Arte de Sinaloa	62.467244156377056
1966-01-31	USOORQN	The Museo de Arte de Sinaloa	64.79
1966-02-28	USOORQN	The Museo de Arte de Sinaloa	60.45
1966-03-31	USOORQN	The Museo de Arte de Sinaloa	60.48
1966-04-30	USOORQN	The Museo de Arte de Sinaloa	61.14
1966-05-31	USOORQN	The Museo de Arte de Sinaloa	61.54
1966-06-30	USOORQN	The Museo de Arte de Sinaloa	67.2
1966-07-31	USOORQN	The Museo de Arte de Sinaloa	68.21
1966-08-31	USOORQN	The Museo de Arte de Sinaloa	75.04
1966-09-30	USOORQN	The Museo de Arte de Sinaloa	76.49
1966-10-31	USOORQN	The Museo de Arte de Sinaloa	69.57
1966-11-30	USOORQN	The Museo de Arte de Sinaloa	70.08
1966-12-31	USOORQN	The Museo de Arte de Sinaloa	65.58
1967-01-31	USOORQN	The Museo de Arte de Sinaloa	66.84
1967-02-28	USOORQN	The Museo de Arte de Sinaloa	66.7
1967-03-31	USOORQN	The Museo de Arte de Sinaloa	69.78
1967-04-30	USOORQN	The Museo de Arte de Sinaloa	70.34
1967-05-31	USOORQN	The Museo de Arte de Sinaloa	71.61
1967-06-30	USOORQN	The Museo de Arte de Sinaloa	73.03
1967-07-31	USOORQN	The Museo de Arte de Sinaloa	72.33
1967-08-31	USOORQN	The Museo de Arte de Sinaloa	75.16
1967-09-30	USOORQN	The Museo de Arte de Sinaloa	77.8
1967-10-31	USOORQN	The Museo de Arte de Sinaloa	76.66
1967-11-30	USOORQN	The Museo de Arte de Sinaloa	70.22
1967-12-31	USOORQN	The Museo de Arte de Sinaloa	67.31
1968-01-31	USOORQN	The Museo de Arte de Sinaloa	67.13
1968-02-29	USOORQN	The Museo de Arte de Sinaloa	66.37
1968-03-31	USOORQN	The Museo de Arte de Sinaloa	73.63
1968-04-30	USOORQN	The Museo de Arte de Sinaloa	78.48
1968-05-31	USOORQN	The Museo de Arte de Sinaloa	84.83
1968-06-30	USOORQN	The Museo de Arte de Sinaloa	86.3
1968-07-31	USOORQN	The Museo de Arte de Sinaloa	80.5
1968-08-31	USOORQN	The Museo de Arte de Sinaloa	83.63
1968-09-30	USOORQN	The Museo de Arte de Sinaloa	85.46
1968-10-31	USOORQN	The Museo de Arte de Sinaloa	87.0
1968-11-30	USOORQN	The Museo de Arte de Sinaloa	89.16
1968-12-31	USOORQN	The Museo de Arte de Sinaloa	88.49
1969-01-31	USOORQN	The Museo de Arte de Sinaloa	87.45
1969-02-28	USOORQN	The Museo de Arte de Sinaloa	87.14
1969-03-31	USOORQN	The Museo de Arte de Sinaloa	82.9
1969-04-30	USOORQN	The Museo de Arte de Sinaloa	82.8
1969-05-31	USOORQN	The Museo de Arte de Sinaloa	88.64
1969-06-30	USOORQN	The Museo de Arte de Sinaloa	87.99
1969-07-31	USOORQN	The Museo de Arte de Sinaloa	86.61
1969-08-31	USOORQN	The Museo de Arte de Sinaloa	82.26
1969-09-30	USOORQN	The Museo de Arte de Sinaloa	86.15
1969-10-31	USOORQN	The Museo de Arte de Sinaloa	83.67
1969-11-30	USOORQN	The Museo de Arte de Sinaloa	77.05
1969-12-31	USOORQN	The Museo de Arte de Sinaloa	73.78
1970-01-31	USOORQN	The Museo de Arte de Sinaloa	71.51
1970-02-28	USOORQN	The Museo de Arte de Sinaloa	74.18
1970-03-31	USOORQN	The Museo de Arte de Sinaloa	78.82
1970-04-30	USOORQN	The Museo de Arte de Sinaloa	81.7
1970-05-31	USOORQN	The Museo de Arte de Sinaloa	82.14
1970-06-30	USOORQN	The Museo de Arte de Sinaloa	82.03
1970-07-31	USOORQN	The Museo de Arte de Sinaloa	84.06
1970-08-31	USOORQN	The Museo de Arte de Sinaloa	81.02
1970-09-30	USOORQN	The Museo de Arte de Sinaloa	84.15
1970-10-31	USOORQN	The Museo de Arte de Sinaloa	88.21
1970-11-30	USOORQN	The Museo de Arte de Sinaloa	79.08
1970-12-31	USOORQN	The Museo de Arte de Sinaloa	84.19
1971-01-31	USOORQN	The Museo de Arte de Sinaloa	91.88
1971-02-28	USOORQN	The Museo de Arte de Sinaloa	93.71
1971-03-31	USOORQN	The Museo de Arte de Sinaloa	93.21
1971-04-30	USOORQN	The Museo de Arte de Sinaloa	99.14
1971-05-31	USOORQN	The Museo de Arte de Sinaloa	98.72
1971-06-30	USOORQN	The Museo de Arte de Sinaloa	97.29
1971-07-31	USOORQN	The Museo de Arte de Sinaloa	96.97
1971-08-31	USOORQN	The Museo de Arte de Sinaloa	98.68
1971-09-30	USOORQN	The Museo de Arte de Sinaloa	95.54
1971-10-31	USOORQN	The Museo de Arte de Sinaloa	93.71
1971-11-30	USOORQN	The Museo de Arte de Sinaloa	87.2
1971-12-31	USOORQN	The Museo de Arte de Sinaloa	87.35
1972-01-31	USOORQN	The Museo de Arte de Sinaloa	81.69
1972-02-29	USOORQN	The Museo de Arte de Sinaloa	85.55
1972-03-31	USOORQN	The Museo de Arte de Sinaloa	82.28
1972-04-30	USOORQN	The Museo de Arte de Sinaloa	80.06
1972-05-31	USOORQN	The Museo de Arte de Sinaloa	75.23
1972-06-30	USOORQN	The Museo de Arte de Sinaloa	78.5
1972-07-31	USOORQN	The Museo de Arte de Sinaloa	83.91
1972-08-31	USOORQN	The Museo de Arte de Sinaloa	79.86
1972-09-30	USOORQN	The Museo de Arte de Sinaloa	75.55
1972-10-31	USOORQN	The Museo de Arte de Sinaloa	83.13
1972-11-30	USOORQN	The Museo de Arte de Sinaloa	78.97
1972-12-31	USOORQN	The Museo de Arte de Sinaloa	76.02
1973-01-31	USOORQN	The Museo de Arte de Sinaloa	80.75
1973-02-28	USOORQN	The Museo de Arte de Sinaloa	80.89
1973-03-31	USOORQN	The Museo de Arte de Sinaloa	75.8
1973-04-30	USOORQN	The Museo de Arte de Sinaloa	72.27
1973-05-31	USOORQN	The Museo de Arte de Sinaloa	76.45
1973-06-30	USOORQN	The Museo de Arte de Sinaloa	75.15
1973-07-31	USOORQN	The Museo de Arte de Sinaloa	72.41
1973-08-31	USOORQN	The Museo de Arte de Sinaloa	72.46
1973-09-30	USOORQN	The Museo de Arte de Sinaloa	80.74
1973-10-31	USOORQN	The Museo de Arte de Sinaloa	81.18
1973-11-30	USOORQN	The Museo de Arte de Sinaloa	80.24
1973-12-31	USOORQN	The Museo de Arte de Sinaloa	79.16
1974-01-31	USOORQN	The Museo de Arte de Sinaloa	85.11
1974-02-28	USOORQN	The Museo de Arte de Sinaloa	86.87
1974-03-31	USOORQN	The Museo de Arte de Sinaloa	84.15
1974-04-30	USOORQN	The Museo de Arte de Sinaloa	80.28
1974-05-31	USOORQN	The Museo de Arte de Sinaloa	85.07
1974-06-30	USOORQN	The Museo de Arte de Sinaloa	82.63
1974-07-31	USOORQN	The Museo de Arte de Sinaloa	84.12
1974-08-31	USOORQN	The Museo de Arte de Sinaloa	85.08
1974-09-30	USOORQN	The Museo de Arte de Sinaloa	90.1
1974-10-31	USOORQN	The Museo de Arte de Sinaloa	93.5
1974-11-30	USOORQN	The Museo de Arte de Sinaloa	86.22
1974-12-31	USOORQN	The Museo de Arte de Sinaloa	91.44
1975-01-31	USOORQN	The Museo de Arte de Sinaloa	84.94
1975-02-28	USOORQN	The Museo de Arte de Sinaloa	84.77
1975-03-31	USOORQN	The Museo de Arte de Sinaloa	85.83
