Date	Company Code	Company Name	Stock Price
1959-01-31	USCUAD4	The Museo de Arte de Sonora	101.72
1959-02-28	USCUAD4	The Museo de Arte de Sonora	104.99
1959-03-31	USCUAD4	The Museo de Arte de Sonora	103.13
1959-04-30	USCUAD4	The Museo de Arte de Sonora	98.26
1959-05-31	USCUAD4	The Museo de Arte de Sonora	97.1
1959-06-30	USCUAD4	The Museo de Arte de Sonora	99.41
1959-07-31	USCUAD4	The Museo de Arte de Sonora	101.25
1959-08-31	USCUAD4	The Museo de Arte de Sonora	101.24
1959-09-30	USCUAD4	The Museo de Arte de Sonora	103.2
1959-10-31	USCUAD4	The Museo de Arte de Sonora	108.12
1959-11-30	USCUAD4	The Museo de Arte de Sonora	112.12
1959-12-31	USCUAD4	The Museo de Arte de Sonora	112.64
1960-01-31	USCUAD4	The Museo de Arte de Sonora	113.7
1960-02-29	USCUAD4	The Museo de Arte de Sonora	112.14
1960-03-31	USCUAD4	The Museo de Arte de Sonora	110.23
1960-04-30	USCUAD4	The Museo de Arte de Sonora	109.4
1960-05-31	USCUAD4	The Museo de Arte de Sonora	110.17
1960-06-30	USCUAD4	The Museo de Arte de Sonora	111.2
1960-07-31	USCUAD4	The Museo de Arte de Sonora	115.73
1960-08-31	USCUAD4	The Museo de Arte de Sonora	120.25
1960-09-30	USCUAD4	The Museo de Arte de Sonora	122.06
1960-10-31	USCUAD4	The Museo de Arte de Sonora	118.3
1960-11-30	USCUAD4	The Museo de Arte de Sonora	118.42
1960-12-31	USCUAD4	The Museo de Arte de Sonora	115.07
1961-01-31	USCUAD4	The Museo de Arte de Sonora	109.47
1961-02-28	USCUAD4	The Museo de Arte de Sonora	110.29
1961-03-31	USCUAD4	The Museo de Arte de Sonora	103.44
1961-04-30	USCUAD4	The Museo de Arte de Sonora	108.91
1961-05-31	USCUAD4	The Museo de Arte de Sonora	106.58
1961-06-30	USCUAD4	The Museo de Arte de Sonora	105.44
1961-07-31	USCUAD4	The Museo de Arte de Sonora	106.34
1961-08-31	USCUAD4	The Museo de Arte de Sonora	102.15
1961-09-30	USCUAD4	The Museo de Arte de Sonora	99.96
1961-10-31	USCUAD4	The Museo de Arte de Sonora	104.36
1961-11-30	USCUAD4	The Museo de Arte de Sonora	97.2
1961-12-31	USCUAD4	The Museo de Arte de Sonora	97.03
1962-01-31	USCUAD4	The Museo de Arte de Sonora	103.16
1962-02-28	USCUAD4	The Museo de Arte de Sonora	102.07
1962-03-31	USCUAD4	The Museo de Arte de Sonora	99.45
1962-04-30	USCUAD4	The Museo de Arte de Sonora	96.06
1962-05-31	USCUAD4	The Museo de Arte de Sonora	92.67
1962-06-30	USCUAD4	The Museo de Arte de Sonora	84.07
1962-07-31	USCUAD4	The Museo de Arte de Sonora	79.4
1962-08-31	USCUAD4	The Museo de Arte de Sonora	80.33
