Date	Company Code	Company Name	Stock Price
1959-01-31	USXPFKG	The Museo de Arte de Veracruz	112.24
1959-02-28	USXPFKG	The Museo de Arte de Veracruz	112.06
1959-03-31	USXPFKG	The Museo de Arte de Veracruz	114.11
1959-04-30	USXPFKG	The Museo de Arte de Veracruz	110.46
1959-05-31	USXPFKG	The Museo de Arte de Veracruz	110.36
1959-06-30	USXPFKG	The Museo de Arte de Veracruz	115.07
1959-07-31	USXPFKG	The Museo de Arte de Veracruz	113.76
1959-08-31	USXPFKG	The Museo de Arte de Veracruz	117.29
1959-09-30	USXPFKG	The Museo de Arte de Veracruz	125.13
1959-10-31	USXPFKG	The Museo de Arte de Veracruz	124.78
1959-11-30	USXPFKG	The Museo de Arte de Veracruz	127.52
1959-12-31	USXPFKG	The Museo de Arte de Veracruz	129.58
1960-01-31	USXPFKG	The Museo de Arte de Veracruz	123.62
1960-02-29	USXPFKG	The Museo de Arte de Veracruz	127.16
1960-03-31	USXPFKG	The Museo de Arte de Veracruz	124.74
1960-04-30	USXPFKG	The Museo de Arte de Veracruz	121.69
1960-05-31	USXPFKG	The Museo de Arte de Veracruz	122.82
1960-06-30	USXPFKG	The Museo de Arte de Veracruz	122.45
1960-07-31	USXPFKG	The Museo de Arte de Veracruz	124.88
1960-08-31	USXPFKG	The Museo de Arte de Veracruz	124.55
1960-09-30	USXPFKG	The Museo de Arte de Veracruz	128.04
1960-10-31	USXPFKG	The Museo de Arte de Veracruz	130.71
1960-11-30	USXPFKG	The Museo de Arte de Veracruz	132.17
1960-12-31	USXPFKG	The Museo de Arte de Veracruz	135.78
1961-01-31	USXPFKG	The Museo de Arte de Veracruz	144.1
1961-02-28	USXPFKG	The Museo de Arte de Veracruz	139.69
1961-03-31	USXPFKG	The Museo de Arte de Veracruz	135.76
1961-04-30	USXPFKG	The Museo de Arte de Veracruz	130.14
1961-05-31	USXPFKG	The Museo de Arte de Veracruz	135.83
1961-06-30	USXPFKG	The Museo de Arte de Veracruz	138.71
1961-07-31	USXPFKG	The Museo de Arte de Veracruz	142.0
1961-08-31	USXPFKG	The Museo de Arte de Veracruz	148.72
1961-09-30	USXPFKG	The Museo de Arte de Veracruz	150.48
1961-10-31	USXPFKG	The Museo de Arte de Veracruz	149.04
1961-11-30	USXPFKG	The Museo de Arte de Veracruz	156.5
1961-12-31	USXPFKG	The Museo de Arte de Veracruz	158.42
