Date	Company Code	Company Name	Stock Price
1959-01-31	USGWT4S	The Museo de Arte de Yucatán	105.19
1959-02-28	USGWT4S	The Museo de Arte de Yucatán	101.22
1959-03-31	USGWT4S	The Museo de Arte de Yucatán	101.85
1959-04-30	USGWT4S	The Museo de Arte de Yucatán	102.06
1959-05-31	USGWT4S	The Museo de Arte de Yucatán	98.82
1959-06-30	USGWT4S	The Museo de Arte de Yucatán	101.65
1959-07-31	USGWT4S	The Museo de Arte de Yucatán	100.77
1959-08-31	USGWT4S	The Museo de Arte de Yucatán	99.58
1959-09-30	USGWT4S	The Museo de Arte de Yucatán	99.51
1959-10-31	USGWT4S	The Museo de Arte de Yucatán	96.08
1959-11-30	USGWT4S	The Museo de Arte de Yucatán	103.63
1959-12-31	USGWT4S	The Museo de Arte de Yucatán	100.36
1960-01-31	USGWT4S	The Museo de Arte de Yucatán	97.49
1960-02-29	USGWT4S	The Museo de Arte de Yucatán	100.44
1960-03-31	USGWT4S	The Museo de Arte de Yucatán	96.5
1960-04-30	USGWT4S	The Museo de Arte de Yucatán	95.01
1960-05-31	USGWT4S	The Museo de Arte de Yucatán	103.58
1960-06-30	USGWT4S	The Museo de Arte de Yucatán	107.24
1960-07-31	USGWT4S	The Museo de Arte de Yucatán	110.48
1960-08-31	USGWT4S	The Museo de Arte de Yucatán	100.92
1960-09-30	USGWT4S	The Museo de Arte de Yucatán	99.15
1960-10-31	USGWT4S	The Museo de Arte de Yucatán	95.18
1960-11-30	USGWT4S	The Museo de Arte de Yucatán	100.76
1960-12-31	USGWT4S	The Museo de Arte de Yucatán	103.21
1961-01-31	USGWT4S	The Museo de Arte de Yucatán	104.7
1961-02-28	USGWT4S	The Museo de Arte de Yucatán	103.82
1961-03-31	USGWT4S	The Museo de Arte de Yucatán	102.54
1961-04-30	USGWT4S	The Museo de Arte de Yucatán	99.5
1961-05-31	USGWT4S	The Museo de Arte de Yucatán	102.45
1961-06-30	USGWT4S	The Museo de Arte de Yucatán	103.05
