Date	Company Code	Company Name	Stock Price
1959-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	102.17
1959-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	97.13
1959-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	93.76
1959-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	98.43
1959-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	92.91
1959-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	92.57
1959-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	93.75
1959-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	91.63
1959-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	89.26
1959-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	87.77
1959-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	87.32
1959-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	94.31
1960-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	89.62
1960-02-29	US006XL	The Museo de Arte de la Ciudad de La Habana	84.78
1960-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	82.92
1960-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	82.35
1960-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	79.98
1960-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	83.25
1960-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	81.49
1960-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	79.83
1960-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	76.8
1960-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	79.3
1960-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	81.11
1960-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	86.68
1961-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	86.63
1961-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	92.98
1961-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	91.49
1961-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	88.66
1961-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	91.65
1961-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	91.01
1961-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	90.82
1961-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	89.38
1961-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	91.09
1961-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	90.68
1961-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	93.78
1961-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	94.04
1962-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	94.13
1962-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	93.56
1962-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	88.64
1962-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	88.46
1962-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	93.73
1962-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	93.57
1962-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	99.57
1962-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	91.43
1962-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	93.69
1962-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	93.56
1962-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	92.64
1962-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	95.12
1963-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	96.94
1963-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	95.94
1963-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	101.09
1963-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	102.02
1963-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	104.16
1963-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	97.74
1963-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	99.05
1963-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	97.35
1963-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	91.27
1963-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	91.95
1963-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	85.31
1963-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	83.38
1964-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	85.96
1964-02-29	US006XL	The Museo de Arte de la Ciudad de La Habana	92.86
1964-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	94.52
1964-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	93.25
1964-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	97.84
1964-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	104.05
1964-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	107.12
1964-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	105.99
1964-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	106.21
1964-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	107.44
1964-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	107.11
1964-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	109.58
1965-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	105.6
1965-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	104.26
1965-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	108.17
1965-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	106.13
1965-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	109.5
1965-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	102.2
1965-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	100.33
1965-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	106.89
1965-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	102.71
1965-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	96.39
1965-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	95.66
1965-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	94.3
1966-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	99.27
1966-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	95.44
1966-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	97.55
1966-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	97.79
1966-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	103.84
1966-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	104.26
1966-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	105.36
1966-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	107.12
1966-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	109.16
1966-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	104.15
1966-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	101.41
1966-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	104.56
1967-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	105.45
1967-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	108.46
1967-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	111.95
1967-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	110.77
1967-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	108.9
1967-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	114.34
1967-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	120.07
1967-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	118.66
1967-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	117.81
1967-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	110.26
1967-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	107.5
1967-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	103.79
1968-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	109.22
1968-02-29	US006XL	The Museo de Arte de la Ciudad de La Habana	111.86
1968-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	105.39
1968-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	97.23
1968-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	94.74
1968-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	96.37
1968-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	96.73
1968-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	88.53
1968-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	89.2
1968-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	82.72
1968-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	82.01
1968-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	80.38
1969-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	73.6
1969-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	67.95
1969-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	66.74
1969-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	63.16
1969-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	64.97
1969-06-30	US006XL	The Museo de Arte de la Ciudad de La Habana	65.53
1969-07-31	US006XL	The Museo de Arte de la Ciudad de La Habana	66.4
1969-08-31	US006XL	The Museo de Arte de la Ciudad de La Habana	70.27
1969-09-30	US006XL	The Museo de Arte de la Ciudad de La Habana	70.24
1969-10-31	US006XL	The Museo de Arte de la Ciudad de La Habana	69.52
1969-11-30	US006XL	The Museo de Arte de la Ciudad de La Habana	67.45
1969-12-31	US006XL	The Museo de Arte de la Ciudad de La Habana	70.03
1970-01-31	US006XL	The Museo de Arte de la Ciudad de La Habana	77.57
1970-02-28	US006XL	The Museo de Arte de la Ciudad de La Habana	82.16
1970-03-31	US006XL	The Museo de Arte de la Ciudad de La Habana	84.25
1970-04-30	US006XL	The Museo de Arte de la Ciudad de La Habana	83.87
1970-05-31	US006XL	The Museo de Arte de la Ciudad de La Habana	84.94
