Date	Company Code	Company Name	Stock Price
1959-01-31	USBE65W	The Museo de Arte de la Ciudad de Quito	94.84
1959-02-28	USBE65W	The Museo de Arte de la Ciudad de Quito	91.86
1959-03-31	USBE65W	The Museo de Arte de la Ciudad de Quito	85.77
1959-04-30	USBE65W	The Museo de Arte de la Ciudad de Quito	88.8
1959-05-31	USBE65W	The Museo de Arte de la Ciudad de Quito	83.99
1959-06-30	USBE65W	The Museo de Arte de la Ciudad de Quito	82.27
1959-07-31	USBE65W	The Museo de Arte de la Ciudad de Quito	83.76
1959-08-31	USBE65W	The Museo de Arte de la Ciudad de Quito	82.29
1959-09-30	USBE65W	The Museo de Arte de la Ciudad de Quito	78.96
1959-10-31	USBE65W	The Museo de Arte de la Ciudad de Quito	75.92
1959-11-30	USBE65W	The Museo de Arte de la Ciudad de Quito	76.39
1959-12-31	USBE65W	The Museo de Arte de la Ciudad de Quito	74.85
1960-01-31	USBE65W	The Museo de Arte de la Ciudad de Quito	71.28
1960-02-29	USBE65W	The Museo de Arte de la Ciudad de Quito	77.34
1960-03-31	USBE65W	The Museo de Arte de la Ciudad de Quito	84.41
1960-04-30	USBE65W	The Museo de Arte de la Ciudad de Quito	82.39
1960-05-31	USBE65W	The Museo de Arte de la Ciudad de Quito	82.71
1960-06-30	USBE65W	The Museo de Arte de la Ciudad de Quito	87.22
1960-07-31	USBE65W	The Museo de Arte de la Ciudad de Quito	91.03
1960-08-31	USBE65W	The Museo de Arte de la Ciudad de Quito	88.41
1960-09-30	USBE65W	The Museo de Arte de la Ciudad de Quito	94.01
1960-10-31	USBE65W	The Museo de Arte de la Ciudad de Quito	96.61
1960-11-30	USBE65W	The Museo de Arte de la Ciudad de Quito	92.02
1960-12-31	USBE65W	The Museo de Arte de la Ciudad de Quito	86.81
1961-01-31	USBE65W	The Museo de Arte de la Ciudad de Quito	89.65
1961-02-28	USBE65W	The Museo de Arte de la Ciudad de Quito	90.46
1961-03-31	USBE65W	The Museo de Arte de la Ciudad de Quito	90.91
1961-04-30	USBE65W	The Museo de Arte de la Ciudad de Quito	93.23
1961-05-31	USBE65W	The Museo de Arte de la Ciudad de Quito	93.8
1961-06-30	USBE65W	The Museo de Arte de la Ciudad de Quito	90.28
1961-07-31	USBE65W	The Museo de Arte de la Ciudad de Quito	91.78
1961-08-31	USBE65W	The Museo de Arte de la Ciudad de Quito	92.22
1961-09-30	USBE65W	The Museo de Arte de la Ciudad de Quito	88.51
1961-10-31	USBE65W	The Museo de Arte de la Ciudad de Quito	89.73
1961-11-30	USBE65W	The Museo de Arte de la Ciudad de Quito	86.07
1961-12-31	USBE65W	The Museo de Arte de la Ciudad de Quito	94.61
1962-01-31	USBE65W	The Museo de Arte de la Ciudad de Quito	97.07
1962-02-28	USBE65W	The Museo de Arte de la Ciudad de Quito	93.61
1962-03-31	USBE65W	The Museo de Arte de la Ciudad de Quito	97.88
1962-04-30	USBE65W	The Museo de Arte de la Ciudad de Quito	96.59
1962-05-31	USBE65W	The Museo de Arte de la Ciudad de Quito	99.12
1962-06-30	USBE65W	The Museo de Arte de la Ciudad de Quito	100.98
1962-07-31	USBE65W	The Museo de Arte de la Ciudad de Quito	104.25
1962-08-31	USBE65W	The Museo de Arte de la Ciudad de Quito	97.57
1962-09-30	USBE65W	The Museo de Arte de la Ciudad de Quito	98.54
1962-10-31	USBE65W	The Museo de Arte de la Ciudad de Quito	101.11
1962-11-30	USBE65W	The Museo de Arte de la Ciudad de Quito	96.0
1962-12-31	USBE65W	The Museo de Arte de la Ciudad de Quito	97.54
1963-01-31	USBE65W	The Museo de Arte de la Ciudad de Quito	98.33
1963-02-28	USBE65W	The Museo de Arte de la Ciudad de Quito	94.37
1963-03-31	USBE65W	The Museo de Arte de la Ciudad de Quito	92.99
1963-04-30	USBE65W	The Museo de Arte de la Ciudad de Quito	92.75
1963-05-31	USBE65W	The Museo de Arte de la Ciudad de Quito	97.9
1963-06-30	USBE65W	The Museo de Arte de la Ciudad de Quito	96.31
1963-07-31	USBE65W	The Museo de Arte de la Ciudad de Quito	97.54
1963-08-31	USBE65W	The Museo de Arte de la Ciudad de Quito	95.61
1963-09-30	USBE65W	The Museo de Arte de la Ciudad de Quito	100.4
1963-10-31	USBE65W	The Museo de Arte de la Ciudad de Quito	105.51
1963-11-30	USBE65W	The Museo de Arte de la Ciudad de Quito	105.55
1963-12-31	USBE65W	The Museo de Arte de la Ciudad de Quito	107.33
1964-01-31	USBE65W	The Museo de Arte de la Ciudad de Quito	106.34
1964-02-29	USBE65W	The Museo de Arte de la Ciudad de Quito	104.44
1964-03-31	USBE65W	The Museo de Arte de la Ciudad de Quito	104.82
1964-04-30	USBE65W	The Museo de Arte de la Ciudad de Quito	109.83
1964-05-31	USBE65W	The Museo de Arte de la Ciudad de Quito	110.46
1964-06-30	USBE65W	The Museo de Arte de la Ciudad de Quito	112.96
1964-07-31	USBE65W	The Museo de Arte de la Ciudad de Quito	110.36
1964-08-31	USBE65W	The Museo de Arte de la Ciudad de Quito	109.56
1964-09-30	USBE65W	The Museo de Arte de la Ciudad de Quito	111.39
1964-10-31	USBE65W	The Museo de Arte de la Ciudad de Quito	110.87
1964-11-30	USBE65W	The Museo de Arte de la Ciudad de Quito	107.58
1964-12-31	USBE65W	The Museo de Arte de la Ciudad de Quito	108.16
1965-01-31	USBE65W	The Museo de Arte de la Ciudad de Quito	110.51
1965-02-28	USBE65W	The Museo de Arte de la Ciudad de Quito	102.23
1965-03-31	USBE65W	The Museo de Arte de la Ciudad de Quito	109.84
1965-04-30	USBE65W	The Museo de Arte de la Ciudad de Quito	102.58
1965-05-31	USBE65W	The Museo de Arte de la Ciudad de Quito	93.03
1965-06-30	USBE65W	The Museo de Arte de la Ciudad de Quito	88.55
1965-07-31	USBE65W	The Museo de Arte de la Ciudad de Quito	83.22
1965-08-31	USBE65W	The Museo de Arte de la Ciudad de Quito	77.9
