Date	Company Code	Company Name	Stock Price
1959-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	88.45
1959-02-28	USVPDWB	The Museo de Arte de la Isla de Margarita	90.3
1959-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	86.3
1959-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	78.66
1959-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	80.17
1959-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	79.17
1959-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	76.38
1959-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	72.88
1959-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	75.42
1959-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	75.01
1959-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	72.4
1959-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	79.88
1960-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	83.8
1960-02-29	USVPDWB	The Museo de Arte de la Isla de Margarita	82.64
1960-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	85.37
1960-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	89.34
1960-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	87.72
1960-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	88.13
1960-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	87.44
1960-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	91.16
1960-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	89.63
1960-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	96.71
1960-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	99.12
1960-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	103.44
1961-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	101.83
1961-02-28	USVPDWB	The Museo de Arte de la Isla de Margarita	99.19
1961-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	95.54
1961-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	104.53
1961-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	102.38
1961-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	103.63
1961-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	103.98
1961-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	103.04
1961-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	108.91
1961-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	110.39
1961-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	114.73
1961-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	114.76
1962-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	106.86
1962-02-28	USVPDWB	The Museo de Arte de la Isla de Margarita	104.6
1962-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	101.96
1962-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	101.05
1962-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	99.36
1962-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	100.24
1962-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	100.37
1962-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	97.76
1962-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	100.57
1962-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	101.68
1962-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	104.35
1962-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	106.08
1963-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	106.01
1963-02-28	USVPDWB	The Museo de Arte de la Isla de Margarita	109.19
1963-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	109.42
1963-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	105.05
1963-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	98.13
1963-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	95.49
1963-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	95.62
1963-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	91.81
1963-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	91.67
1963-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	88.24
1963-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	80.86
1963-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	81.67
1964-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	81.26
1964-02-29	USVPDWB	The Museo de Arte de la Isla de Margarita	79.16
1964-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	83.71
1964-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	82.78
1964-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	91.73
1964-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	92.8
1964-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	92.71
1964-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	101.2
1964-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	102.4
1964-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	97.43
1964-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	99.1
1964-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	97.42
1965-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	93.61
1965-02-28	USVPDWB	The Museo de Arte de la Isla de Margarita	97.65
1965-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	102.29
1965-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	110.75
1965-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	114.82
1965-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	112.31
1965-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	108.43
1965-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	107.91
1965-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	108.55
1965-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	110.0
1965-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	101.18
1965-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	99.84
1966-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	99.51
1966-02-28	USVPDWB	The Museo de Arte de la Isla de Margarita	101.49
1966-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	101.04
1966-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	103.93
1966-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	104.48
1966-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	101.34
1966-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	106.83
1966-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	105.95
1966-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	107.46
1966-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	111.37
1966-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	111.06
1966-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	110.08
1967-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	109.61
1967-02-28	USVPDWB	The Museo de Arte de la Isla de Margarita	111.18
1967-03-31	USVPDWB	The Museo de Arte de la Isla de Margarita	105.5
1967-04-30	USVPDWB	The Museo de Arte de la Isla de Margarita	108.79
1967-05-31	USVPDWB	The Museo de Arte de la Isla de Margarita	106.97
1967-06-30	USVPDWB	The Museo de Arte de la Isla de Margarita	106.98
1967-07-31	USVPDWB	The Museo de Arte de la Isla de Margarita	109.15
1967-08-31	USVPDWB	The Museo de Arte de la Isla de Margarita	114.41
1967-09-30	USVPDWB	The Museo de Arte de la Isla de Margarita	113.57
1967-10-31	USVPDWB	The Museo de Arte de la Isla de Margarita	116.83
1967-11-30	USVPDWB	The Museo de Arte de la Isla de Margarita	117.57
1967-12-31	USVPDWB	The Museo de Arte de la Isla de Margarita	119.13
1968-01-31	USVPDWB	The Museo de Arte de la Isla de Margarita	116.99
1968-02-29	USVPDWB	The Museo de Arte de la Isla de Margarita	115.57
