Date	Company Code	Company Name	Stock Price
1959-01-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	94.1
1959-02-28	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	88.57
1959-03-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	94.59
1959-04-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	102.3
1959-05-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	105.95
1959-06-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	106.99
1959-07-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	109.49
1959-08-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	116.22
1959-09-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	113.58
1959-10-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	108.9
1959-11-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	101.34
1959-12-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	98.3
1960-01-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	95.29
1960-02-29	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	96.33
1960-03-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	90.72
1960-04-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	93.67
1960-05-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	91.7
1960-06-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	91.56
1960-07-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	90.95
1960-08-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	92.91
1960-09-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	89.5
1960-10-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	88.53
1960-11-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	82.5
1960-12-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	84.88
1961-01-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	88.11
1961-02-28	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	93.53
1961-03-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	89.57
1961-04-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	88.69
1961-05-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	92.34
1961-06-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	98.46
1961-07-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	98.05
1961-08-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	98.52
1961-09-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	98.47
1961-10-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	91.5
1961-11-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	92.3
1961-12-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	95.65
1962-01-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	100.96
1962-02-28	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	97.32
1962-03-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	98.73
1962-04-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	100.36
1962-05-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	101.69
1962-06-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	104.73
1962-07-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	104.68
1962-08-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	106.37
1962-09-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	103.82
1962-10-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	110.1
1962-11-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	108.32
1962-12-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	108.83
1963-01-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	104.72
1963-02-28	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	101.54
1963-03-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	96.26
1963-04-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	95.94
1963-05-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	95.87
1963-06-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	101.34
1963-07-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	99.69
1963-08-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	106.26
1963-09-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	108.37
1963-10-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	103.99
1963-11-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	97.56
1963-12-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	93.76
1964-01-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	90.65
1964-02-29	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	93.21
1964-03-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	99.2
1964-04-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	100.26
1964-05-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	100.26
1964-06-30	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	100.7
1964-07-31	USXUDVJ	The Museo de Arte de la Universidad Nacional de Colombia	94.96
