Date	Company Code	Company Name	Stock Price
1959-01-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	111.6
1959-02-28	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	112.77
1959-03-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	110.67
1959-04-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	115.9
1959-05-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	115.3
1959-06-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	120.78
1959-07-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	121.62
1959-08-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	120.88
1959-09-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	123.91
1959-10-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	119.05
1959-11-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	114.65
1959-12-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	122.11
1960-01-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	117.1
1960-02-29	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	120.7
1960-03-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	123.73
1960-04-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	119.48
1960-05-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	121.46
1960-06-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	129.81
1960-07-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	130.39
1960-08-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	134.22
1960-09-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	130.4
1960-10-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	130.56
1960-11-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	131.48
1960-12-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	131.2
1961-01-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	136.64
1961-02-28	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	135.16
1961-03-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	136.63
1961-04-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	140.74
1961-05-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	138.69
1961-06-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	136.96
1961-07-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	138.42
1961-08-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	140.2
1961-09-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	133.59
1961-10-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	128.57
1961-11-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	130.26
1961-12-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	136.98
1962-01-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	137.44
1962-02-28	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	140.24
1962-03-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	140.67
1962-04-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	147.25
1962-05-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	143.38
1962-06-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	146.89
1962-07-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	142.82
1962-08-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	149.18
1962-09-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	146.48
1962-10-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	142.62
1962-11-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	147.51
1962-12-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	145.65
1963-01-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	143.25
1963-02-28	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	151.53
1963-03-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	152.47
1963-04-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	147.57
1963-05-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	146.49
1963-06-30	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	139.28
1963-07-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	140.21
1963-08-31	USLE0BC	The Museo de Arte de la Universidad de Puerto Rico	144.39
