Date	Company Code	Company Name	Stock Price
1959-01-31	USFBFDX	The Museo de Arte del Banco de la República	108.53
1959-02-28	USFBFDX	The Museo de Arte del Banco de la República	112.14
1959-03-31	USFBFDX	The Museo de Arte del Banco de la República	107.14
1959-04-30	USFBFDX	The Museo de Arte del Banco de la República	101.04
1959-05-31	USFBFDX	The Museo de Arte del Banco de la República	104.53
1959-06-30	USFBFDX	The Museo de Arte del Banco de la República	111.35
1959-07-31	USFBFDX	The Museo de Arte del Banco de la República	110.56
1959-08-31	USFBFDX	The Museo de Arte del Banco de la República	109.09
1959-09-30	USFBFDX	The Museo de Arte del Banco de la República	109.31
1959-10-31	USFBFDX	The Museo de Arte del Banco de la República	111.79
1959-11-30	USFBFDX	The Museo de Arte del Banco de la República	108.68
1959-12-31	USFBFDX	The Museo de Arte del Banco de la República	108.4
1960-01-31	USFBFDX	The Museo de Arte del Banco de la República	108.11
1960-02-29	USFBFDX	The Museo de Arte del Banco de la República	106.05
1960-03-31	USFBFDX	The Museo de Arte del Banco de la República	111.17
1960-04-30	USFBFDX	The Museo de Arte del Banco de la República	110.11
1960-05-31	USFBFDX	The Museo de Arte del Banco de la República	110.21
1960-06-30	USFBFDX	The Museo de Arte del Banco de la República	112.71
1960-07-31	USFBFDX	The Museo de Arte del Banco de la República	106.58
1960-08-31	USFBFDX	The Museo de Arte del Banco de la República	99.8
1960-09-30	USFBFDX	The Museo de Arte del Banco de la República	95.71
1960-10-31	USFBFDX	The Museo de Arte del Banco de la República	90.18
1960-11-30	USFBFDX	The Museo de Arte del Banco de la República	91.18
1960-12-31	USFBFDX	The Museo de Arte del Banco de la República	87.64
1961-01-31	USFBFDX	The Museo de Arte del Banco de la República	90.98
1961-02-28	USFBFDX	The Museo de Arte del Banco de la República	97.19
1961-03-31	USFBFDX	The Museo de Arte del Banco de la República	89.05
1961-04-30	USFBFDX	The Museo de Arte del Banco de la República	93.96
1961-05-31	USFBFDX	The Museo de Arte del Banco de la República	95.63
1961-06-30	USFBFDX	The Museo de Arte del Banco de la República	95.33
1961-07-31	USFBFDX	The Museo de Arte del Banco de la República	98.87
1961-08-31	USFBFDX	The Museo de Arte del Banco de la República	103.93
1961-09-30	USFBFDX	The Museo de Arte del Banco de la República	100.62
1961-10-31	USFBFDX	The Museo de Arte del Banco de la República	101.58
1961-11-30	USFBFDX	The Museo de Arte del Banco de la República	104.7
1961-12-31	USFBFDX	The Museo de Arte del Banco de la República	101.77
1962-01-31	USFBFDX	The Museo de Arte del Banco de la República	98.77
1962-02-28	USFBFDX	The Museo de Arte del Banco de la República	100.4
1962-03-31	USFBFDX	The Museo de Arte del Banco de la República	103.5
1962-04-30	USFBFDX	The Museo de Arte del Banco de la República	94.04
1962-05-31	USFBFDX	The Museo de Arte del Banco de la República	94.47
