Date	Company Code	Company Name	Stock Price
1959-01-31	USFXOUM	The Museo de Arte del Tolima	116.32
1959-02-28	USFXOUM	The Museo de Arte del Tolima	110.44
1959-03-31	USFXOUM	The Museo de Arte del Tolima	110.57
1959-04-30	USFXOUM	The Museo de Arte del Tolima	107.82
1959-05-31	USFXOUM	The Museo de Arte del Tolima	108.16
1959-06-30	USFXOUM	The Museo de Arte del Tolima	108.98
1959-07-31	USFXOUM	The Museo de Arte del Tolima	114.85
1959-08-31	USFXOUM	The Museo de Arte del Tolima	118.1
1959-09-30	USFXOUM	The Museo de Arte del Tolima	119.94
1959-10-31	USFXOUM	The Museo de Arte del Tolima	119.54
1959-11-30	USFXOUM	The Museo de Arte del Tolima	118.34
1959-12-31	USFXOUM	The Museo de Arte del Tolima	115.3
1960-01-31	USFXOUM	The Museo de Arte del Tolima	117.38
1960-02-29	USFXOUM	The Museo de Arte del Tolima	119.19
1960-03-31	USFXOUM	The Museo de Arte del Tolima	124.13
1960-04-30	USFXOUM	The Museo de Arte del Tolima	118.4
1960-05-31	USFXOUM	The Museo de Arte del Tolima	118.48
1960-06-30	USFXOUM	The Museo de Arte del Tolima	121.06
1960-07-31	USFXOUM	The Museo de Arte del Tolima	119.75
1960-08-31	USFXOUM	The Museo de Arte del Tolima	118.59
1960-09-30	USFXOUM	The Museo de Arte del Tolima	119.27
1960-10-31	USFXOUM	The Museo de Arte del Tolima	119.12
1960-11-30	USFXOUM	The Museo de Arte del Tolima	120.48
1960-12-31	USFXOUM	The Museo de Arte del Tolima	117.12
1961-01-31	USFXOUM	The Museo de Arte del Tolima	122.43
1961-02-28	USFXOUM	The Museo de Arte del Tolima	123.99
1961-03-31	USFXOUM	The Museo de Arte del Tolima	125.06
1961-04-30	USFXOUM	The Museo de Arte del Tolima	126.02
1961-05-31	USFXOUM	The Museo de Arte del Tolima	119.63
1961-06-30	USFXOUM	The Museo de Arte del Tolima	117.54
1961-07-31	USFXOUM	The Museo de Arte del Tolima	115.58
