Date	Company Code	Company Name	Stock Price
1959-01-31	US6RFHH	The Museo de Bellas Artes	104.93
1959-02-28	US6RFHH	The Museo de Bellas Artes	105.73
1959-03-31	US6RFHH	The Museo de Bellas Artes	109.05
1959-04-30	US6RFHH	The Museo de Bellas Artes	114.38
1959-05-31	US6RFHH	The Museo de Bellas Artes	119.8
1959-06-30	US6RFHH	The Museo de Bellas Artes	118.87
1959-07-31	US6RFHH	The Museo de Bellas Artes	115.19
1959-08-31	US6RFHH	The Museo de Bellas Artes	122.37
1959-09-30	US6RFHH	The Museo de Bellas Artes	125.62
1959-10-31	US6RFHH	The Museo de Bellas Artes	128.48
1959-11-30	US6RFHH	The Museo de Bellas Artes	130.2
1959-12-31	US6RFHH	The Museo de Bellas Artes	131.85
1960-01-31	US6RFHH	The Museo de Bellas Artes	136.36
1960-02-29	US6RFHH	The Museo de Bellas Artes	136.45
1960-03-31	US6RFHH	The Museo de Bellas Artes	129.57
1960-04-30	US6RFHH	The Museo de Bellas Artes	123.65
1960-05-31	US6RFHH	The Museo de Bellas Artes	122.98
1960-06-30	US6RFHH	The Museo de Bellas Artes	126.28
1960-07-31	US6RFHH	The Museo de Bellas Artes	131.99
1960-08-31	US6RFHH	The Museo de Bellas Artes	129.81
1960-09-30	US6RFHH	The Museo de Bellas Artes	133.81
1960-10-31	US6RFHH	The Museo de Bellas Artes	134.1
1960-11-30	US6RFHH	The Museo de Bellas Artes	132.28
1960-12-31	US6RFHH	The Museo de Bellas Artes	136.79
1961-01-31	US6RFHH	The Museo de Bellas Artes	137.9
1961-02-28	US6RFHH	The Museo de Bellas Artes	140.37
1961-03-31	US6RFHH	The Museo de Bellas Artes	144.39
1961-04-30	US6RFHH	The Museo de Bellas Artes	146.53
1961-05-31	US6RFHH	The Museo de Bellas Artes	145.08
1961-06-30	US6RFHH	The Museo de Bellas Artes	150.58
1961-07-31	US6RFHH	The Museo de Bellas Artes	157.46
1961-08-31	US6RFHH	The Museo de Bellas Artes	158.23
1961-09-30	US6RFHH	The Museo de Bellas Artes	154.8
1961-10-31	US6RFHH	The Museo de Bellas Artes	158.63
1961-11-30	US6RFHH	The Museo de Bellas Artes	155.03
1961-12-31	US6RFHH	The Museo de Bellas Artes	148.04
1962-01-31	US6RFHH	The Museo de Bellas Artes	141.01
1962-02-28	US6RFHH	The Museo de Bellas Artes	139.39
1962-03-31	US6RFHH	The Museo de Bellas Artes	141.56
1962-04-30	US6RFHH	The Museo de Bellas Artes	142.54
1962-05-31	US6RFHH	The Museo de Bellas Artes	147.11
1962-06-30	US6RFHH	The Museo de Bellas Artes	141.53
1962-07-31	US6RFHH	The Museo de Bellas Artes	141.32
1962-08-31	US6RFHH	The Museo de Bellas Artes	137.49
1962-09-30	US6RFHH	The Museo de Bellas Artes	138.66
1962-10-31	US6RFHH	The Museo de Bellas Artes	141.79
1962-11-30	US6RFHH	The Museo de Bellas Artes	135.56
1962-12-31	US6RFHH	The Museo de Bellas Artes	141.12
1963-01-31	US6RFHH	The Museo de Bellas Artes	139.59
1963-02-28	US6RFHH	The Museo de Bellas Artes	132.29
1963-03-31	US6RFHH	The Museo de Bellas Artes	134.55
1963-04-30	US6RFHH	The Museo de Bellas Artes	135.29
1963-05-31	US6RFHH	The Museo de Bellas Artes	130.87
1963-06-30	US6RFHH	The Museo de Bellas Artes	125.05
1963-07-31	US6RFHH	The Museo de Bellas Artes	129.39
1963-08-31	US6RFHH	The Museo de Bellas Artes	132.38
1963-09-30	US6RFHH	The Museo de Bellas Artes	134.04
1963-10-31	US6RFHH	The Museo de Bellas Artes	136.24
1963-11-30	US6RFHH	The Museo de Bellas Artes	135.21
1963-12-31	US6RFHH	The Museo de Bellas Artes	130.18
1964-01-31	US6RFHH	The Museo de Bellas Artes	128.23
1964-02-29	US6RFHH	The Museo de Bellas Artes	130.69
1964-03-31	US6RFHH	The Museo de Bellas Artes	132.28
1964-04-30	US6RFHH	The Museo de Bellas Artes	135.99
1964-05-31	US6RFHH	The Museo de Bellas Artes	136.42
1964-06-30	US6RFHH	The Museo de Bellas Artes	138.34
1964-07-31	US6RFHH	The Museo de Bellas Artes	141.69
1964-08-31	US6RFHH	The Museo de Bellas Artes	145.22
1964-09-30	US6RFHH	The Museo de Bellas Artes	140.65
1964-10-31	US6RFHH	The Museo de Bellas Artes	132.15
1964-11-30	US6RFHH	The Museo de Bellas Artes	134.37
1964-12-31	US6RFHH	The Museo de Bellas Artes	132.65
1965-01-31	US6RFHH	The Museo de Bellas Artes	135.68
1965-02-28	US6RFHH	The Museo de Bellas Artes	140.13
1965-03-31	US6RFHH	The Museo de Bellas Artes	138.51
1965-04-30	US6RFHH	The Museo de Bellas Artes	139.86
1965-05-31	US6RFHH	The Museo de Bellas Artes	141.11
1965-06-30	US6RFHH	The Museo de Bellas Artes	141.74
1965-07-31	US6RFHH	The Museo de Bellas Artes	143.35
1965-08-31	US6RFHH	The Museo de Bellas Artes	137.66
1965-09-30	US6RFHH	The Museo de Bellas Artes	143.64
1965-10-31	US6RFHH	The Museo de Bellas Artes	137.81
1965-11-30	US6RFHH	The Museo de Bellas Artes	138.08
1965-12-31	US6RFHH	The Museo de Bellas Artes	130.58
1966-01-31	US6RFHH	The Museo de Bellas Artes	133.75
1966-02-28	US6RFHH	The Museo de Bellas Artes	130.26
1966-03-31	US6RFHH	The Museo de Bellas Artes	128.73
