Date	Company Code	Company Name	Stock Price
1959-01-31	US3VOPM	The Museo de la Ciudad	93.61
1959-02-28	US3VOPM	The Museo de la Ciudad	101.48
1959-03-31	US3VOPM	The Museo de la Ciudad	108.34
1959-04-30	US3VOPM	The Museo de la Ciudad	104.67
1959-05-31	US3VOPM	The Museo de la Ciudad	103.5
1959-06-30	US3VOPM	The Museo de la Ciudad	101.37
1959-07-31	US3VOPM	The Museo de la Ciudad	104.94
1959-08-31	US3VOPM	The Museo de la Ciudad	103.35
1959-09-30	US3VOPM	The Museo de la Ciudad	106.35
1959-10-31	US3VOPM	The Museo de la Ciudad	109.64
1959-11-30	US3VOPM	The Museo de la Ciudad	110.48
1959-12-31	US3VOPM	The Museo de la Ciudad	111.13
1960-01-31	US3VOPM	The Museo de la Ciudad	110.92
1960-02-29	US3VOPM	The Museo de la Ciudad	112.15
1960-03-31	US3VOPM	The Museo de la Ciudad	111.65
1960-04-30	US3VOPM	The Museo de la Ciudad	115.83
1960-05-31	US3VOPM	The Museo de la Ciudad	118.75
1960-06-30	US3VOPM	The Museo de la Ciudad	124.81
1960-07-31	US3VOPM	The Museo de la Ciudad	125.92
1960-08-31	US3VOPM	The Museo de la Ciudad	120.54
1960-09-30	US3VOPM	The Museo de la Ciudad	118.1
1960-10-31	US3VOPM	The Museo de la Ciudad	117.43
1960-11-30	US3VOPM	The Museo de la Ciudad	117.22
1960-12-31	US3VOPM	The Museo de la Ciudad	113.27
1961-01-31	US3VOPM	The Museo de la Ciudad	117.36
1961-02-28	US3VOPM	The Museo de la Ciudad	114.72
1961-03-31	US3VOPM	The Museo de la Ciudad	114.25
1961-04-30	US3VOPM	The Museo de la Ciudad	112.62
1961-05-31	US3VOPM	The Museo de la Ciudad	111.7
1961-06-30	US3VOPM	The Museo de la Ciudad	110.57
1961-07-31	US3VOPM	The Museo de la Ciudad	109.03
1961-08-31	US3VOPM	The Museo de la Ciudad	104.23
1961-09-30	US3VOPM	The Museo de la Ciudad	111.97
1961-10-31	US3VOPM	The Museo de la Ciudad	111.96
1961-11-30	US3VOPM	The Museo de la Ciudad	117.01
1961-12-31	US3VOPM	The Museo de la Ciudad	119.55
1962-01-31	US3VOPM	The Museo de la Ciudad	123.65
1962-02-28	US3VOPM	The Museo de la Ciudad	123.45
1962-03-31	US3VOPM	The Museo de la Ciudad	122.19
1962-04-30	US3VOPM	The Museo de la Ciudad	128.49
1962-05-31	US3VOPM	The Museo de la Ciudad	131.38
1962-06-30	US3VOPM	The Museo de la Ciudad	130.63
1962-07-31	US3VOPM	The Museo de la Ciudad	130.11
