Date	Company Code	Company Name	Stock Price
1959-01-31	USCL0YH	The Museo del Prado	94.39
1959-02-28	USCL0YH	The Museo del Prado	95.6
1959-03-31	USCL0YH	The Museo del Prado	92.65
1959-04-30	USCL0YH	The Museo del Prado	86.74
1959-05-31	USCL0YH	The Museo del Prado	86.83
1959-06-30	USCL0YH	The Museo del Prado	80.94
1959-07-31	USCL0YH	The Museo del Prado	79.75
1959-08-31	USCL0YH	The Museo del Prado	75.39
1959-09-30	USCL0YH	The Museo del Prado	76.91
1959-10-31	USCL0YH	The Museo del Prado	79.22
1959-11-30	USCL0YH	The Museo del Prado	75.95
1959-12-31	USCL0YH	The Museo del Prado	78.89
1960-01-31	USCL0YH	The Museo del Prado	78.95
1960-02-29	USCL0YH	The Museo del Prado	76.77
1960-03-31	USCL0YH	The Museo del Prado	68.39
1960-04-30	USCL0YH	The Museo del Prado	67.7
1960-05-31	USCL0YH	The Museo del Prado	67.88
1960-06-30	USCL0YH	The Museo del Prado	68.79
1960-07-31	USCL0YH	The Museo del Prado	74.35
1960-08-31	USCL0YH	The Museo del Prado	80.92
1960-09-30	USCL0YH	The Museo del Prado	76.76
1960-10-31	USCL0YH	The Museo del Prado	76.58
1960-11-30	USCL0YH	The Museo del Prado	79.25
1960-12-31	USCL0YH	The Museo del Prado	76.08
1961-01-31	USCL0YH	The Museo del Prado	76.25
1961-02-28	USCL0YH	The Museo del Prado	68.65
1961-03-31	USCL0YH	The Museo del Prado	64.78
1961-04-30	USCL0YH	The Museo del Prado	69.72
1961-05-31	USCL0YH	The Museo del Prado	71.21
1961-06-30	USCL0YH	The Museo del Prado	66.18
1961-07-31	USCL0YH	The Museo del Prado	62.982361699980245
1961-08-31	USCL0YH	The Museo del Prado	64.28
1961-09-30	USCL0YH	The Museo del Prado	62.92
1961-10-31	USCL0YH	The Museo del Prado	62.97654309969935
1961-11-30	USCL0YH	The Museo del Prado	63.97
1961-12-31	USCL0YH	The Museo del Prado	61.579988991823505
1962-01-31	USCL0YH	The Museo del Prado	64.64
1962-02-28	USCL0YH	The Museo del Prado	64.03
1962-03-31	USCL0YH	The Museo del Prado	67.34
1962-04-30	USCL0YH	The Museo del Prado	69.37
1962-05-31	USCL0YH	The Museo del Prado	63.61
1962-06-30	USCL0YH	The Museo del Prado	63.51
1962-07-31	USCL0YH	The Museo del Prado	64.18
1962-08-31	USCL0YH	The Museo del Prado	71.03
1962-09-30	USCL0YH	The Museo del Prado	72.08
1962-10-31	USCL0YH	The Museo del Prado	74.63
1962-11-30	USCL0YH	The Museo del Prado	73.46
1962-12-31	USCL0YH	The Museo del Prado	70.47
1963-01-31	USCL0YH	The Museo del Prado	71.44
1963-02-28	USCL0YH	The Museo del Prado	77.95
1963-03-31	USCL0YH	The Museo del Prado	80.08
1963-04-30	USCL0YH	The Museo del Prado	82.33
1963-05-31	USCL0YH	The Museo del Prado	81.03
1963-06-30	USCL0YH	The Museo del Prado	74.9
1963-07-31	USCL0YH	The Museo del Prado	74.14
1963-08-31	USCL0YH	The Museo del Prado	79.48
1963-09-30	USCL0YH	The Museo del Prado	74.59
1963-10-31	USCL0YH	The Museo del Prado	78.46
1963-11-30	USCL0YH	The Museo del Prado	78.84
1963-12-31	USCL0YH	The Museo del Prado	77.47
1964-01-31	USCL0YH	The Museo del Prado	78.57
1964-02-29	USCL0YH	The Museo del Prado	82.66
1964-03-31	USCL0YH	The Museo del Prado	86.64
1964-04-30	USCL0YH	The Museo del Prado	85.32
1964-05-31	USCL0YH	The Museo del Prado	85.3
1964-06-30	USCL0YH	The Museo del Prado	82.89
1964-07-31	USCL0YH	The Museo del Prado	79.16
1964-08-31	USCL0YH	The Museo del Prado	83.99
1964-09-30	USCL0YH	The Museo del Prado	79.3
1964-10-31	USCL0YH	The Museo del Prado	85.33
1964-11-30	USCL0YH	The Museo del Prado	84.52
1964-12-31	USCL0YH	The Museo del Prado	88.93
1965-01-31	USCL0YH	The Museo del Prado	92.08
1965-02-28	USCL0YH	The Museo del Prado	92.33
1965-03-31	USCL0YH	The Museo del Prado	90.54
1965-04-30	USCL0YH	The Museo del Prado	92.34
1965-05-31	USCL0YH	The Museo del Prado	87.85
1965-06-30	USCL0YH	The Museo del Prado	85.41
1965-07-31	USCL0YH	The Museo del Prado	84.67
1965-08-31	USCL0YH	The Museo del Prado	83.41
1965-09-30	USCL0YH	The Museo del Prado	89.45
1965-10-31	USCL0YH	The Museo del Prado	87.24
1965-11-30	USCL0YH	The Museo del Prado	81.69
1965-12-31	USCL0YH	The Museo del Prado	76.39
1966-01-31	USCL0YH	The Museo del Prado	84.09
1966-02-28	USCL0YH	The Museo del Prado	81.73
1966-03-31	USCL0YH	The Museo del Prado	82.68
1966-04-30	USCL0YH	The Museo del Prado	78.1
1966-05-31	USCL0YH	The Museo del Prado	77.89
1966-06-30	USCL0YH	The Museo del Prado	84.49
1966-07-31	USCL0YH	The Museo del Prado	81.54
1966-08-31	USCL0YH	The Museo del Prado	82.46
1966-09-30	USCL0YH	The Museo del Prado	83.62
1966-10-31	USCL0YH	The Museo del Prado	82.0
1966-11-30	USCL0YH	The Museo del Prado	75.99
1966-12-31	USCL0YH	The Museo del Prado	77.07
1967-01-31	USCL0YH	The Museo del Prado	85.43
1967-02-28	USCL0YH	The Museo del Prado	81.8
1967-03-31	USCL0YH	The Museo del Prado	80.68
1967-04-30	USCL0YH	The Museo del Prado	82.91
1967-05-31	USCL0YH	The Museo del Prado	82.8
1967-06-30	USCL0YH	The Museo del Prado	83.83
1967-07-31	USCL0YH	The Museo del Prado	78.26
1967-08-31	USCL0YH	The Museo del Prado	81.07
1967-09-30	USCL0YH	The Museo del Prado	77.05
1967-10-31	USCL0YH	The Museo del Prado	81.71
1967-11-30	USCL0YH	The Museo del Prado	77.21
1967-12-31	USCL0YH	The Museo del Prado	73.36
1968-01-31	USCL0YH	The Museo del Prado	77.43
1968-02-29	USCL0YH	The Museo del Prado	76.85
1968-03-31	USCL0YH	The Museo del Prado	70.58
1968-04-30	USCL0YH	The Museo del Prado	74.52
1968-05-31	USCL0YH	The Museo del Prado	70.42
1968-06-30	USCL0YH	The Museo del Prado	68.01
1968-07-31	USCL0YH	The Museo del Prado	64.68
1968-08-31	USCL0YH	The Museo del Prado	62.18506519860394
1968-09-30	USCL0YH	The Museo del Prado	61.3
1968-10-31	USCL0YH	The Museo del Prado	61.28574435540973
1968-11-30	USCL0YH	The Museo del Prado	66.32
1968-12-31	USCL0YH	The Museo del Prado	69.87
1969-01-31	USCL0YH	The Museo del Prado	69.54
1969-02-28	USCL0YH	The Museo del Prado	68.42
1969-03-31	USCL0YH	The Museo del Prado	65.84
1969-04-30	USCL0YH	The Museo del Prado	68.05
1969-05-31	USCL0YH	The Museo del Prado	65.41
1969-06-30	USCL0YH	The Museo del Prado	68.05
1969-07-31	USCL0YH	The Museo del Prado	70.92
1969-08-31	USCL0YH	The Museo del Prado	67.12
1969-09-30	USCL0YH	The Museo del Prado	65.43
1969-10-31	USCL0YH	The Museo del Prado	63.52
1969-11-30	USCL0YH	The Museo del Prado	62.993487928141946
1969-12-31	USCL0YH	The Museo del Prado	63.46
1970-01-31	USCL0YH	The Museo del Prado	62.07
1970-02-28	USCL0YH	The Museo del Prado	63.23
1970-03-31	USCL0YH	The Museo del Prado	61.7924637740978
1970-04-30	USCL0YH	The Museo del Prado	66.36
1970-05-31	USCL0YH	The Museo del Prado	60.19
1970-06-30	USCL0YH	The Museo del Prado	62.217488602398475
1970-07-31	USCL0YH	The Museo del Prado	60.1
1970-08-31	USCL0YH	The Museo del Prado	61.783412704173074
1970-09-30	USCL0YH	The Museo del Prado	61.268406366946316
1970-10-31	USCL0YH	The Museo del Prado	60.47
1970-11-30	USCL0YH	The Museo del Prado	62.02879424923928
1970-12-31	USCL0YH	The Museo del Prado	65.09
1971-01-31	USCL0YH	The Museo del Prado	69.15
1971-02-28	USCL0YH	The Museo del Prado	74.88
1971-03-31	USCL0YH	The Museo del Prado	71.06
1971-04-30	USCL0YH	The Museo del Prado	67.89
1971-05-31	USCL0YH	The Museo del Prado	67.0
1971-06-30	USCL0YH	The Museo del Prado	70.22
1971-07-31	USCL0YH	The Museo del Prado	74.88
1971-08-31	USCL0YH	The Museo del Prado	73.56
1971-09-30	USCL0YH	The Museo del Prado	72.29
1971-10-31	USCL0YH	The Museo del Prado	69.06
1971-11-30	USCL0YH	The Museo del Prado	69.5
1971-12-31	USCL0YH	The Museo del Prado	71.89
1972-01-31	USCL0YH	The Museo del Prado	66.91
1972-02-29	USCL0YH	The Museo del Prado	72.1
1972-03-31	USCL0YH	The Museo del Prado	77.44
1972-04-30	USCL0YH	The Museo del Prado	73.91
1972-05-31	USCL0YH	The Museo del Prado	73.61
1972-06-30	USCL0YH	The Museo del Prado	75.76
1972-07-31	USCL0YH	The Museo del Prado	75.57
1972-08-31	USCL0YH	The Museo del Prado	73.57
1972-09-30	USCL0YH	The Museo del Prado	72.22
1972-10-31	USCL0YH	The Museo del Prado	73.86
1972-11-30	USCL0YH	The Museo del Prado	77.96
1972-12-31	USCL0YH	The Museo del Prado	76.48
1973-01-31	USCL0YH	The Museo del Prado	74.67
1973-02-28	USCL0YH	The Museo del Prado	71.78
1973-03-31	USCL0YH	The Museo del Prado	80.25
1973-04-30	USCL0YH	The Museo del Prado	73.81
1973-05-31	USCL0YH	The Museo del Prado	78.36
1973-06-30	USCL0YH	The Museo del Prado	79.91
1973-07-31	USCL0YH	The Museo del Prado	77.8
1973-08-31	USCL0YH	The Museo del Prado	83.08
1973-09-30	USCL0YH	The Museo del Prado	84.38
1973-10-31	USCL0YH	The Museo del Prado	82.53
1973-11-30	USCL0YH	The Museo del Prado	90.65
1973-12-31	USCL0YH	The Museo del Prado	94.33
1974-01-31	USCL0YH	The Museo del Prado	94.01
1974-02-28	USCL0YH	The Museo del Prado	101.39
1974-03-31	USCL0YH	The Museo del Prado	103.25
1974-04-30	USCL0YH	The Museo del Prado	98.91
1974-05-31	USCL0YH	The Museo del Prado	103.33
1974-06-30	USCL0YH	The Museo del Prado	99.95
1974-07-31	USCL0YH	The Museo del Prado	103.48
1974-08-31	USCL0YH	The Museo del Prado	102.79
