Date	Company Code	Company Name	Stock Price
1959-01-31	USBNJ1V	The Museum of Modern Art	108.76
1959-02-28	USBNJ1V	The Museum of Modern Art	111.78
1959-03-31	USBNJ1V	The Museum of Modern Art	109.77
1959-04-30	USBNJ1V	The Museum of Modern Art	111.58
1959-05-31	USBNJ1V	The Museum of Modern Art	112.87
1959-06-30	USBNJ1V	The Museum of Modern Art	113.37
1959-07-31	USBNJ1V	The Museum of Modern Art	114.58
1959-08-31	USBNJ1V	The Museum of Modern Art	115.17
1959-09-30	USBNJ1V	The Museum of Modern Art	114.79
1959-10-31	USBNJ1V	The Museum of Modern Art	121.86
1959-11-30	USBNJ1V	The Museum of Modern Art	118.22
1959-12-31	USBNJ1V	The Museum of Modern Art	120.47
1960-01-31	USBNJ1V	The Museum of Modern Art	125.14
1960-02-29	USBNJ1V	The Museum of Modern Art	127.91
1960-03-31	USBNJ1V	The Museum of Modern Art	128.28
1960-04-30	USBNJ1V	The Museum of Modern Art	128.31
1960-05-31	USBNJ1V	The Museum of Modern Art	133.41
1960-06-30	USBNJ1V	The Museum of Modern Art	137.88
1960-07-31	USBNJ1V	The Museum of Modern Art	144.89
1960-08-31	USBNJ1V	The Museum of Modern Art	143.24
1960-09-30	USBNJ1V	The Museum of Modern Art	139.06
1960-10-31	USBNJ1V	The Museum of Modern Art	140.98
1960-11-30	USBNJ1V	The Museum of Modern Art	146.97
1960-12-31	USBNJ1V	The Museum of Modern Art	141.32
1961-01-31	USBNJ1V	The Museum of Modern Art	139.89
1961-02-28	USBNJ1V	The Museum of Modern Art	148.92
1961-03-31	USBNJ1V	The Museum of Modern Art	151.02
1961-04-30	USBNJ1V	The Museum of Modern Art	156.85
1961-05-31	USBNJ1V	The Museum of Modern Art	155.39
1961-06-30	USBNJ1V	The Museum of Modern Art	163.49
1961-07-31	USBNJ1V	The Museum of Modern Art	166.47
1961-08-31	USBNJ1V	The Museum of Modern Art	163.93
1961-09-30	USBNJ1V	The Museum of Modern Art	157.42
1961-10-31	USBNJ1V	The Museum of Modern Art	153.02
1961-11-30	USBNJ1V	The Museum of Modern Art	152.64
1961-12-31	USBNJ1V	The Museum of Modern Art	145.6
1962-01-31	USBNJ1V	The Museum of Modern Art	144.75
1962-02-28	USBNJ1V	The Museum of Modern Art	144.37
1962-03-31	USBNJ1V	The Museum of Modern Art	143.96
1962-04-30	USBNJ1V	The Museum of Modern Art	151.22
1962-05-31	USBNJ1V	The Museum of Modern Art	151.83
1962-06-30	USBNJ1V	The Museum of Modern Art	148.44
1962-07-31	USBNJ1V	The Museum of Modern Art	152.02
1962-08-31	USBNJ1V	The Museum of Modern Art	152.53
1962-09-30	USBNJ1V	The Museum of Modern Art	147.25
1962-10-31	USBNJ1V	The Museum of Modern Art	140.86
1962-11-30	USBNJ1V	The Museum of Modern Art	147.2
1962-12-31	USBNJ1V	The Museum of Modern Art	149.29
1963-01-31	USBNJ1V	The Museum of Modern Art	149.48
1963-02-28	USBNJ1V	The Museum of Modern Art	151.83
1963-03-31	USBNJ1V	The Museum of Modern Art	149.67
1963-04-30	USBNJ1V	The Museum of Modern Art	147.8
1963-05-31	USBNJ1V	The Museum of Modern Art	146.68
1963-06-30	USBNJ1V	The Museum of Modern Art	150.22
1963-07-31	USBNJ1V	The Museum of Modern Art	151.59
1963-08-31	USBNJ1V	The Museum of Modern Art	158.32
1963-09-30	USBNJ1V	The Museum of Modern Art	157.11
1963-10-31	USBNJ1V	The Museum of Modern Art	157.13
1963-11-30	USBNJ1V	The Museum of Modern Art	154.94
1963-12-31	USBNJ1V	The Museum of Modern Art	163.68
1964-01-31	USBNJ1V	The Museum of Modern Art	159.56
1964-02-29	USBNJ1V	The Museum of Modern Art	161.89
1964-03-31	USBNJ1V	The Museum of Modern Art	162.49
1964-04-30	USBNJ1V	The Museum of Modern Art	161.86
1964-05-31	USBNJ1V	The Museum of Modern Art	164.37
1964-06-30	USBNJ1V	The Museum of Modern Art	161.13
