Date	Company Code	Company Name	Stock Price
1959-01-31	US20KI5	The National Gallery	97.62
1959-02-28	US20KI5	The National Gallery	89.37
1959-03-31	US20KI5	The National Gallery	88.03
1959-04-30	US20KI5	The National Gallery	87.04
1959-05-31	US20KI5	The National Gallery	89.78
1959-06-30	US20KI5	The National Gallery	92.49
1959-07-31	US20KI5	The National Gallery	90.16
1959-08-31	US20KI5	The National Gallery	88.78
1959-09-30	US20KI5	The National Gallery	85.54
1959-10-31	US20KI5	The National Gallery	78.07
1959-11-30	US20KI5	The National Gallery	75.25
1959-12-31	US20KI5	The National Gallery	71.26
1960-01-31	US20KI5	The National Gallery	75.2
1960-02-29	US20KI5	The National Gallery	75.95
1960-03-31	US20KI5	The National Gallery	74.37
1960-04-30	US20KI5	The National Gallery	82.52
1960-05-31	US20KI5	The National Gallery	89.97
1960-06-30	US20KI5	The National Gallery	95.83
1960-07-31	US20KI5	The National Gallery	101.85
1960-08-31	US20KI5	The National Gallery	97.38
1960-09-30	US20KI5	The National Gallery	94.58
1960-10-31	US20KI5	The National Gallery	102.54
1960-11-30	US20KI5	The National Gallery	97.87
1960-12-31	US20KI5	The National Gallery	96.46
1961-01-31	US20KI5	The National Gallery	101.5
1961-02-28	US20KI5	The National Gallery	96.48
1961-03-31	US20KI5	The National Gallery	97.44
1961-04-30	US20KI5	The National Gallery	92.76
1961-05-31	US20KI5	The National Gallery	94.72
1961-06-30	US20KI5	The National Gallery	94.92
1961-07-31	US20KI5	The National Gallery	94.4
1961-08-31	US20KI5	The National Gallery	89.85
1961-09-30	US20KI5	The National Gallery	92.67
1961-10-31	US20KI5	The National Gallery	90.87
1961-11-30	US20KI5	The National Gallery	91.46
1961-12-31	US20KI5	The National Gallery	89.02
1962-01-31	US20KI5	The National Gallery	84.54
1962-02-28	US20KI5	The National Gallery	85.51
1962-03-31	US20KI5	The National Gallery	84.69
1962-04-30	US20KI5	The National Gallery	85.2
1962-05-31	US20KI5	The National Gallery	86.63
1962-06-30	US20KI5	The National Gallery	86.88
1962-07-31	US20KI5	The National Gallery	91.34
1962-08-31	US20KI5	The National Gallery	91.99
1962-09-30	US20KI5	The National Gallery	90.76
1962-10-31	US20KI5	The National Gallery	88.74
1962-11-30	US20KI5	The National Gallery	82.35
1962-12-31	US20KI5	The National Gallery	85.62
1963-01-31	US20KI5	The National Gallery	81.05
1963-02-28	US20KI5	The National Gallery	88.66
1963-03-31	US20KI5	The National Gallery	90.63
1963-04-30	US20KI5	The National Gallery	88.44
1963-05-31	US20KI5	The National Gallery	89.14
1963-06-30	US20KI5	The National Gallery	89.0
1963-07-31	US20KI5	The National Gallery	81.48
1963-08-31	US20KI5	The National Gallery	72.67
1963-09-30	US20KI5	The National Gallery	68.96
1963-10-31	US20KI5	The National Gallery	74.53
1963-11-30	US20KI5	The National Gallery	75.15
1963-12-31	US20KI5	The National Gallery	74.6
1964-01-31	US20KI5	The National Gallery	75.57
1964-02-29	US20KI5	The National Gallery	75.9
1964-03-31	US20KI5	The National Gallery	75.49
1964-04-30	US20KI5	The National Gallery	75.86
1964-05-31	US20KI5	The National Gallery	75.44
1964-06-30	US20KI5	The National Gallery	80.48
1964-07-31	US20KI5	The National Gallery	85.37
1964-08-31	US20KI5	The National Gallery	85.29
1964-09-30	US20KI5	The National Gallery	88.07
1964-10-31	US20KI5	The National Gallery	86.35
1964-11-30	US20KI5	The National Gallery	88.99
1964-12-31	US20KI5	The National Gallery	90.6
1965-01-31	US20KI5	The National Gallery	94.63
1965-02-28	US20KI5	The National Gallery	92.54
1965-03-31	US20KI5	The National Gallery	94.37
1965-04-30	US20KI5	The National Gallery	92.16
1965-05-31	US20KI5	The National Gallery	90.55
1965-06-30	US20KI5	The National Gallery	85.81
1965-07-31	US20KI5	The National Gallery	81.77
1965-08-31	US20KI5	The National Gallery	80.78
1965-09-30	US20KI5	The National Gallery	76.35
1965-10-31	US20KI5	The National Gallery	74.2
1965-11-30	US20KI5	The National Gallery	71.99
1965-12-31	US20KI5	The National Gallery	74.38
1966-01-31	US20KI5	The National Gallery	74.56
1966-02-28	US20KI5	The National Gallery	70.9
1966-03-31	US20KI5	The National Gallery	71.41
1966-04-30	US20KI5	The National Gallery	68.39
1966-05-31	US20KI5	The National Gallery	71.04
1966-06-30	US20KI5	The National Gallery	74.2
1966-07-31	US20KI5	The National Gallery	68.4
1966-08-31	US20KI5	The National Gallery	67.98
1966-09-30	US20KI5	The National Gallery	64.09
1966-10-31	US20KI5	The National Gallery	70.06
1966-11-30	US20KI5	The National Gallery	68.22
1966-12-31	US20KI5	The National Gallery	69.25
1967-01-31	US20KI5	The National Gallery	74.71
1967-02-28	US20KI5	The National Gallery	69.83
1967-03-31	US20KI5	The National Gallery	61.54
1967-04-30	US20KI5	The National Gallery	65.89
1967-05-31	US20KI5	The National Gallery	64.95
1967-06-30	US20KI5	The National Gallery	71.55
1967-07-31	US20KI5	The National Gallery	73.01
1967-08-31	US20KI5	The National Gallery	77.72
1967-09-30	US20KI5	The National Gallery	74.64
1967-10-31	US20KI5	The National Gallery	83.11
1967-11-30	US20KI5	The National Gallery	82.93
1967-12-31	US20KI5	The National Gallery	85.07
1968-01-31	US20KI5	The National Gallery	83.69
1968-02-29	US20KI5	The National Gallery	85.97
1968-03-31	US20KI5	The National Gallery	86.48
1968-04-30	US20KI5	The National Gallery	88.54
1968-05-31	US20KI5	The National Gallery	91.73
1968-06-30	US20KI5	The National Gallery	92.21
1968-07-31	US20KI5	The National Gallery	92.11
1968-08-31	US20KI5	The National Gallery	90.08
1968-09-30	US20KI5	The National Gallery	86.9
1968-10-31	US20KI5	The National Gallery	86.2
1968-11-30	US20KI5	The National Gallery	88.66
1968-12-31	US20KI5	The National Gallery	87.35
1969-01-31	US20KI5	The National Gallery	91.34
1969-02-28	US20KI5	The National Gallery	93.25
1969-03-31	US20KI5	The National Gallery	91.12
1969-04-30	US20KI5	The National Gallery	92.23
1969-05-31	US20KI5	The National Gallery	94.02
1969-06-30	US20KI5	The National Gallery	90.72
1969-07-31	US20KI5	The National Gallery	93.24
1969-08-31	US20KI5	The National Gallery	94.28
1969-09-30	US20KI5	The National Gallery	94.3
1969-10-31	US20KI5	The National Gallery	93.74
1969-11-30	US20KI5	The National Gallery	95.62
1969-12-31	US20KI5	The National Gallery	97.04
1970-01-31	US20KI5	The National Gallery	96.63
1970-02-28	US20KI5	The National Gallery	99.96
1970-03-31	US20KI5	The National Gallery	100.82
1970-04-30	US20KI5	The National Gallery	102.98
1970-05-31	US20KI5	The National Gallery	101.1
1970-06-30	US20KI5	The National Gallery	99.9
1970-07-31	US20KI5	The National Gallery	97.68
1970-08-31	US20KI5	The National Gallery	94.83
1970-09-30	US20KI5	The National Gallery	90.11
1970-10-31	US20KI5	The National Gallery	88.26
1970-11-30	US20KI5	The National Gallery	84.64
1970-12-31	US20KI5	The National Gallery	79.03
1971-01-31	US20KI5	The National Gallery	74.33
1971-02-28	US20KI5	The National Gallery	78.66
1971-03-31	US20KI5	The National Gallery	79.95
1971-04-30	US20KI5	The National Gallery	79.32
1971-05-31	US20KI5	The National Gallery	81.37
1971-06-30	US20KI5	The National Gallery	75.57
1971-07-31	US20KI5	The National Gallery	73.41
1971-08-31	US20KI5	The National Gallery	72.9
1971-09-30	US20KI5	The National Gallery	74.95
1971-10-31	US20KI5	The National Gallery	75.93
1971-11-30	US20KI5	The National Gallery	75.83
1971-12-31	US20KI5	The National Gallery	76.74
1972-01-31	US20KI5	The National Gallery	77.95
1972-02-29	US20KI5	The National Gallery	81.4
1972-03-31	US20KI5	The National Gallery	76.66
1972-04-30	US20KI5	The National Gallery	77.35
1972-05-31	US20KI5	The National Gallery	76.99
1972-06-30	US20KI5	The National Gallery	82.43
1972-07-31	US20KI5	The National Gallery	79.87
1972-08-31	US20KI5	The National Gallery	77.51
1972-09-30	US20KI5	The National Gallery	79.78
1972-10-31	US20KI5	The National Gallery	77.88
1972-11-30	US20KI5	The National Gallery	79.16
1972-12-31	US20KI5	The National Gallery	83.38
1973-01-31	US20KI5	The National Gallery	82.76
1973-02-28	US20KI5	The National Gallery	84.28
1973-03-31	US20KI5	The National Gallery	83.13
1973-04-30	US20KI5	The National Gallery	82.74
1973-05-31	US20KI5	The National Gallery	82.79
1973-06-30	US20KI5	The National Gallery	88.86
1973-07-31	US20KI5	The National Gallery	93.96
1973-08-31	US20KI5	The National Gallery	95.37
1973-09-30	US20KI5	The National Gallery	99.08
1973-10-31	US20KI5	The National Gallery	97.78
1973-11-30	US20KI5	The National Gallery	99.94
1973-12-31	US20KI5	The National Gallery	93.81
1974-01-31	US20KI5	The National Gallery	102.15
1974-02-28	US20KI5	The National Gallery	108.0
1974-03-31	US20KI5	The National Gallery	107.03
1974-04-30	US20KI5	The National Gallery	106.41
1974-05-31	US20KI5	The National Gallery	107.65
1974-06-30	US20KI5	The National Gallery	113.55
1974-07-31	US20KI5	The National Gallery	105.05
1974-08-31	US20KI5	The National Gallery	99.73
1974-09-30	US20KI5	The National Gallery	104.27
1974-10-31	US20KI5	The National Gallery	106.27
1974-11-30	US20KI5	The National Gallery	104.88
1974-12-31	US20KI5	The National Gallery	98.12
1975-01-31	US20KI5	The National Gallery	104.73
1975-02-28	US20KI5	The National Gallery	104.08
1975-03-31	US20KI5	The National Gallery	98.88
1975-04-30	US20KI5	The National Gallery	98.51
1975-05-31	US20KI5	The National Gallery	96.48
1975-06-30	US20KI5	The National Gallery	96.65
1975-07-31	US20KI5	The National Gallery	101.51
1975-08-31	US20KI5	The National Gallery	101.46
1975-09-30	US20KI5	The National Gallery	104.85
1975-10-31	US20KI5	The National Gallery	104.05
1975-11-30	US20KI5	The National Gallery	109.2
1975-12-31	US20KI5	The National Gallery	111.68
1976-01-31	US20KI5	The National Gallery	108.62
1976-02-29	US20KI5	The National Gallery	105.39
1976-03-31	US20KI5	The National Gallery	108.34
1976-04-30	US20KI5	The National Gallery	106.3
1976-05-31	US20KI5	The National Gallery	102.2
1976-06-30	US20KI5	The National Gallery	104.3
1976-07-31	US20KI5	The National Gallery	103.95
1976-08-31	US20KI5	The National Gallery	99.55
1976-09-30	US20KI5	The National Gallery	98.14
1976-10-31	US20KI5	The National Gallery	100.81
1976-11-30	US20KI5	The National Gallery	102.25
1976-12-31	US20KI5	The National Gallery	111.03
1977-01-31	US20KI5	The National Gallery	111.43
1977-02-28	US20KI5	The National Gallery	109.37
1977-03-31	US20KI5	The National Gallery	115.05
1977-04-30	US20KI5	The National Gallery	114.96
1977-05-31	US20KI5	The National Gallery	111.29
1977-06-30	US20KI5	The National Gallery	107.27
1977-07-31	US20KI5	The National Gallery	103.39
1977-08-31	US20KI5	The National Gallery	100.76
1977-09-30	US20KI5	The National Gallery	97.99
1977-10-31	US20KI5	The National Gallery	97.21
1977-11-30	US20KI5	The National Gallery	91.05
1977-12-31	US20KI5	The National Gallery	85.64
1978-01-31	US20KI5	The National Gallery	87.21
1978-02-28	US20KI5	The National Gallery	87.31
1978-03-31	US20KI5	The National Gallery	88.0
1978-04-30	US20KI5	The National Gallery	92.23
1978-05-31	US20KI5	The National Gallery	92.06
1978-06-30	US20KI5	The National Gallery	94.52
1978-07-31	US20KI5	The National Gallery	90.37
1978-08-31	US20KI5	The National Gallery	94.84
1978-09-30	US20KI5	The National Gallery	94.39
1978-10-31	US20KI5	The National Gallery	93.67
1978-11-30	US20KI5	The National Gallery	94.17
1978-12-31	US20KI5	The National Gallery	90.25
1979-01-31	US20KI5	The National Gallery	83.34
1979-02-28	US20KI5	The National Gallery	77.82
1979-03-31	US20KI5	The National Gallery	80.66
1979-04-30	US20KI5	The National Gallery	77.35
1979-05-31	US20KI5	The National Gallery	79.0
1979-06-30	US20KI5	The National Gallery	82.73
1979-07-31	US20KI5	The National Gallery	77.68
1979-08-31	US20KI5	The National Gallery	73.68
1979-09-30	US20KI5	The National Gallery	75.6
1979-10-31	US20KI5	The National Gallery	79.44
1979-11-30	US20KI5	The National Gallery	82.07
1979-12-31	US20KI5	The National Gallery	82.17
1980-01-31	US20KI5	The National Gallery	82.44
1980-02-29	US20KI5	The National Gallery	84.63
1980-03-31	US20KI5	The National Gallery	79.24
1980-04-30	US20KI5	The National Gallery	76.13
1980-05-31	US20KI5	The National Gallery	75.99
1980-06-30	US20KI5	The National Gallery	74.69
1980-07-31	US20KI5	The National Gallery	79.51
1980-08-31	US20KI5	The National Gallery	79.51
1980-09-30	US20KI5	The National Gallery	80.83
