Date	Company Code	Company Name	Stock Price
1959-01-31	US0LLUP	The National Gallery of Art	123.8
1959-02-28	US0LLUP	The National Gallery of Art	128.58
1959-03-31	US0LLUP	The National Gallery of Art	126.88
1959-04-30	US0LLUP	The National Gallery of Art	130.59
1959-05-31	US0LLUP	The National Gallery of Art	130.32
1959-06-30	US0LLUP	The National Gallery of Art	128.26
1959-07-31	US0LLUP	The National Gallery of Art	125.24
1959-08-31	US0LLUP	The National Gallery of Art	130.18
1959-09-30	US0LLUP	The National Gallery of Art	138.0
1959-10-31	US0LLUP	The National Gallery of Art	142.12
1959-11-30	US0LLUP	The National Gallery of Art	142.82
1959-12-31	US0LLUP	The National Gallery of Art	138.22
1960-01-31	US0LLUP	The National Gallery of Art	132.3
1960-02-29	US0LLUP	The National Gallery of Art	134.56
1960-03-31	US0LLUP	The National Gallery of Art	135.03
1960-04-30	US0LLUP	The National Gallery of Art	139.85
1960-05-31	US0LLUP	The National Gallery of Art	138.36
1960-06-30	US0LLUP	The National Gallery of Art	144.46
1960-07-31	US0LLUP	The National Gallery of Art	140.18
1960-08-31	US0LLUP	The National Gallery of Art	135.22
1960-09-30	US0LLUP	The National Gallery of Art	135.46
1960-10-31	US0LLUP	The National Gallery of Art	142.47
1960-11-30	US0LLUP	The National Gallery of Art	145.13
1960-12-31	US0LLUP	The National Gallery of Art	145.82
1961-01-31	US0LLUP	The National Gallery of Art	143.68
1961-02-28	US0LLUP	The National Gallery of Art	140.93
1961-03-31	US0LLUP	The National Gallery of Art	141.51
1961-04-30	US0LLUP	The National Gallery of Art	143.64
1961-05-31	US0LLUP	The National Gallery of Art	137.96
1961-06-30	US0LLUP	The National Gallery of Art	140.72
1961-07-31	US0LLUP	The National Gallery of Art	137.55
1961-08-31	US0LLUP	The National Gallery of Art	133.03
1961-09-30	US0LLUP	The National Gallery of Art	133.76
1961-10-31	US0LLUP	The National Gallery of Art	134.02
1961-11-30	US0LLUP	The National Gallery of Art	134.94
1961-12-31	US0LLUP	The National Gallery of Art	133.08
1962-01-31	US0LLUP	The National Gallery of Art	133.41
1962-02-28	US0LLUP	The National Gallery of Art	133.89
1962-03-31	US0LLUP	The National Gallery of Art	137.94
1962-04-30	US0LLUP	The National Gallery of Art	138.09
1962-05-31	US0LLUP	The National Gallery of Art	139.76
1962-06-30	US0LLUP	The National Gallery of Art	145.76
1962-07-31	US0LLUP	The National Gallery of Art	146.41
1962-08-31	US0LLUP	The National Gallery of Art	148.4
1962-09-30	US0LLUP	The National Gallery of Art	149.23
1962-10-31	US0LLUP	The National Gallery of Art	148.04
1962-11-30	US0LLUP	The National Gallery of Art	148.75
1962-12-31	US0LLUP	The National Gallery of Art	151.1
1963-01-31	US0LLUP	The National Gallery of Art	145.46
1963-02-28	US0LLUP	The National Gallery of Art	143.29
1963-03-31	US0LLUP	The National Gallery of Art	139.3
1963-04-30	US0LLUP	The National Gallery of Art	140.8
1963-05-31	US0LLUP	The National Gallery of Art	139.67
1963-06-30	US0LLUP	The National Gallery of Art	145.83
1963-07-31	US0LLUP	The National Gallery of Art	144.01
1963-08-31	US0LLUP	The National Gallery of Art	144.37
1963-09-30	US0LLUP	The National Gallery of Art	147.25
1963-10-31	US0LLUP	The National Gallery of Art	143.36
