Date	Company Code	Company Name	Stock Price
1959-01-31	US0ZME9	The RealReal Inc.	112.4
1959-02-28	US0ZME9	The RealReal Inc.	114.07
1959-03-31	US0ZME9	The RealReal Inc.	115.94
1959-04-30	US0ZME9	The RealReal Inc.	112.41
1959-05-31	US0ZME9	The RealReal Inc.	110.91
1959-06-30	US0ZME9	The RealReal Inc.	115.56
1959-07-31	US0ZME9	The RealReal Inc.	115.3
1959-08-31	US0ZME9	The RealReal Inc.	122.31
1959-09-30	US0ZME9	The RealReal Inc.	123.86
1959-10-31	US0ZME9	The RealReal Inc.	121.65
1959-11-30	US0ZME9	The RealReal Inc.	116.88
1959-12-31	US0ZME9	The RealReal Inc.	119.45
1960-01-31	US0ZME9	The RealReal Inc.	122.03
1960-02-29	US0ZME9	The RealReal Inc.	123.0
1960-03-31	US0ZME9	The RealReal Inc.	118.79
1960-04-30	US0ZME9	The RealReal Inc.	117.29
1960-05-31	US0ZME9	The RealReal Inc.	110.69
1960-06-30	US0ZME9	The RealReal Inc.	113.86
1960-07-31	US0ZME9	The RealReal Inc.	110.07
1960-08-31	US0ZME9	The RealReal Inc.	111.45
1960-09-30	US0ZME9	The RealReal Inc.	112.22
1960-10-31	US0ZME9	The RealReal Inc.	114.1
1960-11-30	US0ZME9	The RealReal Inc.	108.4
1960-12-31	US0ZME9	The RealReal Inc.	109.64
1961-01-31	US0ZME9	The RealReal Inc.	111.76
1961-02-28	US0ZME9	The RealReal Inc.	103.99
1961-03-31	US0ZME9	The RealReal Inc.	97.79
1961-04-30	US0ZME9	The RealReal Inc.	94.69
1961-05-31	US0ZME9	The RealReal Inc.	93.56
1961-06-30	US0ZME9	The RealReal Inc.	85.8
1961-07-31	US0ZME9	The RealReal Inc.	79.07
1961-08-31	US0ZME9	The RealReal Inc.	81.16
1961-09-30	US0ZME9	The RealReal Inc.	89.84
1961-10-31	US0ZME9	The RealReal Inc.	88.22
1961-11-30	US0ZME9	The RealReal Inc.	90.53
1961-12-31	US0ZME9	The RealReal Inc.	91.57
1962-01-31	US0ZME9	The RealReal Inc.	90.66
1962-02-28	US0ZME9	The RealReal Inc.	90.86
1962-03-31	US0ZME9	The RealReal Inc.	91.84
1962-04-30	US0ZME9	The RealReal Inc.	89.87
1962-05-31	US0ZME9	The RealReal Inc.	97.83
1962-06-30	US0ZME9	The RealReal Inc.	103.13
1962-07-31	US0ZME9	The RealReal Inc.	107.36
1962-08-31	US0ZME9	The RealReal Inc.	109.12
1962-09-30	US0ZME9	The RealReal Inc.	107.81
1962-10-31	US0ZME9	The RealReal Inc.	112.42
1962-11-30	US0ZME9	The RealReal Inc.	113.04
1962-12-31	US0ZME9	The RealReal Inc.	111.41
1963-01-31	US0ZME9	The RealReal Inc.	107.84
1963-02-28	US0ZME9	The RealReal Inc.	108.69
1963-03-31	US0ZME9	The RealReal Inc.	106.11
1963-04-30	US0ZME9	The RealReal Inc.	101.9
1963-05-31	US0ZME9	The RealReal Inc.	97.22
1963-06-30	US0ZME9	The RealReal Inc.	98.67
1963-07-31	US0ZME9	The RealReal Inc.	94.58
1963-08-31	US0ZME9	The RealReal Inc.	93.29
1963-09-30	US0ZME9	The RealReal Inc.	93.26
1963-10-31	US0ZME9	The RealReal Inc.	96.84
1963-11-30	US0ZME9	The RealReal Inc.	99.22
1963-12-31	US0ZME9	The RealReal Inc.	100.63
1964-01-31	US0ZME9	The RealReal Inc.	107.73
1964-02-29	US0ZME9	The RealReal Inc.	116.07
1964-03-31	US0ZME9	The RealReal Inc.	111.45
1964-04-30	US0ZME9	The RealReal Inc.	110.0
1964-05-31	US0ZME9	The RealReal Inc.	109.4
1964-06-30	US0ZME9	The RealReal Inc.	113.11
1964-07-31	US0ZME9	The RealReal Inc.	119.99
1964-08-31	US0ZME9	The RealReal Inc.	120.65
1964-09-30	US0ZME9	The RealReal Inc.	122.85
1964-10-31	US0ZME9	The RealReal Inc.	126.32
1964-11-30	US0ZME9	The RealReal Inc.	126.87
1964-12-31	US0ZME9	The RealReal Inc.	124.45
1965-01-31	US0ZME9	The RealReal Inc.	129.17
1965-02-28	US0ZME9	The RealReal Inc.	127.88
1965-03-31	US0ZME9	The RealReal Inc.	124.66
1965-04-30	US0ZME9	The RealReal Inc.	122.2
1965-05-31	US0ZME9	The RealReal Inc.	119.98
1965-06-30	US0ZME9	The RealReal Inc.	122.2
1965-07-31	US0ZME9	The RealReal Inc.	120.64
1965-08-31	US0ZME9	The RealReal Inc.	116.6
1965-09-30	US0ZME9	The RealReal Inc.	120.32
1965-10-31	US0ZME9	The RealReal Inc.	115.94
1965-11-30	US0ZME9	The RealReal Inc.	118.02
1965-12-31	US0ZME9	The RealReal Inc.	114.97
1966-01-31	US0ZME9	The RealReal Inc.	115.75
1966-02-28	US0ZME9	The RealReal Inc.	114.74
1966-03-31	US0ZME9	The RealReal Inc.	124.23
1966-04-30	US0ZME9	The RealReal Inc.	129.4
1966-05-31	US0ZME9	The RealReal Inc.	135.73
1966-06-30	US0ZME9	The RealReal Inc.	142.35
1966-07-31	US0ZME9	The RealReal Inc.	141.52
1966-08-31	US0ZME9	The RealReal Inc.	144.61
1966-09-30	US0ZME9	The RealReal Inc.	140.01
1966-10-31	US0ZME9	The RealReal Inc.	144.77
1966-11-30	US0ZME9	The RealReal Inc.	145.06
1966-12-31	US0ZME9	The RealReal Inc.	152.86
1967-01-31	US0ZME9	The RealReal Inc.	154.61
1967-02-28	US0ZME9	The RealReal Inc.	155.32
1967-03-31	US0ZME9	The RealReal Inc.	153.91
1967-04-30	US0ZME9	The RealReal Inc.	161.58
1967-05-31	US0ZME9	The RealReal Inc.	162.0
1967-06-30	US0ZME9	The RealReal Inc.	166.94
1967-07-31	US0ZME9	The RealReal Inc.	171.61
1967-08-31	US0ZME9	The RealReal Inc.	171.78
1967-09-30	US0ZME9	The RealReal Inc.	171.43
1967-10-31	US0ZME9	The RealReal Inc.	174.72
1967-11-30	US0ZME9	The RealReal Inc.	174.03
1967-12-31	US0ZME9	The RealReal Inc.	172.35
1968-01-31	US0ZME9	The RealReal Inc.	168.96
1968-02-29	US0ZME9	The RealReal Inc.	166.02
1968-03-31	US0ZME9	The RealReal Inc.	171.92
1968-04-30	US0ZME9	The RealReal Inc.	171.12
1968-05-31	US0ZME9	The RealReal Inc.	179.57
1968-06-30	US0ZME9	The RealReal Inc.	182.0
1968-07-31	US0ZME9	The RealReal Inc.	180.19
1968-08-31	US0ZME9	The RealReal Inc.	178.34
1968-09-30	US0ZME9	The RealReal Inc.	172.86
1968-10-31	US0ZME9	The RealReal Inc.	172.64
1968-11-30	US0ZME9	The RealReal Inc.	179.14
1968-12-31	US0ZME9	The RealReal Inc.	183.1
1969-01-31	US0ZME9	The RealReal Inc.	183.68
1969-02-28	US0ZME9	The RealReal Inc.	178.04
1969-03-31	US0ZME9	The RealReal Inc.	178.45
1969-04-30	US0ZME9	The RealReal Inc.	178.24
1969-05-31	US0ZME9	The RealReal Inc.	176.94
1969-06-30	US0ZME9	The RealReal Inc.	179.41
1969-07-31	US0ZME9	The RealReal Inc.	178.35
1969-08-31	US0ZME9	The RealReal Inc.	177.74
1969-09-30	US0ZME9	The RealReal Inc.	173.03
1969-10-31	US0ZME9	The RealReal Inc.	179.06
1969-11-30	US0ZME9	The RealReal Inc.	177.97
1969-12-31	US0ZME9	The RealReal Inc.	184.17
1970-01-31	US0ZME9	The RealReal Inc.	181.63
1970-02-28	US0ZME9	The RealReal Inc.	189.59
1970-03-31	US0ZME9	The RealReal Inc.	186.45
1970-04-30	US0ZME9	The RealReal Inc.	184.67
1970-05-31	US0ZME9	The RealReal Inc.	182.89
1970-06-30	US0ZME9	The RealReal Inc.	185.68
1970-07-31	US0ZME9	The RealReal Inc.	193.25
1970-08-31	US0ZME9	The RealReal Inc.	193.0
1970-09-30	US0ZME9	The RealReal Inc.	192.27
1970-10-31	US0ZME9	The RealReal Inc.	191.24
1970-11-30	US0ZME9	The RealReal Inc.	186.93
1970-12-31	US0ZME9	The RealReal Inc.	182.52
1971-01-31	US0ZME9	The RealReal Inc.	173.33
1971-02-28	US0ZME9	The RealReal Inc.	173.58
1971-03-31	US0ZME9	The RealReal Inc.	176.05
1971-04-30	US0ZME9	The RealReal Inc.	172.62
1971-05-31	US0ZME9	The RealReal Inc.	177.33
1971-06-30	US0ZME9	The RealReal Inc.	170.94
1971-07-31	US0ZME9	The RealReal Inc.	166.65
1971-08-31	US0ZME9	The RealReal Inc.	162.43
