Date	Company Code	Company Name	Stock Price
1959-01-31	USLD73I	The Rijksmuseum	98.65
1959-02-28	USLD73I	The Rijksmuseum	99.94
1959-03-31	USLD73I	The Rijksmuseum	101.42
1959-04-30	USLD73I	The Rijksmuseum	97.24
1959-05-31	USLD73I	The Rijksmuseum	100.22
1959-06-30	USLD73I	The Rijksmuseum	101.86
1959-07-31	USLD73I	The Rijksmuseum	102.31
1959-08-31	USLD73I	The Rijksmuseum	111.14
1959-09-30	USLD73I	The Rijksmuseum	111.36
1959-10-31	USLD73I	The Rijksmuseum	116.11
1959-11-30	USLD73I	The Rijksmuseum	110.28
1959-12-31	USLD73I	The Rijksmuseum	105.02
1960-01-31	USLD73I	The Rijksmuseum	96.99
1960-02-29	USLD73I	The Rijksmuseum	101.73
1960-03-31	USLD73I	The Rijksmuseum	107.04
1960-04-30	USLD73I	The Rijksmuseum	106.57
1960-05-31	USLD73I	The Rijksmuseum	112.24
1960-06-30	USLD73I	The Rijksmuseum	115.21
1960-07-31	USLD73I	The Rijksmuseum	115.44
1960-08-31	USLD73I	The Rijksmuseum	117.28
1960-09-30	USLD73I	The Rijksmuseum	116.92
1960-10-31	USLD73I	The Rijksmuseum	117.79
1960-11-30	USLD73I	The Rijksmuseum	120.66
1960-12-31	USLD73I	The Rijksmuseum	118.47
1961-01-31	USLD73I	The Rijksmuseum	120.35
1961-02-28	USLD73I	The Rijksmuseum	127.78
1961-03-31	USLD73I	The Rijksmuseum	124.73
1961-04-30	USLD73I	The Rijksmuseum	126.58
1961-05-31	USLD73I	The Rijksmuseum	128.44
1961-06-30	USLD73I	The Rijksmuseum	128.96
1961-07-31	USLD73I	The Rijksmuseum	128.9
1961-08-31	USLD73I	The Rijksmuseum	126.26
1961-09-30	USLD73I	The Rijksmuseum	119.58
1961-10-31	USLD73I	The Rijksmuseum	123.82
1961-11-30	USLD73I	The Rijksmuseum	129.66
1961-12-31	USLD73I	The Rijksmuseum	126.99
1962-01-31	USLD73I	The Rijksmuseum	123.5
1962-02-28	USLD73I	The Rijksmuseum	121.84
1962-03-31	USLD73I	The Rijksmuseum	124.3
1962-04-30	USLD73I	The Rijksmuseum	125.05
1962-05-31	USLD73I	The Rijksmuseum	126.04
1962-06-30	USLD73I	The Rijksmuseum	130.19
1962-07-31	USLD73I	The Rijksmuseum	127.55
1962-08-31	USLD73I	The Rijksmuseum	126.74
1962-09-30	USLD73I	The Rijksmuseum	132.49
1962-10-31	USLD73I	The Rijksmuseum	140.58
1962-11-30	USLD73I	The Rijksmuseum	135.82
1962-12-31	USLD73I	The Rijksmuseum	130.72
1963-01-31	USLD73I	The Rijksmuseum	134.89
1963-02-28	USLD73I	The Rijksmuseum	129.94
1963-03-31	USLD73I	The Rijksmuseum	132.96
1963-04-30	USLD73I	The Rijksmuseum	140.13
1963-05-31	USLD73I	The Rijksmuseum	138.03
1963-06-30	USLD73I	The Rijksmuseum	134.27
1963-07-31	USLD73I	The Rijksmuseum	131.39
1963-08-31	USLD73I	The Rijksmuseum	124.79
1963-09-30	USLD73I	The Rijksmuseum	124.91
1963-10-31	USLD73I	The Rijksmuseum	125.45
1963-11-30	USLD73I	The Rijksmuseum	117.43
1963-12-31	USLD73I	The Rijksmuseum	116.32
1964-01-31	USLD73I	The Rijksmuseum	119.71
1964-02-29	USLD73I	The Rijksmuseum	114.4
1964-03-31	USLD73I	The Rijksmuseum	110.79
1964-04-30	USLD73I	The Rijksmuseum	110.99
1964-05-31	USLD73I	The Rijksmuseum	109.47
1964-06-30	USLD73I	The Rijksmuseum	108.72
1964-07-31	USLD73I	The Rijksmuseum	110.67
1964-08-31	USLD73I	The Rijksmuseum	113.35
1964-09-30	USLD73I	The Rijksmuseum	111.16
1964-10-31	USLD73I	The Rijksmuseum	109.13
1964-11-30	USLD73I	The Rijksmuseum	107.86
1964-12-31	USLD73I	The Rijksmuseum	108.37
1965-01-31	USLD73I	The Rijksmuseum	112.7
1965-02-28	USLD73I	The Rijksmuseum	114.89
1965-03-31	USLD73I	The Rijksmuseum	117.35
1965-04-30	USLD73I	The Rijksmuseum	118.17
1965-05-31	USLD73I	The Rijksmuseum	124.0
1965-06-30	USLD73I	The Rijksmuseum	120.71
1965-07-31	USLD73I	The Rijksmuseum	126.7
1965-08-31	USLD73I	The Rijksmuseum	121.22
1965-09-30	USLD73I	The Rijksmuseum	117.74
1965-10-31	USLD73I	The Rijksmuseum	115.84
1965-11-30	USLD73I	The Rijksmuseum	124.66
1965-12-31	USLD73I	The Rijksmuseum	128.35
1966-01-31	USLD73I	The Rijksmuseum	123.47
1966-02-28	USLD73I	The Rijksmuseum	114.88
1966-03-31	USLD73I	The Rijksmuseum	114.07
1966-04-30	USLD73I	The Rijksmuseum	116.86
1966-05-31	USLD73I	The Rijksmuseum	111.72
1966-06-30	USLD73I	The Rijksmuseum	108.42
1966-07-31	USLD73I	The Rijksmuseum	104.49
1966-08-31	USLD73I	The Rijksmuseum	101.61
1966-09-30	USLD73I	The Rijksmuseum	98.56
1966-10-31	USLD73I	The Rijksmuseum	98.12
1966-11-30	USLD73I	The Rijksmuseum	105.73
1966-12-31	USLD73I	The Rijksmuseum	106.97
1967-01-31	USLD73I	The Rijksmuseum	103.79
1967-02-28	USLD73I	The Rijksmuseum	106.66
1967-03-31	USLD73I	The Rijksmuseum	107.57
1967-04-30	USLD73I	The Rijksmuseum	113.19
1967-05-31	USLD73I	The Rijksmuseum	116.09
1967-06-30	USLD73I	The Rijksmuseum	116.48
