Date	Company Code	Company Name	Stock Price
1959-01-31	USO6J1I	The Royal Academy of Arts	113.27
1959-02-28	USO6J1I	The Royal Academy of Arts	116.28
1959-03-31	USO6J1I	The Royal Academy of Arts	113.69
1959-04-30	USO6J1I	The Royal Academy of Arts	121.76
1959-05-31	USO6J1I	The Royal Academy of Arts	121.57
1959-06-30	USO6J1I	The Royal Academy of Arts	113.79
1959-07-31	USO6J1I	The Royal Academy of Arts	112.94
1959-08-31	USO6J1I	The Royal Academy of Arts	119.14
1959-09-30	USO6J1I	The Royal Academy of Arts	119.56
1959-10-31	USO6J1I	The Royal Academy of Arts	118.17
1959-11-30	USO6J1I	The Royal Academy of Arts	121.79
1959-12-31	USO6J1I	The Royal Academy of Arts	120.96
1960-01-31	USO6J1I	The Royal Academy of Arts	118.75
1960-02-29	USO6J1I	The Royal Academy of Arts	123.12
1960-03-31	USO6J1I	The Royal Academy of Arts	128.5
1960-04-30	USO6J1I	The Royal Academy of Arts	126.35
1960-05-31	USO6J1I	The Royal Academy of Arts	119.63
1960-06-30	USO6J1I	The Royal Academy of Arts	113.52
1960-07-31	USO6J1I	The Royal Academy of Arts	109.07
1960-08-31	USO6J1I	The Royal Academy of Arts	110.83
1960-09-30	USO6J1I	The Royal Academy of Arts	109.17
1960-10-31	USO6J1I	The Royal Academy of Arts	110.28
1960-11-30	USO6J1I	The Royal Academy of Arts	111.01
1960-12-31	USO6J1I	The Royal Academy of Arts	116.89
1961-01-31	USO6J1I	The Royal Academy of Arts	119.89
1961-02-28	USO6J1I	The Royal Academy of Arts	119.49
1961-03-31	USO6J1I	The Royal Academy of Arts	118.85
1961-04-30	USO6J1I	The Royal Academy of Arts	119.91
1961-05-31	USO6J1I	The Royal Academy of Arts	122.74
1961-06-30	USO6J1I	The Royal Academy of Arts	116.58
1961-07-31	USO6J1I	The Royal Academy of Arts	114.44
1961-08-31	USO6J1I	The Royal Academy of Arts	111.99
1961-09-30	USO6J1I	The Royal Academy of Arts	116.68
1961-10-31	USO6J1I	The Royal Academy of Arts	116.23
1961-11-30	USO6J1I	The Royal Academy of Arts	112.54
1961-12-31	USO6J1I	The Royal Academy of Arts	112.43
1962-01-31	USO6J1I	The Royal Academy of Arts	108.19
1962-02-28	USO6J1I	The Royal Academy of Arts	109.02
1962-03-31	USO6J1I	The Royal Academy of Arts	108.71
1962-04-30	USO6J1I	The Royal Academy of Arts	108.54
1962-05-31	USO6J1I	The Royal Academy of Arts	111.45
1962-06-30	USO6J1I	The Royal Academy of Arts	114.0
1962-07-31	USO6J1I	The Royal Academy of Arts	115.29
1962-08-31	USO6J1I	The Royal Academy of Arts	117.36
1962-09-30	USO6J1I	The Royal Academy of Arts	116.03
1962-10-31	USO6J1I	The Royal Academy of Arts	107.53
1962-11-30	USO6J1I	The Royal Academy of Arts	113.3
1962-12-31	USO6J1I	The Royal Academy of Arts	118.1
1963-01-31	USO6J1I	The Royal Academy of Arts	116.45
1963-02-28	USO6J1I	The Royal Academy of Arts	111.31
1963-03-31	USO6J1I	The Royal Academy of Arts	111.59
1963-04-30	USO6J1I	The Royal Academy of Arts	110.79
1963-05-31	USO6J1I	The Royal Academy of Arts	115.36
1963-06-30	USO6J1I	The Royal Academy of Arts	117.51
1963-07-31	USO6J1I	The Royal Academy of Arts	112.57
1963-08-31	USO6J1I	The Royal Academy of Arts	108.49
1963-09-30	USO6J1I	The Royal Academy of Arts	98.79
1963-10-31	USO6J1I	The Royal Academy of Arts	97.28
1963-11-30	USO6J1I	The Royal Academy of Arts	92.29
1963-12-31	USO6J1I	The Royal Academy of Arts	92.28
1964-01-31	USO6J1I	The Royal Academy of Arts	100.15
1964-02-29	USO6J1I	The Royal Academy of Arts	98.6
1964-03-31	USO6J1I	The Royal Academy of Arts	97.3
1964-04-30	USO6J1I	The Royal Academy of Arts	92.15
1964-05-31	USO6J1I	The Royal Academy of Arts	90.62
1964-06-30	USO6J1I	The Royal Academy of Arts	86.67
1964-07-31	USO6J1I	The Royal Academy of Arts	82.24
1964-08-31	USO6J1I	The Royal Academy of Arts	80.86
1964-09-30	USO6J1I	The Royal Academy of Arts	83.54
1964-10-31	USO6J1I	The Royal Academy of Arts	82.56
1964-11-30	USO6J1I	The Royal Academy of Arts	86.42
1964-12-31	USO6J1I	The Royal Academy of Arts	85.57
1965-01-31	USO6J1I	The Royal Academy of Arts	86.39
1965-02-28	USO6J1I	The Royal Academy of Arts	82.81
1965-03-31	USO6J1I	The Royal Academy of Arts	83.45
1965-04-30	USO6J1I	The Royal Academy of Arts	80.49
1965-05-31	USO6J1I	The Royal Academy of Arts	72.99
1965-06-30	USO6J1I	The Royal Academy of Arts	74.68
1965-07-31	USO6J1I	The Royal Academy of Arts	75.69
1965-08-31	USO6J1I	The Royal Academy of Arts	76.83
1965-09-30	USO6J1I	The Royal Academy of Arts	75.3
1965-10-31	USO6J1I	The Royal Academy of Arts	71.88
1965-11-30	USO6J1I	The Royal Academy of Arts	70.73
1965-12-31	USO6J1I	The Royal Academy of Arts	75.83
1966-01-31	USO6J1I	The Royal Academy of Arts	76.99
1966-02-28	USO6J1I	The Royal Academy of Arts	81.55
1966-03-31	USO6J1I	The Royal Academy of Arts	90.57
1966-04-30	USO6J1I	The Royal Academy of Arts	93.14
1966-05-31	USO6J1I	The Royal Academy of Arts	94.13
1966-06-30	USO6J1I	The Royal Academy of Arts	93.06
1966-07-31	USO6J1I	The Royal Academy of Arts	92.47
