Date	Company Code	Company Name	Stock Price
1959-01-31	USSMJKU	The State Hermitage Museum	98.39
1959-02-28	USSMJKU	The State Hermitage Museum	98.91
1959-03-31	USSMJKU	The State Hermitage Museum	98.42
1959-04-30	USSMJKU	The State Hermitage Museum	96.97
1959-05-31	USSMJKU	The State Hermitage Museum	94.77
1959-06-30	USSMJKU	The State Hermitage Museum	94.43
1959-07-31	USSMJKU	The State Hermitage Museum	101.47
1959-08-31	USSMJKU	The State Hermitage Museum	102.22
1959-09-30	USSMJKU	The State Hermitage Museum	102.33
1959-10-31	USSMJKU	The State Hermitage Museum	102.15
1959-11-30	USSMJKU	The State Hermitage Museum	101.27
1959-12-31	USSMJKU	The State Hermitage Museum	100.76
1960-01-31	USSMJKU	The State Hermitage Museum	103.46
1960-02-29	USSMJKU	The State Hermitage Museum	105.53
1960-03-31	USSMJKU	The State Hermitage Museum	105.87
1960-04-30	USSMJKU	The State Hermitage Museum	103.81
1960-05-31	USSMJKU	The State Hermitage Museum	102.28
1960-06-30	USSMJKU	The State Hermitage Museum	101.35
1960-07-31	USSMJKU	The State Hermitage Museum	105.31
1960-08-31	USSMJKU	The State Hermitage Museum	106.38
1960-09-30	USSMJKU	The State Hermitage Museum	104.09
1960-10-31	USSMJKU	The State Hermitage Museum	108.47
1960-11-30	USSMJKU	The State Hermitage Museum	110.57
1960-12-31	USSMJKU	The State Hermitage Museum	109.06
1961-01-31	USSMJKU	The State Hermitage Museum	114.41
1961-02-28	USSMJKU	The State Hermitage Museum	116.14
1961-03-31	USSMJKU	The State Hermitage Museum	116.42
1961-04-30	USSMJKU	The State Hermitage Museum	115.62
1961-05-31	USSMJKU	The State Hermitage Museum	118.62
1961-06-30	USSMJKU	The State Hermitage Museum	115.25
1961-07-31	USSMJKU	The State Hermitage Museum	111.76
1961-08-31	USSMJKU	The State Hermitage Museum	109.02
1961-09-30	USSMJKU	The State Hermitage Museum	103.22
1961-10-31	USSMJKU	The State Hermitage Museum	96.0
1961-11-30	USSMJKU	The State Hermitage Museum	98.28
1961-12-31	USSMJKU	The State Hermitage Museum	103.55
1962-01-31	USSMJKU	The State Hermitage Museum	102.95
1962-02-28	USSMJKU	The State Hermitage Museum	100.0
1962-03-31	USSMJKU	The State Hermitage Museum	97.63
1962-04-30	USSMJKU	The State Hermitage Museum	102.88
1962-05-31	USSMJKU	The State Hermitage Museum	101.21
1962-06-30	USSMJKU	The State Hermitage Museum	98.55
1962-07-31	USSMJKU	The State Hermitage Museum	93.17
1962-08-31	USSMJKU	The State Hermitage Museum	92.18
1962-09-30	USSMJKU	The State Hermitage Museum	92.06
