Date	Company Code	Company Name	Stock Price
1959-01-31	USR7352	The Tate Gallery	103.21
1959-02-28	USR7352	The Tate Gallery	108.54
1959-03-31	USR7352	The Tate Gallery	106.68
1959-04-30	USR7352	The Tate Gallery	112.04
1959-05-31	USR7352	The Tate Gallery	111.32
1959-06-30	USR7352	The Tate Gallery	103.89
1959-07-31	USR7352	The Tate Gallery	105.19
1959-08-31	USR7352	The Tate Gallery	106.84
1959-09-30	USR7352	The Tate Gallery	108.42
1959-10-31	USR7352	The Tate Gallery	110.17
1959-11-30	USR7352	The Tate Gallery	114.03
1959-12-31	USR7352	The Tate Gallery	114.41
1960-01-31	USR7352	The Tate Gallery	114.46
1960-02-29	USR7352	The Tate Gallery	111.7
1960-03-31	USR7352	The Tate Gallery	113.83
1960-04-30	USR7352	The Tate Gallery	115.05
1960-05-31	USR7352	The Tate Gallery	112.29
1960-06-30	USR7352	The Tate Gallery	112.51
1960-07-31	USR7352	The Tate Gallery	113.58
1960-08-31	USR7352	The Tate Gallery	108.84
1960-09-30	USR7352	The Tate Gallery	106.45
1960-10-31	USR7352	The Tate Gallery	108.03
1960-11-30	USR7352	The Tate Gallery	115.4
1960-12-31	USR7352	The Tate Gallery	107.37
1961-01-31	USR7352	The Tate Gallery	111.56
1961-02-28	USR7352	The Tate Gallery	110.3
1961-03-31	USR7352	The Tate Gallery	110.1
1961-04-30	USR7352	The Tate Gallery	116.78
1961-05-31	USR7352	The Tate Gallery	122.46
1961-06-30	USR7352	The Tate Gallery	126.25
1961-07-31	USR7352	The Tate Gallery	127.83
1961-08-31	USR7352	The Tate Gallery	128.64
1961-09-30	USR7352	The Tate Gallery	132.08
1961-10-31	USR7352	The Tate Gallery	125.71
1961-11-30	USR7352	The Tate Gallery	127.44
1961-12-31	USR7352	The Tate Gallery	132.0
1962-01-31	USR7352	The Tate Gallery	133.92
1962-02-28	USR7352	The Tate Gallery	129.9
1962-03-31	USR7352	The Tate Gallery	130.25
1962-04-30	USR7352	The Tate Gallery	131.88
1962-05-31	USR7352	The Tate Gallery	138.61
1962-06-30	USR7352	The Tate Gallery	138.13
1962-07-31	USR7352	The Tate Gallery	140.54
1962-08-31	USR7352	The Tate Gallery	145.26
