Date	Company Code	Company Name	Stock Price
1959-01-31	USL0FRT	The Uffizi Gallery	109.06
1959-02-28	USL0FRT	The Uffizi Gallery	111.82
1959-03-31	USL0FRT	The Uffizi Gallery	109.63
1959-04-30	USL0FRT	The Uffizi Gallery	113.88
1959-05-31	USL0FRT	The Uffizi Gallery	122.89
1959-06-30	USL0FRT	The Uffizi Gallery	121.72
1959-07-31	USL0FRT	The Uffizi Gallery	117.05
1959-08-31	USL0FRT	The Uffizi Gallery	114.98
1959-09-30	USL0FRT	The Uffizi Gallery	112.23
1959-10-31	USL0FRT	The Uffizi Gallery	114.01
1959-11-30	USL0FRT	The Uffizi Gallery	117.23
1959-12-31	USL0FRT	The Uffizi Gallery	114.32
1960-01-31	USL0FRT	The Uffizi Gallery	110.93
1960-02-29	USL0FRT	The Uffizi Gallery	108.39
1960-03-31	USL0FRT	The Uffizi Gallery	106.8
1960-04-30	USL0FRT	The Uffizi Gallery	101.06
1960-05-31	USL0FRT	The Uffizi Gallery	101.87
1960-06-30	USL0FRT	The Uffizi Gallery	98.89
1960-07-31	USL0FRT	The Uffizi Gallery	95.9
1960-08-31	USL0FRT	The Uffizi Gallery	92.99
1960-09-30	USL0FRT	The Uffizi Gallery	97.47
1960-10-31	USL0FRT	The Uffizi Gallery	102.2
1960-11-30	USL0FRT	The Uffizi Gallery	104.99
1960-12-31	USL0FRT	The Uffizi Gallery	106.06
1961-01-31	USL0FRT	The Uffizi Gallery	106.05
1961-02-28	USL0FRT	The Uffizi Gallery	103.47
1961-03-31	USL0FRT	The Uffizi Gallery	100.72
1961-04-30	USL0FRT	The Uffizi Gallery	101.95
1961-05-31	USL0FRT	The Uffizi Gallery	107.94
1961-06-30	USL0FRT	The Uffizi Gallery	108.16
1961-07-31	USL0FRT	The Uffizi Gallery	106.48
1961-08-31	USL0FRT	The Uffizi Gallery	104.29
1961-09-30	USL0FRT	The Uffizi Gallery	95.08
1961-10-31	USL0FRT	The Uffizi Gallery	95.96
1961-11-30	USL0FRT	The Uffizi Gallery	100.34
1961-12-31	USL0FRT	The Uffizi Gallery	103.17
1962-01-31	USL0FRT	The Uffizi Gallery	102.66
