Date	Company Code	Company Name	Stock Price
1959-01-31	USUPGV1	The Van Gogh Museum	90.97
1959-02-28	USUPGV1	The Van Gogh Museum	85.08
1959-03-31	USUPGV1	The Van Gogh Museum	84.38
1959-04-30	USUPGV1	The Van Gogh Museum	86.26
1959-05-31	USUPGV1	The Van Gogh Museum	82.94
1959-06-30	USUPGV1	The Van Gogh Museum	84.01
1959-07-31	USUPGV1	The Van Gogh Museum	80.91
1959-08-31	USUPGV1	The Van Gogh Museum	78.62
1959-09-30	USUPGV1	The Van Gogh Museum	80.27
1959-10-31	USUPGV1	The Van Gogh Museum	81.15
1959-11-30	USUPGV1	The Van Gogh Museum	83.75
1959-12-31	USUPGV1	The Van Gogh Museum	84.73
1960-01-31	USUPGV1	The Van Gogh Museum	83.31
1960-02-29	USUPGV1	The Van Gogh Museum	80.47
1960-03-31	USUPGV1	The Van Gogh Museum	85.43
1960-04-30	USUPGV1	The Van Gogh Museum	82.34
1960-05-31	USUPGV1	The Van Gogh Museum	82.3
1960-06-30	USUPGV1	The Van Gogh Museum	80.95
1960-07-31	USUPGV1	The Van Gogh Museum	87.48
1960-08-31	USUPGV1	The Van Gogh Museum	84.78
1960-09-30	USUPGV1	The Van Gogh Museum	82.61
1960-10-31	USUPGV1	The Van Gogh Museum	85.97
1960-11-30	USUPGV1	The Van Gogh Museum	84.87
1960-12-31	USUPGV1	The Van Gogh Museum	79.19
1961-01-31	USUPGV1	The Van Gogh Museum	85.78
1961-02-28	USUPGV1	The Van Gogh Museum	90.45
1961-03-31	USUPGV1	The Van Gogh Museum	91.48
1961-04-30	USUPGV1	The Van Gogh Museum	93.66
1961-05-31	USUPGV1	The Van Gogh Museum	84.32
1961-06-30	USUPGV1	The Van Gogh Museum	79.03
1961-07-31	USUPGV1	The Van Gogh Museum	79.85
1961-08-31	USUPGV1	The Van Gogh Museum	77.05
1961-09-30	USUPGV1	The Van Gogh Museum	83.98
1961-10-31	USUPGV1	The Van Gogh Museum	91.61
1961-11-30	USUPGV1	The Van Gogh Museum	90.57
1961-12-31	USUPGV1	The Van Gogh Museum	91.34
1962-01-31	USUPGV1	The Van Gogh Museum	95.97
1962-02-28	USUPGV1	The Van Gogh Museum	89.73
1962-03-31	USUPGV1	The Van Gogh Museum	83.34
1962-04-30	USUPGV1	The Van Gogh Museum	85.34
1962-05-31	USUPGV1	The Van Gogh Museum	86.29
1962-06-30	USUPGV1	The Van Gogh Museum	87.16
1962-07-31	USUPGV1	The Van Gogh Museum	79.46
1962-08-31	USUPGV1	The Van Gogh Museum	78.73
1962-09-30	USUPGV1	The Van Gogh Museum	73.97
1962-10-31	USUPGV1	The Van Gogh Museum	69.26
1962-11-30	USUPGV1	The Van Gogh Museum	62.21
1962-12-31	USUPGV1	The Van Gogh Museum	68.5
1963-01-31	USUPGV1	The Van Gogh Museum	70.26
1963-02-28	USUPGV1	The Van Gogh Museum	69.9
1963-03-31	USUPGV1	The Van Gogh Museum	64.76
1963-04-30	USUPGV1	The Van Gogh Museum	63.94
1963-05-31	USUPGV1	The Van Gogh Museum	63.4
1963-06-30	USUPGV1	The Van Gogh Museum	61.64
1963-07-31	USUPGV1	The Van Gogh Museum	66.68
1963-08-31	USUPGV1	The Van Gogh Museum	64.09
1963-09-30	USUPGV1	The Van Gogh Museum	67.45
1963-10-31	USUPGV1	The Van Gogh Museum	69.87
1963-11-30	USUPGV1	The Van Gogh Museum	68.77
1963-12-31	USUPGV1	The Van Gogh Museum	70.17
1964-01-31	USUPGV1	The Van Gogh Museum	71.01
1964-02-29	USUPGV1	The Van Gogh Museum	65.77
1964-03-31	USUPGV1	The Van Gogh Museum	61.344444528658116
1964-04-30	USUPGV1	The Van Gogh Museum	61.3088369625383
1964-05-31	USUPGV1	The Van Gogh Museum	66.19
1964-06-30	USUPGV1	The Van Gogh Museum	68.29
1964-07-31	USUPGV1	The Van Gogh Museum	68.46
1964-08-31	USUPGV1	The Van Gogh Museum	66.41
1964-09-30	USUPGV1	The Van Gogh Museum	69.75
1964-10-31	USUPGV1	The Van Gogh Museum	68.86
1964-11-30	USUPGV1	The Van Gogh Museum	68.83
1964-12-31	USUPGV1	The Van Gogh Museum	68.11
1965-01-31	USUPGV1	The Van Gogh Museum	71.19
1965-02-28	USUPGV1	The Van Gogh Museum	70.97
1965-03-31	USUPGV1	The Van Gogh Museum	67.6
1965-04-30	USUPGV1	The Van Gogh Museum	73.23
1965-05-31	USUPGV1	The Van Gogh Museum	72.01
1965-06-30	USUPGV1	The Van Gogh Museum	67.8
1965-07-31	USUPGV1	The Van Gogh Museum	68.47
1965-08-31	USUPGV1	The Van Gogh Museum	64.82
1965-09-30	USUPGV1	The Van Gogh Museum	64.65
1965-10-31	USUPGV1	The Van Gogh Museum	60.63
1965-11-30	USUPGV1	The Van Gogh Museum	61.58134934391415
1965-12-31	USUPGV1	The Van Gogh Museum	70.19
1966-01-31	USUPGV1	The Van Gogh Museum	71.81
