Date	Company Code	Company Name	Stock Price
1959-01-31	USR7FAW	The Victoria and Albert Museum	112.0
1959-02-28	USR7FAW	The Victoria and Albert Museum	109.5
1959-03-31	USR7FAW	The Victoria and Albert Museum	105.36
1959-04-30	USR7FAW	The Victoria and Albert Museum	107.14
1959-05-31	USR7FAW	The Victoria and Albert Museum	111.78
1959-06-30	USR7FAW	The Victoria and Albert Museum	113.08
1959-07-31	USR7FAW	The Victoria and Albert Museum	111.62
1959-08-31	USR7FAW	The Victoria and Albert Museum	112.22
1959-09-30	USR7FAW	The Victoria and Albert Museum	113.29
1959-10-31	USR7FAW	The Victoria and Albert Museum	114.45
1959-11-30	USR7FAW	The Victoria and Albert Museum	116.86
1959-12-31	USR7FAW	The Victoria and Albert Museum	114.22
1960-01-31	USR7FAW	The Victoria and Albert Museum	110.65
1960-02-29	USR7FAW	The Victoria and Albert Museum	111.19
1960-03-31	USR7FAW	The Victoria and Albert Museum	107.67
1960-04-30	USR7FAW	The Victoria and Albert Museum	113.21
1960-05-31	USR7FAW	The Victoria and Albert Museum	116.05
1960-06-30	USR7FAW	The Victoria and Albert Museum	111.64
1960-07-31	USR7FAW	The Victoria and Albert Museum	108.14
1960-08-31	USR7FAW	The Victoria and Albert Museum	105.98
1960-09-30	USR7FAW	The Victoria and Albert Museum	104.88
1960-10-31	USR7FAW	The Victoria and Albert Museum	109.6
1960-11-30	USR7FAW	The Victoria and Albert Museum	108.55
1960-12-31	USR7FAW	The Victoria and Albert Museum	105.01
1961-01-31	USR7FAW	The Victoria and Albert Museum	107.45
1961-02-28	USR7FAW	The Victoria and Albert Museum	108.67
1961-03-31	USR7FAW	The Victoria and Albert Museum	106.79
1961-04-30	USR7FAW	The Victoria and Albert Museum	113.39
1961-05-31	USR7FAW	The Victoria and Albert Museum	109.49
1961-06-30	USR7FAW	The Victoria and Albert Museum	105.75
1961-07-31	USR7FAW	The Victoria and Albert Museum	107.87
1961-08-31	USR7FAW	The Victoria and Albert Museum	109.42
1961-09-30	USR7FAW	The Victoria and Albert Museum	108.55
1961-10-31	USR7FAW	The Victoria and Albert Museum	106.69
1961-11-30	USR7FAW	The Victoria and Albert Museum	108.04
1961-12-31	USR7FAW	The Victoria and Albert Museum	115.03
1962-01-31	USR7FAW	The Victoria and Albert Museum	114.34
1962-02-28	USR7FAW	The Victoria and Albert Museum	109.46
1962-03-31	USR7FAW	The Victoria and Albert Museum	102.38
1962-04-30	USR7FAW	The Victoria and Albert Museum	106.78
1962-05-31	USR7FAW	The Victoria and Albert Museum	97.83
