Date	Company Code	Company Name	Stock Price
1959-01-31	USBDC0E	The Whitney Museum of American Art	92.71
1959-02-28	USBDC0E	The Whitney Museum of American Art	95.41
1959-03-31	USBDC0E	The Whitney Museum of American Art	96.24
1959-04-30	USBDC0E	The Whitney Museum of American Art	103.11
1959-05-31	USBDC0E	The Whitney Museum of American Art	109.39
1959-06-30	USBDC0E	The Whitney Museum of American Art	110.08
1959-07-31	USBDC0E	The Whitney Museum of American Art	112.37
1959-08-31	USBDC0E	The Whitney Museum of American Art	114.89
1959-09-30	USBDC0E	The Whitney Museum of American Art	122.15
1959-10-31	USBDC0E	The Whitney Museum of American Art	122.97
1959-11-30	USBDC0E	The Whitney Museum of American Art	121.72
1959-12-31	USBDC0E	The Whitney Museum of American Art	116.29
1960-01-31	USBDC0E	The Whitney Museum of American Art	118.29
1960-02-29	USBDC0E	The Whitney Museum of American Art	119.44
1960-03-31	USBDC0E	The Whitney Museum of American Art	122.82
1960-04-30	USBDC0E	The Whitney Museum of American Art	118.22
1960-05-31	USBDC0E	The Whitney Museum of American Art	118.15
1960-06-30	USBDC0E	The Whitney Museum of American Art	114.79
1960-07-31	USBDC0E	The Whitney Museum of American Art	109.7
1960-08-31	USBDC0E	The Whitney Museum of American Art	111.37
1960-09-30	USBDC0E	The Whitney Museum of American Art	108.8
1960-10-31	USBDC0E	The Whitney Museum of American Art	109.5
1960-11-30	USBDC0E	The Whitney Museum of American Art	106.22
1960-12-31	USBDC0E	The Whitney Museum of American Art	113.29
1961-01-31	USBDC0E	The Whitney Museum of American Art	111.03
1961-02-28	USBDC0E	The Whitney Museum of American Art	110.79
1961-03-31	USBDC0E	The Whitney Museum of American Art	106.86
1961-04-30	USBDC0E	The Whitney Museum of American Art	104.08
1961-05-31	USBDC0E	The Whitney Museum of American Art	111.38
1961-06-30	USBDC0E	The Whitney Museum of American Art	112.15
1961-07-31	USBDC0E	The Whitney Museum of American Art	107.11
1961-08-31	USBDC0E	The Whitney Museum of American Art	108.8
1961-09-30	USBDC0E	The Whitney Museum of American Art	114.26
1961-10-31	USBDC0E	The Whitney Museum of American Art	110.44
1961-11-30	USBDC0E	The Whitney Museum of American Art	118.31
1961-12-31	USBDC0E	The Whitney Museum of American Art	124.73
1962-01-31	USBDC0E	The Whitney Museum of American Art	124.31
1962-02-28	USBDC0E	The Whitney Museum of American Art	124.79
1962-03-31	USBDC0E	The Whitney Museum of American Art	123.97
1962-04-30	USBDC0E	The Whitney Museum of American Art	123.08
1962-05-31	USBDC0E	The Whitney Museum of American Art	124.34
1962-06-30	USBDC0E	The Whitney Museum of American Art	125.15
1962-07-31	USBDC0E	The Whitney Museum of American Art	121.66
1962-08-31	USBDC0E	The Whitney Museum of American Art	126.18
1962-09-30	USBDC0E	The Whitney Museum of American Art	129.05
1962-10-31	USBDC0E	The Whitney Museum of American Art	125.3
1962-11-30	USBDC0E	The Whitney Museum of American Art	126.09
1962-12-31	USBDC0E	The Whitney Museum of American Art	126.65
1963-01-31	USBDC0E	The Whitney Museum of American Art	135.76
1963-02-28	USBDC0E	The Whitney Museum of American Art	129.11
1963-03-31	USBDC0E	The Whitney Museum of American Art	135.08
1963-04-30	USBDC0E	The Whitney Museum of American Art	126.68
1963-05-31	USBDC0E	The Whitney Museum of American Art	128.38
1963-06-30	USBDC0E	The Whitney Museum of American Art	125.63
1963-07-31	USBDC0E	The Whitney Museum of American Art	123.96
1963-08-31	USBDC0E	The Whitney Museum of American Art	130.02
1963-09-30	USBDC0E	The Whitney Museum of American Art	134.56
1963-10-31	USBDC0E	The Whitney Museum of American Art	132.65
1963-11-30	USBDC0E	The Whitney Museum of American Art	131.76
1963-12-31	USBDC0E	The Whitney Museum of American Art	128.79
1964-01-31	USBDC0E	The Whitney Museum of American Art	123.98
1964-02-29	USBDC0E	The Whitney Museum of American Art	125.68
1964-03-31	USBDC0E	The Whitney Museum of American Art	121.05
1964-04-30	USBDC0E	The Whitney Museum of American Art	122.79
1964-05-31	USBDC0E	The Whitney Museum of American Art	122.73
1964-06-30	USBDC0E	The Whitney Museum of American Art	128.31
1964-07-31	USBDC0E	The Whitney Museum of American Art	124.42
1964-08-31	USBDC0E	The Whitney Museum of American Art	120.07
1964-09-30	USBDC0E	The Whitney Museum of American Art	124.7
1964-10-31	USBDC0E	The Whitney Museum of American Art	121.14
1964-11-30	USBDC0E	The Whitney Museum of American Art	121.45
1964-12-31	USBDC0E	The Whitney Museum of American Art	115.53
1965-01-31	USBDC0E	The Whitney Museum of American Art	115.42
1965-02-28	USBDC0E	The Whitney Museum of American Art	116.23
1965-03-31	USBDC0E	The Whitney Museum of American Art	115.98
1965-04-30	USBDC0E	The Whitney Museum of American Art	119.44
1965-05-31	USBDC0E	The Whitney Museum of American Art	121.86
1965-06-30	USBDC0E	The Whitney Museum of American Art	125.15
1965-07-31	USBDC0E	The Whitney Museum of American Art	123.86
1965-08-31	USBDC0E	The Whitney Museum of American Art	123.64
1965-09-30	USBDC0E	The Whitney Museum of American Art	125.77
1965-10-31	USBDC0E	The Whitney Museum of American Art	123.92
1965-11-30	USBDC0E	The Whitney Museum of American Art	121.42
1965-12-31	USBDC0E	The Whitney Museum of American Art	123.98
1966-01-31	USBDC0E	The Whitney Museum of American Art	127.7
1966-02-28	USBDC0E	The Whitney Museum of American Art	127.7
1966-03-31	USBDC0E	The Whitney Museum of American Art	133.63
1966-04-30	USBDC0E	The Whitney Museum of American Art	128.18
1966-05-31	USBDC0E	The Whitney Museum of American Art	131.46
1966-06-30	USBDC0E	The Whitney Museum of American Art	133.64
1966-07-31	USBDC0E	The Whitney Museum of American Art	132.75
1966-08-31	USBDC0E	The Whitney Museum of American Art	134.06
1966-09-30	USBDC0E	The Whitney Museum of American Art	128.19
1966-10-31	USBDC0E	The Whitney Museum of American Art	127.61
1966-11-30	USBDC0E	The Whitney Museum of American Art	130.06
1966-12-31	USBDC0E	The Whitney Museum of American Art	133.95
1967-01-31	USBDC0E	The Whitney Museum of American Art	128.22
1967-02-28	USBDC0E	The Whitney Museum of American Art	125.83
1967-03-31	USBDC0E	The Whitney Museum of American Art	124.44
1967-04-30	USBDC0E	The Whitney Museum of American Art	119.82
1967-05-31	USBDC0E	The Whitney Museum of American Art	122.95
1967-06-30	USBDC0E	The Whitney Museum of American Art	126.66
1967-07-31	USBDC0E	The Whitney Museum of American Art	124.26
1967-08-31	USBDC0E	The Whitney Museum of American Art	126.15
1967-09-30	USBDC0E	The Whitney Museum of American Art	127.54
1967-10-31	USBDC0E	The Whitney Museum of American Art	129.51
1967-11-30	USBDC0E	The Whitney Museum of American Art	130.94
1967-12-31	USBDC0E	The Whitney Museum of American Art	132.23
1968-01-31	USBDC0E	The Whitney Museum of American Art	129.09
1968-02-29	USBDC0E	The Whitney Museum of American Art	135.55
1968-03-31	USBDC0E	The Whitney Museum of American Art	133.03
1968-04-30	USBDC0E	The Whitney Museum of American Art	132.02
1968-05-31	USBDC0E	The Whitney Museum of American Art	132.27
1968-06-30	USBDC0E	The Whitney Museum of American Art	132.48
1968-07-31	USBDC0E	The Whitney Museum of American Art	123.93
1968-08-31	USBDC0E	The Whitney Museum of American Art	121.43
1968-09-30	USBDC0E	The Whitney Museum of American Art	126.43
1968-10-31	USBDC0E	The Whitney Museum of American Art	120.96
1968-11-30	USBDC0E	The Whitney Museum of American Art	121.5
1968-12-31	USBDC0E	The Whitney Museum of American Art	125.66
1969-01-31	USBDC0E	The Whitney Museum of American Art	123.67
1969-02-28	USBDC0E	The Whitney Museum of American Art	127.37
1969-03-31	USBDC0E	The Whitney Museum of American Art	129.55
1969-04-30	USBDC0E	The Whitney Museum of American Art	132.03
1969-05-31	USBDC0E	The Whitney Museum of American Art	133.52
1969-06-30	USBDC0E	The Whitney Museum of American Art	141.19
1969-07-31	USBDC0E	The Whitney Museum of American Art	139.76
1969-08-31	USBDC0E	The Whitney Museum of American Art	144.45
1969-09-30	USBDC0E	The Whitney Museum of American Art	143.86
1969-10-31	USBDC0E	The Whitney Museum of American Art	137.99
1969-11-30	USBDC0E	The Whitney Museum of American Art	134.56
1969-12-31	USBDC0E	The Whitney Museum of American Art	136.01
1970-01-31	USBDC0E	The Whitney Museum of American Art	133.79
1970-02-28	USBDC0E	The Whitney Museum of American Art	128.06
1970-03-31	USBDC0E	The Whitney Museum of American Art	126.87
1970-04-30	USBDC0E	The Whitney Museum of American Art	132.7
1970-05-31	USBDC0E	The Whitney Museum of American Art	131.87
1970-06-30	USBDC0E	The Whitney Museum of American Art	127.56
1970-07-31	USBDC0E	The Whitney Museum of American Art	126.47
1970-08-31	USBDC0E	The Whitney Museum of American Art	126.05
1970-09-30	USBDC0E	The Whitney Museum of American Art	122.97
1970-10-31	USBDC0E	The Whitney Museum of American Art	117.38
1970-11-30	USBDC0E	The Whitney Museum of American Art	116.73
1970-12-31	USBDC0E	The Whitney Museum of American Art	116.24
1971-01-31	USBDC0E	The Whitney Museum of American Art	117.1
1971-02-28	USBDC0E	The Whitney Museum of American Art	122.88
1971-03-31	USBDC0E	The Whitney Museum of American Art	117.8
1971-04-30	USBDC0E	The Whitney Museum of American Art	120.99
1971-05-31	USBDC0E	The Whitney Museum of American Art	118.64
1971-06-30	USBDC0E	The Whitney Museum of American Art	117.22
1971-07-31	USBDC0E	The Whitney Museum of American Art	120.03
1971-08-31	USBDC0E	The Whitney Museum of American Art	112.05
1971-09-30	USBDC0E	The Whitney Museum of American Art	112.13
1971-10-31	USBDC0E	The Whitney Museum of American Art	107.11
1971-11-30	USBDC0E	The Whitney Museum of American Art	106.31
1971-12-31	USBDC0E	The Whitney Museum of American Art	106.53
1972-01-31	USBDC0E	The Whitney Museum of American Art	110.16
1972-02-29	USBDC0E	The Whitney Museum of American Art	113.98
1972-03-31	USBDC0E	The Whitney Museum of American Art	114.06
1972-04-30	USBDC0E	The Whitney Museum of American Art	117.51
1972-05-31	USBDC0E	The Whitney Museum of American Art	113.9
1972-06-30	USBDC0E	The Whitney Museum of American Art	116.27
1972-07-31	USBDC0E	The Whitney Museum of American Art	110.04
1972-08-31	USBDC0E	The Whitney Museum of American Art	109.56
1972-09-30	USBDC0E	The Whitney Museum of American Art	107.33
1972-10-31	USBDC0E	The Whitney Museum of American Art	103.03
1972-11-30	USBDC0E	The Whitney Museum of American Art	96.96
1972-12-31	USBDC0E	The Whitney Museum of American Art	93.4
1973-01-31	USBDC0E	The Whitney Museum of American Art	97.18
