Date	Company Code	Company Name	Stock Price
1959-01-31	USSF3N8	ThredUp Inc.	109.75
1959-02-28	USSF3N8	ThredUp Inc.	102.73
1959-03-31	USSF3N8	ThredUp Inc.	104.4
1959-04-30	USSF3N8	ThredUp Inc.	105.33
1959-05-31	USSF3N8	ThredUp Inc.	111.33
1959-06-30	USSF3N8	ThredUp Inc.	111.17
1959-07-31	USSF3N8	ThredUp Inc.	112.17
1959-08-31	USSF3N8	ThredUp Inc.	103.34
1959-09-30	USSF3N8	ThredUp Inc.	107.83
1959-10-31	USSF3N8	ThredUp Inc.	104.43
1959-11-30	USSF3N8	ThredUp Inc.	101.1
1959-12-31	USSF3N8	ThredUp Inc.	106.28
1960-01-31	USSF3N8	ThredUp Inc.	102.88
1960-02-29	USSF3N8	ThredUp Inc.	108.16
1960-03-31	USSF3N8	ThredUp Inc.	111.26
1960-04-30	USSF3N8	ThredUp Inc.	109.24
1960-05-31	USSF3N8	ThredUp Inc.	111.9
1960-06-30	USSF3N8	ThredUp Inc.	115.49
1960-07-31	USSF3N8	ThredUp Inc.	115.13
1960-08-31	USSF3N8	ThredUp Inc.	113.35
1960-09-30	USSF3N8	ThredUp Inc.	118.85
1960-10-31	USSF3N8	ThredUp Inc.	119.47
1960-11-30	USSF3N8	ThredUp Inc.	119.07
1960-12-31	USSF3N8	ThredUp Inc.	120.06
1961-01-31	USSF3N8	ThredUp Inc.	124.83
1961-02-28	USSF3N8	ThredUp Inc.	124.77
1961-03-31	USSF3N8	ThredUp Inc.	117.15
1961-04-30	USSF3N8	ThredUp Inc.	118.06
1961-05-31	USSF3N8	ThredUp Inc.	118.4
1961-06-30	USSF3N8	ThredUp Inc.	120.02
1961-07-31	USSF3N8	ThredUp Inc.	122.91
1961-08-31	USSF3N8	ThredUp Inc.	126.71
1961-09-30	USSF3N8	ThredUp Inc.	118.94
1961-10-31	USSF3N8	ThredUp Inc.	114.0
1961-11-30	USSF3N8	ThredUp Inc.	113.14
1961-12-31	USSF3N8	ThredUp Inc.	107.93
1962-01-31	USSF3N8	ThredUp Inc.	112.36
1962-02-28	USSF3N8	ThredUp Inc.	113.73
1962-03-31	USSF3N8	ThredUp Inc.	111.93
1962-04-30	USSF3N8	ThredUp Inc.	111.31
1962-05-31	USSF3N8	ThredUp Inc.	106.28
1962-06-30	USSF3N8	ThredUp Inc.	109.04
1962-07-31	USSF3N8	ThredUp Inc.	109.49
1962-08-31	USSF3N8	ThredUp Inc.	106.38
1962-09-30	USSF3N8	ThredUp Inc.	111.98
1962-10-31	USSF3N8	ThredUp Inc.	111.87
1962-11-30	USSF3N8	ThredUp Inc.	110.86
1962-12-31	USSF3N8	ThredUp Inc.	110.77
1963-01-31	USSF3N8	ThredUp Inc.	108.8
1963-02-28	USSF3N8	ThredUp Inc.	108.32
1963-03-31	USSF3N8	ThredUp Inc.	107.47
1963-04-30	USSF3N8	ThredUp Inc.	102.26
1963-05-31	USSF3N8	ThredUp Inc.	101.66
1963-06-30	USSF3N8	ThredUp Inc.	97.94
1963-07-31	USSF3N8	ThredUp Inc.	94.36
1963-08-31	USSF3N8	ThredUp Inc.	98.76
1963-09-30	USSF3N8	ThredUp Inc.	96.16
1963-10-31	USSF3N8	ThredUp Inc.	87.7
1963-11-30	USSF3N8	ThredUp Inc.	96.27
1963-12-31	USSF3N8	ThredUp Inc.	94.19
1964-01-31	USSF3N8	ThredUp Inc.	94.0
1964-02-29	USSF3N8	ThredUp Inc.	90.13
1964-03-31	USSF3N8	ThredUp Inc.	89.28
1964-04-30	USSF3N8	ThredUp Inc.	82.66
1964-05-31	USSF3N8	ThredUp Inc.	78.33
1964-06-30	USSF3N8	ThredUp Inc.	75.26
1964-07-31	USSF3N8	ThredUp Inc.	68.89
1964-08-31	USSF3N8	ThredUp Inc.	74.32
1964-09-30	USSF3N8	ThredUp Inc.	75.64
1964-10-31	USSF3N8	ThredUp Inc.	85.3
1964-11-30	USSF3N8	ThredUp Inc.	89.15
1964-12-31	USSF3N8	ThredUp Inc.	89.24
1965-01-31	USSF3N8	ThredUp Inc.	93.55
1965-02-28	USSF3N8	ThredUp Inc.	84.23
1965-03-31	USSF3N8	ThredUp Inc.	82.18
1965-04-30	USSF3N8	ThredUp Inc.	88.43
1965-05-31	USSF3N8	ThredUp Inc.	90.49
1965-06-30	USSF3N8	ThredUp Inc.	86.99
1965-07-31	USSF3N8	ThredUp Inc.	90.76
1965-08-31	USSF3N8	ThredUp Inc.	91.66
1965-09-30	USSF3N8	ThredUp Inc.	89.3
1965-10-31	USSF3N8	ThredUp Inc.	89.69
1965-11-30	USSF3N8	ThredUp Inc.	92.46
1965-12-31	USSF3N8	ThredUp Inc.	89.27
1966-01-31	USSF3N8	ThredUp Inc.	86.0
1966-02-28	USSF3N8	ThredUp Inc.	84.19
1966-03-31	USSF3N8	ThredUp Inc.	76.27
1966-04-30	USSF3N8	ThredUp Inc.	73.97
1966-05-31	USSF3N8	ThredUp Inc.	77.95
1966-06-30	USSF3N8	ThredUp Inc.	80.09
1966-07-31	USSF3N8	ThredUp Inc.	82.56
1966-08-31	USSF3N8	ThredUp Inc.	76.68
1966-09-30	USSF3N8	ThredUp Inc.	72.98
1966-10-31	USSF3N8	ThredUp Inc.	71.18
1966-11-30	USSF3N8	ThredUp Inc.	70.47
1966-12-31	USSF3N8	ThredUp Inc.	73.23
1967-01-31	USSF3N8	ThredUp Inc.	71.79
1967-02-28	USSF3N8	ThredUp Inc.	71.15
1967-03-31	USSF3N8	ThredUp Inc.	70.53
1967-04-30	USSF3N8	ThredUp Inc.	71.07
1967-05-31	USSF3N8	ThredUp Inc.	68.36
1967-06-30	USSF3N8	ThredUp Inc.	67.24
1967-07-31	USSF3N8	ThredUp Inc.	64.58
1967-08-31	USSF3N8	ThredUp Inc.	66.22
1967-09-30	USSF3N8	ThredUp Inc.	62.1
1967-10-31	USSF3N8	ThredUp Inc.	62.4153189779416
1967-11-30	USSF3N8	ThredUp Inc.	64.31
1967-12-31	USSF3N8	ThredUp Inc.	69.02
1968-01-31	USSF3N8	ThredUp Inc.	66.5
1968-02-29	USSF3N8	ThredUp Inc.	68.28
1968-03-31	USSF3N8	ThredUp Inc.	68.82
1968-04-30	USSF3N8	ThredUp Inc.	74.67
1968-05-31	USSF3N8	ThredUp Inc.	77.51
1968-06-30	USSF3N8	ThredUp Inc.	72.76
1968-07-31	USSF3N8	ThredUp Inc.	69.41
1968-08-31	USSF3N8	ThredUp Inc.	64.95
1968-09-30	USSF3N8	ThredUp Inc.	68.64
1968-10-31	USSF3N8	ThredUp Inc.	72.45
1968-11-30	USSF3N8	ThredUp Inc.	74.45
1968-12-31	USSF3N8	ThredUp Inc.	78.61
1969-01-31	USSF3N8	ThredUp Inc.	85.46
1969-02-28	USSF3N8	ThredUp Inc.	89.12
1969-03-31	USSF3N8	ThredUp Inc.	95.26
1969-04-30	USSF3N8	ThredUp Inc.	95.48
1969-05-31	USSF3N8	ThredUp Inc.	91.22
1969-06-30	USSF3N8	ThredUp Inc.	90.39
1969-07-31	USSF3N8	ThredUp Inc.	94.16
1969-08-31	USSF3N8	ThredUp Inc.	94.83
1969-09-30	USSF3N8	ThredUp Inc.	94.78
1969-10-31	USSF3N8	ThredUp Inc.	94.63
1969-11-30	USSF3N8	ThredUp Inc.	97.56
1969-12-31	USSF3N8	ThredUp Inc.	102.89
1970-01-31	USSF3N8	ThredUp Inc.	109.88
1970-02-28	USSF3N8	ThredUp Inc.	117.33
1970-03-31	USSF3N8	ThredUp Inc.	110.78
1970-04-30	USSF3N8	ThredUp Inc.	112.57
1970-05-31	USSF3N8	ThredUp Inc.	111.35
1970-06-30	USSF3N8	ThredUp Inc.	115.44
1970-07-31	USSF3N8	ThredUp Inc.	113.26
1970-08-31	USSF3N8	ThredUp Inc.	108.31
1970-09-30	USSF3N8	ThredUp Inc.	114.57
1970-10-31	USSF3N8	ThredUp Inc.	114.83
1970-11-30	USSF3N8	ThredUp Inc.	116.08
1970-12-31	USSF3N8	ThredUp Inc.	112.26
1971-01-31	USSF3N8	ThredUp Inc.	111.24
1971-02-28	USSF3N8	ThredUp Inc.	110.26
1971-03-31	USSF3N8	ThredUp Inc.	117.06
1971-04-30	USSF3N8	ThredUp Inc.	119.39
1971-05-31	USSF3N8	ThredUp Inc.	121.37
1971-06-30	USSF3N8	ThredUp Inc.	119.39
1971-07-31	USSF3N8	ThredUp Inc.	121.83
1971-08-31	USSF3N8	ThredUp Inc.	125.33
1971-09-30	USSF3N8	ThredUp Inc.	125.72
1971-10-31	USSF3N8	ThredUp Inc.	128.29
1971-11-30	USSF3N8	ThredUp Inc.	134.61
1971-12-31	USSF3N8	ThredUp Inc.	129.5
1972-01-31	USSF3N8	ThredUp Inc.	128.91
1972-02-29	USSF3N8	ThredUp Inc.	131.85
1972-03-31	USSF3N8	ThredUp Inc.	127.76
1972-04-30	USSF3N8	ThredUp Inc.	133.39
1972-05-31	USSF3N8	ThredUp Inc.	127.88
1972-06-30	USSF3N8	ThredUp Inc.	123.36
1972-07-31	USSF3N8	ThredUp Inc.	117.59
1972-08-31	USSF3N8	ThredUp Inc.	117.16
1972-09-30	USSF3N8	ThredUp Inc.	114.19
1972-10-31	USSF3N8	ThredUp Inc.	113.37
1972-11-30	USSF3N8	ThredUp Inc.	115.4
1972-12-31	USSF3N8	ThredUp Inc.	115.39
1973-01-31	USSF3N8	ThredUp Inc.	115.16
1973-02-28	USSF3N8	ThredUp Inc.	118.32
1973-03-31	USSF3N8	ThredUp Inc.	118.61
1973-04-30	USSF3N8	ThredUp Inc.	116.54
1973-05-31	USSF3N8	ThredUp Inc.	115.74
1973-06-30	USSF3N8	ThredUp Inc.	111.99
1973-07-31	USSF3N8	ThredUp Inc.	108.81
1973-08-31	USSF3N8	ThredUp Inc.	107.54
1973-09-30	USSF3N8	ThredUp Inc.	112.49
1973-10-31	USSF3N8	ThredUp Inc.	104.96
