Date	Company Code	Company Name	Stock Price
1959-01-31	US04OPL	Toll Brothers Inc.	96.27
1959-02-28	US04OPL	Toll Brothers Inc.	95.09
1959-03-31	US04OPL	Toll Brothers Inc.	93.98
1959-04-30	US04OPL	Toll Brothers Inc.	88.84
1959-05-31	US04OPL	Toll Brothers Inc.	89.46
1959-06-30	US04OPL	Toll Brothers Inc.	92.17
1959-07-31	US04OPL	Toll Brothers Inc.	86.67
1959-08-31	US04OPL	Toll Brothers Inc.	85.06
1959-09-30	US04OPL	Toll Brothers Inc.	82.43
1959-10-31	US04OPL	Toll Brothers Inc.	77.07
1959-11-30	US04OPL	Toll Brothers Inc.	73.91
1959-12-31	US04OPL	Toll Brothers Inc.	80.96
1960-01-31	US04OPL	Toll Brothers Inc.	78.24
1960-02-29	US04OPL	Toll Brothers Inc.	77.79
1960-03-31	US04OPL	Toll Brothers Inc.	85.92
1960-04-30	US04OPL	Toll Brothers Inc.	80.49
1960-05-31	US04OPL	Toll Brothers Inc.	83.19
1960-06-30	US04OPL	Toll Brothers Inc.	88.69
1960-07-31	US04OPL	Toll Brothers Inc.	90.68
1960-08-31	US04OPL	Toll Brothers Inc.	85.76
1960-09-30	US04OPL	Toll Brothers Inc.	90.47
1960-10-31	US04OPL	Toll Brothers Inc.	89.07
1960-11-30	US04OPL	Toll Brothers Inc.	81.05
1960-12-31	US04OPL	Toll Brothers Inc.	87.54
1961-01-31	US04OPL	Toll Brothers Inc.	90.13
1961-02-28	US04OPL	Toll Brothers Inc.	81.26
1961-03-31	US04OPL	Toll Brothers Inc.	81.22
1961-04-30	US04OPL	Toll Brothers Inc.	82.46
1961-05-31	US04OPL	Toll Brothers Inc.	85.56
1961-06-30	US04OPL	Toll Brothers Inc.	90.09
1961-07-31	US04OPL	Toll Brothers Inc.	89.42
1961-08-31	US04OPL	Toll Brothers Inc.	91.86
1961-09-30	US04OPL	Toll Brothers Inc.	93.42
1961-10-31	US04OPL	Toll Brothers Inc.	94.6
1961-11-30	US04OPL	Toll Brothers Inc.	96.79
1961-12-31	US04OPL	Toll Brothers Inc.	101.49
1962-01-31	US04OPL	Toll Brothers Inc.	98.29
1962-02-28	US04OPL	Toll Brothers Inc.	89.36
1962-03-31	US04OPL	Toll Brothers Inc.	91.07
1962-04-30	US04OPL	Toll Brothers Inc.	85.04
1962-05-31	US04OPL	Toll Brothers Inc.	89.09
1962-06-30	US04OPL	Toll Brothers Inc.	90.94
1962-07-31	US04OPL	Toll Brothers Inc.	95.53
1962-08-31	US04OPL	Toll Brothers Inc.	96.07
1962-09-30	US04OPL	Toll Brothers Inc.	91.62
1962-10-31	US04OPL	Toll Brothers Inc.	97.74
1962-11-30	US04OPL	Toll Brothers Inc.	102.19
1962-12-31	US04OPL	Toll Brothers Inc.	98.91
1963-01-31	US04OPL	Toll Brothers Inc.	95.52
1963-02-28	US04OPL	Toll Brothers Inc.	90.14
1963-03-31	US04OPL	Toll Brothers Inc.	91.32
1963-04-30	US04OPL	Toll Brothers Inc.	88.99
1963-05-31	US04OPL	Toll Brothers Inc.	96.59
1963-06-30	US04OPL	Toll Brothers Inc.	102.85
1963-07-31	US04OPL	Toll Brothers Inc.	98.33
1963-08-31	US04OPL	Toll Brothers Inc.	95.95
1963-09-30	US04OPL	Toll Brothers Inc.	98.85
1963-10-31	US04OPL	Toll Brothers Inc.	103.79
1963-11-30	US04OPL	Toll Brothers Inc.	109.05
1963-12-31	US04OPL	Toll Brothers Inc.	113.74
1964-01-31	US04OPL	Toll Brothers Inc.	118.66
1964-02-29	US04OPL	Toll Brothers Inc.	122.05
1964-03-31	US04OPL	Toll Brothers Inc.	120.76
1964-04-30	US04OPL	Toll Brothers Inc.	118.71
1964-05-31	US04OPL	Toll Brothers Inc.	117.81
1964-06-30	US04OPL	Toll Brothers Inc.	110.84
1964-07-31	US04OPL	Toll Brothers Inc.	109.75
1964-08-31	US04OPL	Toll Brothers Inc.	108.51
1964-09-30	US04OPL	Toll Brothers Inc.	110.26
1964-10-31	US04OPL	Toll Brothers Inc.	105.75
1964-11-30	US04OPL	Toll Brothers Inc.	108.41
1964-12-31	US04OPL	Toll Brothers Inc.	107.29
1965-01-31	US04OPL	Toll Brothers Inc.	110.32
1965-02-28	US04OPL	Toll Brothers Inc.	107.38
1965-03-31	US04OPL	Toll Brothers Inc.	111.7
1965-04-30	US04OPL	Toll Brothers Inc.	112.02
1965-05-31	US04OPL	Toll Brothers Inc.	120.53
1965-06-30	US04OPL	Toll Brothers Inc.	121.23
1965-07-31	US04OPL	Toll Brothers Inc.	119.03
1965-08-31	US04OPL	Toll Brothers Inc.	118.26
1965-09-30	US04OPL	Toll Brothers Inc.	119.09
1965-10-31	US04OPL	Toll Brothers Inc.	119.63
1965-11-30	US04OPL	Toll Brothers Inc.	123.4
1965-12-31	US04OPL	Toll Brothers Inc.	123.32
1966-01-31	US04OPL	Toll Brothers Inc.	125.82
1966-02-28	US04OPL	Toll Brothers Inc.	124.66
1966-03-31	US04OPL	Toll Brothers Inc.	132.73
1966-04-30	US04OPL	Toll Brothers Inc.	124.86
1966-05-31	US04OPL	Toll Brothers Inc.	125.93
1966-06-30	US04OPL	Toll Brothers Inc.	134.97
1966-07-31	US04OPL	Toll Brothers Inc.	134.8
1966-08-31	US04OPL	Toll Brothers Inc.	134.13
1966-09-30	US04OPL	Toll Brothers Inc.	135.79
1966-10-31	US04OPL	Toll Brothers Inc.	133.24
1966-11-30	US04OPL	Toll Brothers Inc.	128.07
1966-12-31	US04OPL	Toll Brothers Inc.	120.56
1967-01-31	US04OPL	Toll Brothers Inc.	113.94
