Date	Company Code	Company Name	Stock Price
1959-01-31	USHOMU5	Tradesy	98.06
1959-02-28	USHOMU5	Tradesy	95.29
1959-03-31	USHOMU5	Tradesy	92.04
1959-04-30	USHOMU5	Tradesy	91.42
1959-05-31	USHOMU5	Tradesy	91.83
1959-06-30	USHOMU5	Tradesy	90.58
1959-07-31	USHOMU5	Tradesy	86.04
1959-08-31	USHOMU5	Tradesy	79.96
1959-09-30	USHOMU5	Tradesy	81.98
1959-10-31	USHOMU5	Tradesy	80.64
1959-11-30	USHOMU5	Tradesy	81.39
1959-12-31	USHOMU5	Tradesy	88.55
1960-01-31	USHOMU5	Tradesy	84.08
1960-02-29	USHOMU5	Tradesy	82.21
1960-03-31	USHOMU5	Tradesy	81.62
1960-04-30	USHOMU5	Tradesy	77.82
1960-05-31	USHOMU5	Tradesy	70.94
1960-06-30	USHOMU5	Tradesy	68.04
1960-07-31	USHOMU5	Tradesy	65.54
1960-08-31	USHOMU5	Tradesy	74.02
1960-09-30	USHOMU5	Tradesy	76.5
1960-10-31	USHOMU5	Tradesy	81.42
1960-11-30	USHOMU5	Tradesy	75.8
1960-12-31	USHOMU5	Tradesy	75.5
1961-01-31	USHOMU5	Tradesy	73.48
1961-02-28	USHOMU5	Tradesy	78.05
1961-03-31	USHOMU5	Tradesy	74.35
1961-04-30	USHOMU5	Tradesy	66.8
1961-05-31	USHOMU5	Tradesy	67.83
1961-06-30	USHOMU5	Tradesy	63.82
1961-07-31	USHOMU5	Tradesy	64.05
1961-08-31	USHOMU5	Tradesy	64.11
1961-09-30	USHOMU5	Tradesy	64.31
1961-10-31	USHOMU5	Tradesy	66.91
1961-11-30	USHOMU5	Tradesy	67.59
1961-12-31	USHOMU5	Tradesy	65.27
1962-01-31	USHOMU5	Tradesy	69.67
1962-02-28	USHOMU5	Tradesy	77.83
1962-03-31	USHOMU5	Tradesy	72.04
1962-04-30	USHOMU5	Tradesy	71.2
1962-05-31	USHOMU5	Tradesy	64.1
1962-06-30	USHOMU5	Tradesy	63.68
1962-07-31	USHOMU5	Tradesy	61.52180101178113
1962-08-31	USHOMU5	Tradesy	67.92
1962-09-30	USHOMU5	Tradesy	70.44
1962-10-31	USHOMU5	Tradesy	70.63
1962-11-30	USHOMU5	Tradesy	74.29
1962-12-31	USHOMU5	Tradesy	74.64
1963-01-31	USHOMU5	Tradesy	73.57
1963-02-28	USHOMU5	Tradesy	74.49
1963-03-31	USHOMU5	Tradesy	68.37
1963-04-30	USHOMU5	Tradesy	68.49
1963-05-31	USHOMU5	Tradesy	60.97
1963-06-30	USHOMU5	Tradesy	61.523988043742854
1963-07-31	USHOMU5	Tradesy	60.58
1963-08-31	USHOMU5	Tradesy	66.35
1963-09-30	USHOMU5	Tradesy	60.49
1963-10-31	USHOMU5	Tradesy	61.34502384566626
1963-11-30	USHOMU5	Tradesy	61.53933170422341
1963-12-31	USHOMU5	Tradesy	62.39
1964-01-31	USHOMU5	Tradesy	62.49
1964-02-29	USHOMU5	Tradesy	70.55
1964-03-31	USHOMU5	Tradesy	78.84
1964-04-30	USHOMU5	Tradesy	79.12
1964-05-31	USHOMU5	Tradesy	77.41
1964-06-30	USHOMU5	Tradesy	72.06
1964-07-31	USHOMU5	Tradesy	77.18
1964-08-31	USHOMU5	Tradesy	76.15
1964-09-30	USHOMU5	Tradesy	80.96
1964-10-31	USHOMU5	Tradesy	80.0
1964-11-30	USHOMU5	Tradesy	88.17
1964-12-31	USHOMU5	Tradesy	88.99
1965-01-31	USHOMU5	Tradesy	89.44
1965-02-28	USHOMU5	Tradesy	96.08
1965-03-31	USHOMU5	Tradesy	93.18
