Date	Company Code	Company Name	Stock Price
1959-01-31	USUXBRL	Trove	114.86
1959-02-28	USUXBRL	Trove	116.51
1959-03-31	USUXBRL	Trove	112.87
1959-04-30	USUXBRL	Trove	111.34
1959-05-31	USUXBRL	Trove	115.0
1959-06-30	USUXBRL	Trove	121.86
1959-07-31	USUXBRL	Trove	114.24
1959-08-31	USUXBRL	Trove	116.69
1959-09-30	USUXBRL	Trove	119.28
1959-10-31	USUXBRL	Trove	120.36
1959-11-30	USUXBRL	Trove	127.07
1959-12-31	USUXBRL	Trove	129.07
1960-01-31	USUXBRL	Trove	123.19
1960-02-29	USUXBRL	Trove	123.44
1960-03-31	USUXBRL	Trove	118.87
1960-04-30	USUXBRL	Trove	119.69
1960-05-31	USUXBRL	Trove	122.85
1960-06-30	USUXBRL	Trove	122.68
1960-07-31	USUXBRL	Trove	131.81
1960-08-31	USUXBRL	Trove	126.13
1960-09-30	USUXBRL	Trove	131.34
1960-10-31	USUXBRL	Trove	134.42
1960-11-30	USUXBRL	Trove	133.47
1960-12-31	USUXBRL	Trove	131.23
1961-01-31	USUXBRL	Trove	130.14
1961-02-28	USUXBRL	Trove	130.84
1961-03-31	USUXBRL	Trove	125.36
1961-04-30	USUXBRL	Trove	116.44
1961-05-31	USUXBRL	Trove	116.09
1961-06-30	USUXBRL	Trove	111.88
1961-07-31	USUXBRL	Trove	114.45
1961-08-31	USUXBRL	Trove	117.48
1961-09-30	USUXBRL	Trove	120.36
1961-10-31	USUXBRL	Trove	124.02
1961-11-30	USUXBRL	Trove	128.35
1961-12-31	USUXBRL	Trove	128.17
1962-01-31	USUXBRL	Trove	125.54
1962-02-28	USUXBRL	Trove	131.41
1962-03-31	USUXBRL	Trove	133.54
1962-04-30	USUXBRL	Trove	129.82
1962-05-31	USUXBRL	Trove	130.76
1962-06-30	USUXBRL	Trove	134.68
1962-07-31	USUXBRL	Trove	133.84
1962-08-31	USUXBRL	Trove	136.78
1962-09-30	USUXBRL	Trove	139.76
