Date	Company Code	Company Name	Stock Price
1959-01-31	USBYWJF	Twilio Inc.	114.25
1959-02-28	USBYWJF	Twilio Inc.	115.25
1959-03-31	USBYWJF	Twilio Inc.	115.63
1959-04-30	USBYWJF	Twilio Inc.	111.6
1959-05-31	USBYWJF	Twilio Inc.	116.23
1959-06-30	USBYWJF	Twilio Inc.	120.43
1959-07-31	USBYWJF	Twilio Inc.	116.94
1959-08-31	USBYWJF	Twilio Inc.	114.44
1959-09-30	USBYWJF	Twilio Inc.	112.8
1959-10-31	USBYWJF	Twilio Inc.	113.51
1959-11-30	USBYWJF	Twilio Inc.	112.43
1959-12-31	USBYWJF	Twilio Inc.	111.71
1960-01-31	USBYWJF	Twilio Inc.	112.27
1960-02-29	USBYWJF	Twilio Inc.	120.18
1960-03-31	USBYWJF	Twilio Inc.	119.55
1960-04-30	USBYWJF	Twilio Inc.	117.64
1960-05-31	USBYWJF	Twilio Inc.	118.45
1960-06-30	USBYWJF	Twilio Inc.	118.97
1960-07-31	USBYWJF	Twilio Inc.	110.29
1960-08-31	USBYWJF	Twilio Inc.	110.68
1960-09-30	USBYWJF	Twilio Inc.	117.11
1960-10-31	USBYWJF	Twilio Inc.	113.7
1960-11-30	USBYWJF	Twilio Inc.	115.47
1960-12-31	USBYWJF	Twilio Inc.	117.75
1961-01-31	USBYWJF	Twilio Inc.	115.01
1961-02-28	USBYWJF	Twilio Inc.	119.49
1961-03-31	USBYWJF	Twilio Inc.	118.25
1961-04-30	USBYWJF	Twilio Inc.	113.15
1961-05-31	USBYWJF	Twilio Inc.	110.66
1961-06-30	USBYWJF	Twilio Inc.	107.96
1961-07-31	USBYWJF	Twilio Inc.	108.55
1961-08-31	USBYWJF	Twilio Inc.	101.2
1961-09-30	USBYWJF	Twilio Inc.	107.11
1961-10-31	USBYWJF	Twilio Inc.	111.52
1961-11-30	USBYWJF	Twilio Inc.	109.25
1961-12-31	USBYWJF	Twilio Inc.	100.54
1962-01-31	USBYWJF	Twilio Inc.	108.84
1962-02-28	USBYWJF	Twilio Inc.	104.64
1962-03-31	USBYWJF	Twilio Inc.	103.6
1962-04-30	USBYWJF	Twilio Inc.	104.29
1962-05-31	USBYWJF	Twilio Inc.	107.71
1962-06-30	USBYWJF	Twilio Inc.	101.76
1962-07-31	USBYWJF	Twilio Inc.	102.75
1962-08-31	USBYWJF	Twilio Inc.	105.15
1962-09-30	USBYWJF	Twilio Inc.	105.39
1962-10-31	USBYWJF	Twilio Inc.	112.24
1962-11-30	USBYWJF	Twilio Inc.	113.0
1962-12-31	USBYWJF	Twilio Inc.	110.47
1963-01-31	USBYWJF	Twilio Inc.	102.3
1963-02-28	USBYWJF	Twilio Inc.	100.42
1963-03-31	USBYWJF	Twilio Inc.	107.23
1963-04-30	USBYWJF	Twilio Inc.	104.49
1963-05-31	USBYWJF	Twilio Inc.	97.73
1963-06-30	USBYWJF	Twilio Inc.	96.49
1963-07-31	USBYWJF	Twilio Inc.	94.67
1963-08-31	USBYWJF	Twilio Inc.	92.4
1963-09-30	USBYWJF	Twilio Inc.	92.17
1963-10-31	USBYWJF	Twilio Inc.	98.1
1963-11-30	USBYWJF	Twilio Inc.	97.61
1963-12-31	USBYWJF	Twilio Inc.	97.7
1964-01-31	USBYWJF	Twilio Inc.	92.76
1964-02-29	USBYWJF	Twilio Inc.	90.4
1964-03-31	USBYWJF	Twilio Inc.	92.52
1964-04-30	USBYWJF	Twilio Inc.	98.42
1964-05-31	USBYWJF	Twilio Inc.	94.91
1964-06-30	USBYWJF	Twilio Inc.	96.91
1964-07-31	USBYWJF	Twilio Inc.	97.64
1964-08-31	USBYWJF	Twilio Inc.	90.58
1964-09-30	USBYWJF	Twilio Inc.	92.68
1964-10-31	USBYWJF	Twilio Inc.	85.89
1964-11-30	USBYWJF	Twilio Inc.	84.3
