Date	Company Code	Company Name	Stock Price
1959-01-31	USEM0D8	Twitter Inc.	90.57
1959-02-28	USEM0D8	Twitter Inc.	88.85
1959-03-31	USEM0D8	Twitter Inc.	83.24
1959-04-30	USEM0D8	Twitter Inc.	82.03
1959-05-31	USEM0D8	Twitter Inc.	81.25
1959-06-30	USEM0D8	Twitter Inc.	81.28
1959-07-31	USEM0D8	Twitter Inc.	89.47
1959-08-31	USEM0D8	Twitter Inc.	91.77
1959-09-30	USEM0D8	Twitter Inc.	90.19
1959-10-31	USEM0D8	Twitter Inc.	89.02
1959-11-30	USEM0D8	Twitter Inc.	89.27
1959-12-31	USEM0D8	Twitter Inc.	91.71
1960-01-31	USEM0D8	Twitter Inc.	92.97
1960-02-29	USEM0D8	Twitter Inc.	95.22
1960-03-31	USEM0D8	Twitter Inc.	98.69
1960-04-30	USEM0D8	Twitter Inc.	103.15
1960-05-31	USEM0D8	Twitter Inc.	101.02
1960-06-30	USEM0D8	Twitter Inc.	95.12
1960-07-31	USEM0D8	Twitter Inc.	94.14
1960-08-31	USEM0D8	Twitter Inc.	89.29
1960-09-30	USEM0D8	Twitter Inc.	90.26
1960-10-31	USEM0D8	Twitter Inc.	86.39
1960-11-30	USEM0D8	Twitter Inc.	85.34
1960-12-31	USEM0D8	Twitter Inc.	85.32
1961-01-31	USEM0D8	Twitter Inc.	77.92
1961-02-28	USEM0D8	Twitter Inc.	76.32
1961-03-31	USEM0D8	Twitter Inc.	73.25
1961-04-30	USEM0D8	Twitter Inc.	66.02
1961-05-31	USEM0D8	Twitter Inc.	62.41
1961-06-30	USEM0D8	Twitter Inc.	62.82535833741397
1961-07-31	USEM0D8	Twitter Inc.	62.2658565114297
1961-08-31	USEM0D8	Twitter Inc.	64.2
1961-09-30	USEM0D8	Twitter Inc.	60.9
1961-10-31	USEM0D8	Twitter Inc.	61.078866597396726
1961-11-30	USEM0D8	Twitter Inc.	61.935947156168126
1961-12-31	USEM0D8	Twitter Inc.	62.53
1962-01-31	USEM0D8	Twitter Inc.	60.3
1962-02-28	USEM0D8	Twitter Inc.	63.71
