Date	Company Code	Company Name	Stock Price
1959-01-31	US6NW2R	Under Armour Inc.	109.27
1959-02-28	US6NW2R	Under Armour Inc.	107.29
1959-03-31	US6NW2R	Under Armour Inc.	106.97
1959-04-30	US6NW2R	Under Armour Inc.	101.21
1959-05-31	US6NW2R	Under Armour Inc.	106.53
1959-06-30	US6NW2R	Under Armour Inc.	105.39
1959-07-31	US6NW2R	Under Armour Inc.	101.25
1959-08-31	US6NW2R	Under Armour Inc.	103.72
1959-09-30	US6NW2R	Under Armour Inc.	104.46
1959-10-31	US6NW2R	Under Armour Inc.	96.73
1959-11-30	US6NW2R	Under Armour Inc.	97.69
1959-12-31	US6NW2R	Under Armour Inc.	105.05
1960-01-31	US6NW2R	Under Armour Inc.	102.95
1960-02-29	US6NW2R	Under Armour Inc.	99.31
1960-03-31	US6NW2R	Under Armour Inc.	100.1
1960-04-30	US6NW2R	Under Armour Inc.	103.89
1960-05-31	US6NW2R	Under Armour Inc.	103.25
1960-06-30	US6NW2R	Under Armour Inc.	101.91
1960-07-31	US6NW2R	Under Armour Inc.	98.39
1960-08-31	US6NW2R	Under Armour Inc.	96.91
1960-09-30	US6NW2R	Under Armour Inc.	95.94
1960-10-31	US6NW2R	Under Armour Inc.	93.92
1960-11-30	US6NW2R	Under Armour Inc.	91.31
1960-12-31	US6NW2R	Under Armour Inc.	99.41
1961-01-31	US6NW2R	Under Armour Inc.	101.28
1961-02-28	US6NW2R	Under Armour Inc.	101.95
1961-03-31	US6NW2R	Under Armour Inc.	108.74
1961-04-30	US6NW2R	Under Armour Inc.	108.88
1961-05-31	US6NW2R	Under Armour Inc.	107.34
1961-06-30	US6NW2R	Under Armour Inc.	107.54
1961-07-31	US6NW2R	Under Armour Inc.	109.89
1961-08-31	US6NW2R	Under Armour Inc.	109.68
1961-09-30	US6NW2R	Under Armour Inc.	114.32
1961-10-31	US6NW2R	Under Armour Inc.	115.66
1961-11-30	US6NW2R	Under Armour Inc.	116.75
1961-12-31	US6NW2R	Under Armour Inc.	111.52
1962-01-31	US6NW2R	Under Armour Inc.	110.57
1962-02-28	US6NW2R	Under Armour Inc.	109.56
1962-03-31	US6NW2R	Under Armour Inc.	105.36
1962-04-30	US6NW2R	Under Armour Inc.	110.05
1962-05-31	US6NW2R	Under Armour Inc.	114.21
1962-06-30	US6NW2R	Under Armour Inc.	111.96
1962-07-31	US6NW2R	Under Armour Inc.	108.24
1962-08-31	US6NW2R	Under Armour Inc.	105.27
1962-09-30	US6NW2R	Under Armour Inc.	102.96
1962-10-31	US6NW2R	Under Armour Inc.	106.94
1962-11-30	US6NW2R	Under Armour Inc.	102.09
1962-12-31	US6NW2R	Under Armour Inc.	103.34
1963-01-31	US6NW2R	Under Armour Inc.	95.39
1963-02-28	US6NW2R	Under Armour Inc.	97.58
1963-03-31	US6NW2R	Under Armour Inc.	103.43
1963-04-30	US6NW2R	Under Armour Inc.	104.51
1963-05-31	US6NW2R	Under Armour Inc.	113.0
1963-06-30	US6NW2R	Under Armour Inc.	120.65
1963-07-31	US6NW2R	Under Armour Inc.	113.48
1963-08-31	US6NW2R	Under Armour Inc.	114.18
1963-09-30	US6NW2R	Under Armour Inc.	117.31
1963-10-31	US6NW2R	Under Armour Inc.	119.26
1963-11-30	US6NW2R	Under Armour Inc.	118.37
1963-12-31	US6NW2R	Under Armour Inc.	119.88
1964-01-31	US6NW2R	Under Armour Inc.	111.03
1964-02-29	US6NW2R	Under Armour Inc.	107.83
1964-03-31	US6NW2R	Under Armour Inc.	109.73
1964-04-30	US6NW2R	Under Armour Inc.	107.15
1964-05-31	US6NW2R	Under Armour Inc.	108.1
1964-06-30	US6NW2R	Under Armour Inc.	113.29
1964-07-31	US6NW2R	Under Armour Inc.	115.24
1964-08-31	US6NW2R	Under Armour Inc.	117.43
1964-09-30	US6NW2R	Under Armour Inc.	122.83
1964-10-31	US6NW2R	Under Armour Inc.	119.47
1964-11-30	US6NW2R	Under Armour Inc.	115.73
1964-12-31	US6NW2R	Under Armour Inc.	110.93
1965-01-31	US6NW2R	Under Armour Inc.	113.96
1965-02-28	US6NW2R	Under Armour Inc.	111.57
1965-03-31	US6NW2R	Under Armour Inc.	114.16
1965-04-30	US6NW2R	Under Armour Inc.	110.39
1965-05-31	US6NW2R	Under Armour Inc.	111.76
1965-06-30	US6NW2R	Under Armour Inc.	117.68
1965-07-31	US6NW2R	Under Armour Inc.	119.28
1965-08-31	US6NW2R	Under Armour Inc.	112.61
1965-09-30	US6NW2R	Under Armour Inc.	111.04
1965-10-31	US6NW2R	Under Armour Inc.	114.53
1965-11-30	US6NW2R	Under Armour Inc.	117.23
1965-12-31	US6NW2R	Under Armour Inc.	118.42
1966-01-31	US6NW2R	Under Armour Inc.	116.24
1966-02-28	US6NW2R	Under Armour Inc.	115.51
1966-03-31	US6NW2R	Under Armour Inc.	117.94
1966-04-30	US6NW2R	Under Armour Inc.	116.74
1966-05-31	US6NW2R	Under Armour Inc.	112.28
1966-06-30	US6NW2R	Under Armour Inc.	110.03
1966-07-31	US6NW2R	Under Armour Inc.	109.59
1966-08-31	US6NW2R	Under Armour Inc.	111.97
1966-09-30	US6NW2R	Under Armour Inc.	110.67
1966-10-31	US6NW2R	Under Armour Inc.	110.22
1966-11-30	US6NW2R	Under Armour Inc.	114.12
1966-12-31	US6NW2R	Under Armour Inc.	116.09
1967-01-31	US6NW2R	Under Armour Inc.	115.69
1967-02-28	US6NW2R	Under Armour Inc.	114.28
1967-03-31	US6NW2R	Under Armour Inc.	113.29
1967-04-30	US6NW2R	Under Armour Inc.	109.44
1967-05-31	US6NW2R	Under Armour Inc.	100.26
1967-06-30	US6NW2R	Under Armour Inc.	106.25
1967-07-31	US6NW2R	Under Armour Inc.	108.48
1967-08-31	US6NW2R	Under Armour Inc.	107.18
