Date	Company Code	Company Name	Stock Price
1959-01-31	USFOEGA	Uniqlo	100.05
1959-02-28	USFOEGA	Uniqlo	97.85
1959-03-31	USFOEGA	Uniqlo	95.14
1959-04-30	USFOEGA	Uniqlo	93.12
1959-05-31	USFOEGA	Uniqlo	94.3
1959-06-30	USFOEGA	Uniqlo	93.82
1959-07-31	USFOEGA	Uniqlo	99.37
1959-08-31	USFOEGA	Uniqlo	100.71
1959-09-30	USFOEGA	Uniqlo	99.24
1959-10-31	USFOEGA	Uniqlo	105.26
1959-11-30	USFOEGA	Uniqlo	110.66
1959-12-31	USFOEGA	Uniqlo	108.85
1960-01-31	USFOEGA	Uniqlo	104.68
1960-02-29	USFOEGA	Uniqlo	106.01
1960-03-31	USFOEGA	Uniqlo	105.56
1960-04-30	USFOEGA	Uniqlo	103.79
1960-05-31	USFOEGA	Uniqlo	98.85
1960-06-30	USFOEGA	Uniqlo	103.91
1960-07-31	USFOEGA	Uniqlo	105.15
1960-08-31	USFOEGA	Uniqlo	109.1
1960-09-30	USFOEGA	Uniqlo	107.63
1960-10-31	USFOEGA	Uniqlo	108.06
1960-11-30	USFOEGA	Uniqlo	105.84
1960-12-31	USFOEGA	Uniqlo	109.8
1961-01-31	USFOEGA	Uniqlo	110.64
1961-02-28	USFOEGA	Uniqlo	104.71
1961-03-31	USFOEGA	Uniqlo	110.36
1961-04-30	USFOEGA	Uniqlo	111.88
1961-05-31	USFOEGA	Uniqlo	110.59
1961-06-30	USFOEGA	Uniqlo	114.14
1961-07-31	USFOEGA	Uniqlo	115.62
1961-08-31	USFOEGA	Uniqlo	114.27
1961-09-30	USFOEGA	Uniqlo	115.39
1961-10-31	USFOEGA	Uniqlo	111.19
1961-11-30	USFOEGA	Uniqlo	116.55
1961-12-31	USFOEGA	Uniqlo	114.89
1962-01-31	USFOEGA	Uniqlo	113.94
1962-02-28	USFOEGA	Uniqlo	105.16
1962-03-31	USFOEGA	Uniqlo	103.48
1962-04-30	USFOEGA	Uniqlo	100.64
1962-05-31	USFOEGA	Uniqlo	101.92
1962-06-30	USFOEGA	Uniqlo	102.93
1962-07-31	USFOEGA	Uniqlo	100.71
1962-08-31	USFOEGA	Uniqlo	105.37
1962-09-30	USFOEGA	Uniqlo	100.96
1962-10-31	USFOEGA	Uniqlo	105.42
1962-11-30	USFOEGA	Uniqlo	103.5
1962-12-31	USFOEGA	Uniqlo	109.38
1963-01-31	USFOEGA	Uniqlo	107.59
1963-02-28	USFOEGA	Uniqlo	105.84
1963-03-31	USFOEGA	Uniqlo	106.98
1963-04-30	USFOEGA	Uniqlo	97.51
1963-05-31	USFOEGA	Uniqlo	100.07
1963-06-30	USFOEGA	Uniqlo	105.98
1963-07-31	USFOEGA	Uniqlo	109.14
1963-08-31	USFOEGA	Uniqlo	105.0
1963-09-30	USFOEGA	Uniqlo	103.27
1963-10-31	USFOEGA	Uniqlo	97.78
1963-11-30	USFOEGA	Uniqlo	101.08
1963-12-31	USFOEGA	Uniqlo	104.93
1964-01-31	USFOEGA	Uniqlo	109.01
1964-02-29	USFOEGA	Uniqlo	104.73
1964-03-31	USFOEGA	Uniqlo	104.33
1964-04-30	USFOEGA	Uniqlo	103.36
1964-05-31	USFOEGA	Uniqlo	100.86
1964-06-30	USFOEGA	Uniqlo	97.31
1964-07-31	USFOEGA	Uniqlo	100.92
1964-08-31	USFOEGA	Uniqlo	100.97
1964-09-30	USFOEGA	Uniqlo	102.13
1964-10-31	USFOEGA	Uniqlo	95.04
1964-11-30	USFOEGA	Uniqlo	94.86
1964-12-31	USFOEGA	Uniqlo	88.87
1965-01-31	USFOEGA	Uniqlo	88.69
1965-02-28	USFOEGA	Uniqlo	92.84
1965-03-31	USFOEGA	Uniqlo	90.42
1965-04-30	USFOEGA	Uniqlo	92.95
1965-05-31	USFOEGA	Uniqlo	91.18
1965-06-30	USFOEGA	Uniqlo	88.0
1965-07-31	USFOEGA	Uniqlo	90.54
1965-08-31	USFOEGA	Uniqlo	89.88
1965-09-30	USFOEGA	Uniqlo	92.37
1965-10-31	USFOEGA	Uniqlo	100.36
1965-11-30	USFOEGA	Uniqlo	96.54
1965-12-31	USFOEGA	Uniqlo	101.01
1966-01-31	USFOEGA	Uniqlo	101.0
1966-02-28	USFOEGA	Uniqlo	103.23
1966-03-31	USFOEGA	Uniqlo	95.14
1966-04-30	USFOEGA	Uniqlo	90.72
1966-05-31	USFOEGA	Uniqlo	95.68
1966-06-30	USFOEGA	Uniqlo	93.5
1966-07-31	USFOEGA	Uniqlo	91.41
1966-08-31	USFOEGA	Uniqlo	88.92
1966-09-30	USFOEGA	Uniqlo	90.38
1966-10-31	USFOEGA	Uniqlo	86.21
1966-11-30	USFOEGA	Uniqlo	89.73
1966-12-31	USFOEGA	Uniqlo	89.21
1967-01-31	USFOEGA	Uniqlo	90.25
1967-02-28	USFOEGA	Uniqlo	89.92
1967-03-31	USFOEGA	Uniqlo	84.58
1967-04-30	USFOEGA	Uniqlo	83.7
1967-05-31	USFOEGA	Uniqlo	83.41
1967-06-30	USFOEGA	Uniqlo	82.23
1967-07-31	USFOEGA	Uniqlo	79.79
1967-08-31	USFOEGA	Uniqlo	80.66
1967-09-30	USFOEGA	Uniqlo	80.91
1967-10-31	USFOEGA	Uniqlo	85.51
1967-11-30	USFOEGA	Uniqlo	87.59
1967-12-31	USFOEGA	Uniqlo	87.66
1968-01-31	USFOEGA	Uniqlo	84.04
1968-02-29	USFOEGA	Uniqlo	84.27
1968-03-31	USFOEGA	Uniqlo	79.06
1968-04-30	USFOEGA	Uniqlo	70.84
1968-05-31	USFOEGA	Uniqlo	73.29
1968-06-30	USFOEGA	Uniqlo	80.75
1968-07-31	USFOEGA	Uniqlo	85.68
1968-08-31	USFOEGA	Uniqlo	86.59
1968-09-30	USFOEGA	Uniqlo	84.75
1968-10-31	USFOEGA	Uniqlo	76.94
1968-11-30	USFOEGA	Uniqlo	77.57
1968-12-31	USFOEGA	Uniqlo	81.45
1969-01-31	USFOEGA	Uniqlo	83.23
1969-02-28	USFOEGA	Uniqlo	89.83
1969-03-31	USFOEGA	Uniqlo	84.75
1969-04-30	USFOEGA	Uniqlo	81.81
1969-05-31	USFOEGA	Uniqlo	86.63
1969-06-30	USFOEGA	Uniqlo	90.37
1969-07-31	USFOEGA	Uniqlo	94.78
1969-08-31	USFOEGA	Uniqlo	91.68
1969-09-30	USFOEGA	Uniqlo	95.29
1969-10-31	USFOEGA	Uniqlo	95.6
1969-11-30	USFOEGA	Uniqlo	97.21
1969-12-31	USFOEGA	Uniqlo	96.35
1970-01-31	USFOEGA	Uniqlo	91.07
1970-02-28	USFOEGA	Uniqlo	93.27
1970-03-31	USFOEGA	Uniqlo	91.81
1970-04-30	USFOEGA	Uniqlo	94.71
1970-05-31	USFOEGA	Uniqlo	88.7
1970-06-30	USFOEGA	Uniqlo	81.99
1970-07-31	USFOEGA	Uniqlo	82.04
1970-08-31	USFOEGA	Uniqlo	81.33
1970-09-30	USFOEGA	Uniqlo	84.28
1970-10-31	USFOEGA	Uniqlo	85.2
1970-11-30	USFOEGA	Uniqlo	90.69
1970-12-31	USFOEGA	Uniqlo	96.98
1971-01-31	USFOEGA	Uniqlo	96.05
1971-02-28	USFOEGA	Uniqlo	101.5
1971-03-31	USFOEGA	Uniqlo	101.85
1971-04-30	USFOEGA	Uniqlo	96.43
1971-05-31	USFOEGA	Uniqlo	95.54
1971-06-30	USFOEGA	Uniqlo	97.15
1971-07-31	USFOEGA	Uniqlo	99.79
1971-08-31	USFOEGA	Uniqlo	102.0
1971-09-30	USFOEGA	Uniqlo	101.03
1971-10-31	USFOEGA	Uniqlo	104.69
1971-11-30	USFOEGA	Uniqlo	103.9
1971-12-31	USFOEGA	Uniqlo	99.1
1972-01-31	USFOEGA	Uniqlo	104.96
1972-02-29	USFOEGA	Uniqlo	107.57
1972-03-31	USFOEGA	Uniqlo	106.1
1972-04-30	USFOEGA	Uniqlo	98.66
1972-05-31	USFOEGA	Uniqlo	99.83
1972-06-30	USFOEGA	Uniqlo	99.03
1972-07-31	USFOEGA	Uniqlo	95.15
1972-08-31	USFOEGA	Uniqlo	94.45
1972-09-30	USFOEGA	Uniqlo	86.76
1972-10-31	USFOEGA	Uniqlo	85.37
1972-11-30	USFOEGA	Uniqlo	89.26
1972-12-31	USFOEGA	Uniqlo	94.02
1973-01-31	USFOEGA	Uniqlo	102.5
1973-02-28	USFOEGA	Uniqlo	103.53
1973-03-31	USFOEGA	Uniqlo	105.51
1973-04-30	USFOEGA	Uniqlo	104.03
1973-05-31	USFOEGA	Uniqlo	103.38
1973-06-30	USFOEGA	Uniqlo	103.32
1973-07-31	USFOEGA	Uniqlo	100.79
1973-08-31	USFOEGA	Uniqlo	95.94
1973-09-30	USFOEGA	Uniqlo	90.96
1973-10-31	USFOEGA	Uniqlo	90.96
1973-11-30	USFOEGA	Uniqlo	92.4
1973-12-31	USFOEGA	Uniqlo	99.77
1974-01-31	USFOEGA	Uniqlo	98.47
1974-02-28	USFOEGA	Uniqlo	95.61
1974-03-31	USFOEGA	Uniqlo	99.0
1974-04-30	USFOEGA	Uniqlo	104.86
1974-05-31	USFOEGA	Uniqlo	111.32
1974-06-30	USFOEGA	Uniqlo	112.9
1974-07-31	USFOEGA	Uniqlo	117.53
1974-08-31	USFOEGA	Uniqlo	123.36
1974-09-30	USFOEGA	Uniqlo	128.19
1974-10-31	USFOEGA	Uniqlo	131.29
1974-11-30	USFOEGA	Uniqlo	128.83
1974-12-31	USFOEGA	Uniqlo	130.21
1975-01-31	USFOEGA	Uniqlo	125.21
1975-02-28	USFOEGA	Uniqlo	117.42
1975-03-31	USFOEGA	Uniqlo	116.32
1975-04-30	USFOEGA	Uniqlo	111.41
1975-05-31	USFOEGA	Uniqlo	117.67
1975-06-30	USFOEGA	Uniqlo	121.51
1975-07-31	USFOEGA	Uniqlo	122.97
1975-08-31	USFOEGA	Uniqlo	116.18
1975-09-30	USFOEGA	Uniqlo	111.72
1975-10-31	USFOEGA	Uniqlo	111.5
1975-11-30	USFOEGA	Uniqlo	111.54
1975-12-31	USFOEGA	Uniqlo	111.06
1976-01-31	USFOEGA	Uniqlo	115.16
1976-02-29	USFOEGA	Uniqlo	114.37
1976-03-31	USFOEGA	Uniqlo	112.58
1976-04-30	USFOEGA	Uniqlo	116.24
1976-05-31	USFOEGA	Uniqlo	116.91
1976-06-30	USFOEGA	Uniqlo	123.73
