Date	Company Code	Company Name	Stock Price
1959-01-31	US39PI8	Unity Software Inc.	95.81
1959-02-28	US39PI8	Unity Software Inc.	100.51
1959-03-31	US39PI8	Unity Software Inc.	96.15
1959-04-30	US39PI8	Unity Software Inc.	94.33
1959-05-31	US39PI8	Unity Software Inc.	88.34
1959-06-30	US39PI8	Unity Software Inc.	84.41
1959-07-31	US39PI8	Unity Software Inc.	86.24
1959-08-31	US39PI8	Unity Software Inc.	89.58
1959-09-30	US39PI8	Unity Software Inc.	94.44
1959-10-31	US39PI8	Unity Software Inc.	92.48
1959-11-30	US39PI8	Unity Software Inc.	98.31
1959-12-31	US39PI8	Unity Software Inc.	100.26
1960-01-31	US39PI8	Unity Software Inc.	103.65
1960-02-29	US39PI8	Unity Software Inc.	102.8
1960-03-31	US39PI8	Unity Software Inc.	99.32
1960-04-30	US39PI8	Unity Software Inc.	99.27
1960-05-31	US39PI8	Unity Software Inc.	102.33
1960-06-30	US39PI8	Unity Software Inc.	96.86
1960-07-31	US39PI8	Unity Software Inc.	91.42
1960-08-31	US39PI8	Unity Software Inc.	89.51
1960-09-30	US39PI8	Unity Software Inc.	95.63
1960-10-31	US39PI8	Unity Software Inc.	98.87
1960-11-30	US39PI8	Unity Software Inc.	98.26
1960-12-31	US39PI8	Unity Software Inc.	104.49
1961-01-31	US39PI8	Unity Software Inc.	98.71
1961-02-28	US39PI8	Unity Software Inc.	94.62
1961-03-31	US39PI8	Unity Software Inc.	93.46
1961-04-30	US39PI8	Unity Software Inc.	94.83
1961-05-31	US39PI8	Unity Software Inc.	90.29
1961-06-30	US39PI8	Unity Software Inc.	89.37
1961-07-31	US39PI8	Unity Software Inc.	93.93
1961-08-31	US39PI8	Unity Software Inc.	93.98
1961-09-30	US39PI8	Unity Software Inc.	97.66
1961-10-31	US39PI8	Unity Software Inc.	97.24
1961-11-30	US39PI8	Unity Software Inc.	98.45
1961-12-31	US39PI8	Unity Software Inc.	103.76
1962-01-31	US39PI8	Unity Software Inc.	102.61
1962-02-28	US39PI8	Unity Software Inc.	99.69
1962-03-31	US39PI8	Unity Software Inc.	103.43
1962-04-30	US39PI8	Unity Software Inc.	101.87
1962-05-31	US39PI8	Unity Software Inc.	97.83
1962-06-30	US39PI8	Unity Software Inc.	99.96
1962-07-31	US39PI8	Unity Software Inc.	97.38
1962-08-31	US39PI8	Unity Software Inc.	95.53
1962-09-30	US39PI8	Unity Software Inc.	100.47
1962-10-31	US39PI8	Unity Software Inc.	106.48
1962-11-30	US39PI8	Unity Software Inc.	112.23
1962-12-31	US39PI8	Unity Software Inc.	108.47
1963-01-31	US39PI8	Unity Software Inc.	113.19
1963-02-28	US39PI8	Unity Software Inc.	112.3
1963-03-31	US39PI8	Unity Software Inc.	115.22
1963-04-30	US39PI8	Unity Software Inc.	115.28
1963-05-31	US39PI8	Unity Software Inc.	116.07
1963-06-30	US39PI8	Unity Software Inc.	114.74
1963-07-31	US39PI8	Unity Software Inc.	121.64
1963-08-31	US39PI8	Unity Software Inc.	120.83
1963-09-30	US39PI8	Unity Software Inc.	115.5
