Date	Company Code	Company Name	Stock Price
1959-01-31	USP84WO	Urban Outfitters Inc.	114.46
1959-02-28	USP84WO	Urban Outfitters Inc.	119.65
1959-03-31	USP84WO	Urban Outfitters Inc.	119.55
1959-04-30	USP84WO	Urban Outfitters Inc.	122.45
1959-05-31	USP84WO	Urban Outfitters Inc.	124.79
1959-06-30	USP84WO	Urban Outfitters Inc.	127.75
1959-07-31	USP84WO	Urban Outfitters Inc.	127.79
1959-08-31	USP84WO	Urban Outfitters Inc.	126.3
1959-09-30	USP84WO	Urban Outfitters Inc.	127.8
1959-10-31	USP84WO	Urban Outfitters Inc.	127.89
1959-11-30	USP84WO	Urban Outfitters Inc.	135.5
1959-12-31	USP84WO	Urban Outfitters Inc.	137.2
1960-01-31	USP84WO	Urban Outfitters Inc.	139.46
1960-02-29	USP84WO	Urban Outfitters Inc.	139.43
1960-03-31	USP84WO	Urban Outfitters Inc.	136.28
1960-04-30	USP84WO	Urban Outfitters Inc.	137.07
1960-05-31	USP84WO	Urban Outfitters Inc.	132.29
1960-06-30	USP84WO	Urban Outfitters Inc.	129.72
1960-07-31	USP84WO	Urban Outfitters Inc.	128.09
1960-08-31	USP84WO	Urban Outfitters Inc.	131.56
1960-09-30	USP84WO	Urban Outfitters Inc.	129.21
1960-10-31	USP84WO	Urban Outfitters Inc.	135.13
1960-11-30	USP84WO	Urban Outfitters Inc.	139.29
1960-12-31	USP84WO	Urban Outfitters Inc.	135.39
1961-01-31	USP84WO	Urban Outfitters Inc.	133.19
1961-02-28	USP84WO	Urban Outfitters Inc.	125.42
1961-03-31	USP84WO	Urban Outfitters Inc.	125.58
1961-04-30	USP84WO	Urban Outfitters Inc.	128.59
1961-05-31	USP84WO	Urban Outfitters Inc.	134.77
1961-06-30	USP84WO	Urban Outfitters Inc.	133.91
1961-07-31	USP84WO	Urban Outfitters Inc.	133.29
1961-08-31	USP84WO	Urban Outfitters Inc.	141.69
1961-09-30	USP84WO	Urban Outfitters Inc.	138.57
1961-10-31	USP84WO	Urban Outfitters Inc.	137.99
1961-11-30	USP84WO	Urban Outfitters Inc.	142.06
1961-12-31	USP84WO	Urban Outfitters Inc.	140.84
1962-01-31	USP84WO	Urban Outfitters Inc.	136.02
1962-02-28	USP84WO	Urban Outfitters Inc.	144.48
1962-03-31	USP84WO	Urban Outfitters Inc.	141.31
1962-04-30	USP84WO	Urban Outfitters Inc.	144.32
1962-05-31	USP84WO	Urban Outfitters Inc.	150.21
1962-06-30	USP84WO	Urban Outfitters Inc.	144.54
1962-07-31	USP84WO	Urban Outfitters Inc.	142.34
1962-08-31	USP84WO	Urban Outfitters Inc.	140.89
1962-09-30	USP84WO	Urban Outfitters Inc.	142.24
1962-10-31	USP84WO	Urban Outfitters Inc.	136.21
1962-11-30	USP84WO	Urban Outfitters Inc.	133.18
1962-12-31	USP84WO	Urban Outfitters Inc.	132.61
1963-01-31	USP84WO	Urban Outfitters Inc.	127.22
