Date	Company Code	Company Name	Stock Price
1959-01-31	US8DWR0	Verizon Communications Inc.	97.38
1959-02-28	US8DWR0	Verizon Communications Inc.	103.97
1959-03-31	US8DWR0	Verizon Communications Inc.	109.41
1959-04-30	US8DWR0	Verizon Communications Inc.	105.99
1959-05-31	US8DWR0	Verizon Communications Inc.	104.2
1959-06-30	US8DWR0	Verizon Communications Inc.	109.58
1959-07-31	US8DWR0	Verizon Communications Inc.	105.68
1959-08-31	US8DWR0	Verizon Communications Inc.	105.49
1959-09-30	US8DWR0	Verizon Communications Inc.	103.16
1959-10-31	US8DWR0	Verizon Communications Inc.	103.72
1959-11-30	US8DWR0	Verizon Communications Inc.	102.8
1959-12-31	US8DWR0	Verizon Communications Inc.	97.14
1960-01-31	US8DWR0	Verizon Communications Inc.	96.44
1960-02-29	US8DWR0	Verizon Communications Inc.	99.02
1960-03-31	US8DWR0	Verizon Communications Inc.	93.17
1960-04-30	US8DWR0	Verizon Communications Inc.	92.38
1960-05-31	US8DWR0	Verizon Communications Inc.	85.51
1960-06-30	US8DWR0	Verizon Communications Inc.	85.66
1960-07-31	US8DWR0	Verizon Communications Inc.	85.97
1960-08-31	US8DWR0	Verizon Communications Inc.	86.63
1960-09-30	US8DWR0	Verizon Communications Inc.	87.04
1960-10-31	US8DWR0	Verizon Communications Inc.	93.44
1960-11-30	US8DWR0	Verizon Communications Inc.	94.46
1960-12-31	US8DWR0	Verizon Communications Inc.	90.03
1961-01-31	US8DWR0	Verizon Communications Inc.	90.85
1961-02-28	US8DWR0	Verizon Communications Inc.	89.44
1961-03-31	US8DWR0	Verizon Communications Inc.	89.44
1961-04-30	US8DWR0	Verizon Communications Inc.	89.71
1961-05-31	US8DWR0	Verizon Communications Inc.	93.98
1961-06-30	US8DWR0	Verizon Communications Inc.	91.65
1961-07-31	US8DWR0	Verizon Communications Inc.	83.71
1961-08-31	US8DWR0	Verizon Communications Inc.	83.13
1961-09-30	US8DWR0	Verizon Communications Inc.	84.09
1961-10-31	US8DWR0	Verizon Communications Inc.	89.64
1961-11-30	US8DWR0	Verizon Communications Inc.	86.21
1961-12-31	US8DWR0	Verizon Communications Inc.	83.67
1962-01-31	US8DWR0	Verizon Communications Inc.	78.09
1962-02-28	US8DWR0	Verizon Communications Inc.	85.36
1962-03-31	US8DWR0	Verizon Communications Inc.	95.1
1962-04-30	US8DWR0	Verizon Communications Inc.	93.07
1962-05-31	US8DWR0	Verizon Communications Inc.	89.38
1962-06-30	US8DWR0	Verizon Communications Inc.	95.4
1962-07-31	US8DWR0	Verizon Communications Inc.	87.81
1962-08-31	US8DWR0	Verizon Communications Inc.	96.15
1962-09-30	US8DWR0	Verizon Communications Inc.	89.96
1962-10-31	US8DWR0	Verizon Communications Inc.	84.52
1962-11-30	US8DWR0	Verizon Communications Inc.	85.67
1962-12-31	US8DWR0	Verizon Communications Inc.	88.1
1963-01-31	US8DWR0	Verizon Communications Inc.	86.97
1963-02-28	US8DWR0	Verizon Communications Inc.	86.68
1963-03-31	US8DWR0	Verizon Communications Inc.	87.59
1963-04-30	US8DWR0	Verizon Communications Inc.	82.28
1963-05-31	US8DWR0	Verizon Communications Inc.	84.04
1963-06-30	US8DWR0	Verizon Communications Inc.	82.15
1963-07-31	US8DWR0	Verizon Communications Inc.	74.43
1963-08-31	US8DWR0	Verizon Communications Inc.	77.32
1963-09-30	US8DWR0	Verizon Communications Inc.	78.98
1963-10-31	US8DWR0	Verizon Communications Inc.	76.47
1963-11-30	US8DWR0	Verizon Communications Inc.	83.62
1963-12-31	US8DWR0	Verizon Communications Inc.	87.15
1964-01-31	US8DWR0	Verizon Communications Inc.	86.04
