Date	Company Code	Company Name	Stock Price
1959-01-31	USBG8LX	Vestiaire Collective	116.91
1959-02-28	USBG8LX	Vestiaire Collective	113.15
1959-03-31	USBG8LX	Vestiaire Collective	107.87
1959-04-30	USBG8LX	Vestiaire Collective	107.53
1959-05-31	USBG8LX	Vestiaire Collective	101.76
1959-06-30	USBG8LX	Vestiaire Collective	94.75
1959-07-31	USBG8LX	Vestiaire Collective	92.1
1959-08-31	USBG8LX	Vestiaire Collective	93.82
1959-09-30	USBG8LX	Vestiaire Collective	98.05
1959-10-31	USBG8LX	Vestiaire Collective	98.0
1959-11-30	USBG8LX	Vestiaire Collective	94.43
1959-12-31	USBG8LX	Vestiaire Collective	93.76
1960-01-31	USBG8LX	Vestiaire Collective	93.92
1960-02-29	USBG8LX	Vestiaire Collective	98.34
1960-03-31	USBG8LX	Vestiaire Collective	95.18
1960-04-30	USBG8LX	Vestiaire Collective	93.47
1960-05-31	USBG8LX	Vestiaire Collective	93.67
1960-06-30	USBG8LX	Vestiaire Collective	93.88
1960-07-31	USBG8LX	Vestiaire Collective	87.92
1960-08-31	USBG8LX	Vestiaire Collective	86.51
1960-09-30	USBG8LX	Vestiaire Collective	83.02
1960-10-31	USBG8LX	Vestiaire Collective	76.84
1960-11-30	USBG8LX	Vestiaire Collective	75.76
1960-12-31	USBG8LX	Vestiaire Collective	75.43
1961-01-31	USBG8LX	Vestiaire Collective	73.28
1961-02-28	USBG8LX	Vestiaire Collective	66.75
1961-03-31	USBG8LX	Vestiaire Collective	74.82
1961-04-30	USBG8LX	Vestiaire Collective	72.58
1961-05-31	USBG8LX	Vestiaire Collective	72.65
1961-06-30	USBG8LX	Vestiaire Collective	73.49
1961-07-31	USBG8LX	Vestiaire Collective	73.93
1961-08-31	USBG8LX	Vestiaire Collective	73.47
1961-09-30	USBG8LX	Vestiaire Collective	74.22
1961-10-31	USBG8LX	Vestiaire Collective	72.65
1961-11-30	USBG8LX	Vestiaire Collective	72.71
1961-12-31	USBG8LX	Vestiaire Collective	71.33
1962-01-31	USBG8LX	Vestiaire Collective	67.27
1962-02-28	USBG8LX	Vestiaire Collective	71.39
1962-03-31	USBG8LX	Vestiaire Collective	76.19
1962-04-30	USBG8LX	Vestiaire Collective	73.27
1962-05-31	USBG8LX	Vestiaire Collective	72.58
1962-06-30	USBG8LX	Vestiaire Collective	67.12
1962-07-31	USBG8LX	Vestiaire Collective	65.25
1962-08-31	USBG8LX	Vestiaire Collective	65.17
1962-09-30	USBG8LX	Vestiaire Collective	62.76009146644556
1962-10-31	USBG8LX	Vestiaire Collective	62.9
1962-11-30	USBG8LX	Vestiaire Collective	66.15
