Date	Company Code	Company Name	Stock Price
1959-01-31	US9OPHY	Victoria’s Secret	97.06
1959-02-28	US9OPHY	Victoria’s Secret	94.66
1959-03-31	US9OPHY	Victoria’s Secret	97.52
1959-04-30	US9OPHY	Victoria’s Secret	92.79
1959-05-31	US9OPHY	Victoria’s Secret	93.01
1959-06-30	US9OPHY	Victoria’s Secret	94.42
1959-07-31	US9OPHY	Victoria’s Secret	98.01
1959-08-31	US9OPHY	Victoria’s Secret	100.93
1959-09-30	US9OPHY	Victoria’s Secret	98.54
1959-10-31	US9OPHY	Victoria’s Secret	91.87
1959-11-30	US9OPHY	Victoria’s Secret	84.44
1959-12-31	US9OPHY	Victoria’s Secret	79.92
1960-01-31	US9OPHY	Victoria’s Secret	78.0
1960-02-29	US9OPHY	Victoria’s Secret	75.71
1960-03-31	US9OPHY	Victoria’s Secret	73.03
1960-04-30	US9OPHY	Victoria’s Secret	70.36
1960-05-31	US9OPHY	Victoria’s Secret	63.12
1960-06-30	US9OPHY	Victoria’s Secret	70.82
1960-07-31	US9OPHY	Victoria’s Secret	77.27
1960-08-31	US9OPHY	Victoria’s Secret	67.83
1960-09-30	US9OPHY	Victoria’s Secret	68.24
1960-10-31	US9OPHY	Victoria’s Secret	65.88
1960-11-30	US9OPHY	Victoria’s Secret	64.68
1960-12-31	US9OPHY	Victoria’s Secret	67.55
1961-01-31	US9OPHY	Victoria’s Secret	70.25
1961-02-28	US9OPHY	Victoria’s Secret	65.84
1961-03-31	US9OPHY	Victoria’s Secret	69.09
1961-04-30	US9OPHY	Victoria’s Secret	68.37
1961-05-31	US9OPHY	Victoria’s Secret	72.2
1961-06-30	US9OPHY	Victoria’s Secret	73.43
1961-07-31	US9OPHY	Victoria’s Secret	74.59
1961-08-31	US9OPHY	Victoria’s Secret	65.06
1961-09-30	US9OPHY	Victoria’s Secret	62.11
1961-10-31	US9OPHY	Victoria’s Secret	62.28
1961-11-30	US9OPHY	Victoria’s Secret	61.78594597577142
1961-12-31	US9OPHY	Victoria’s Secret	61.77011099343231
1962-01-31	US9OPHY	Victoria’s Secret	60.41
1962-02-28	US9OPHY	Victoria’s Secret	60.09
1962-03-31	US9OPHY	Victoria’s Secret	61.43674213646301
1962-04-30	US9OPHY	Victoria’s Secret	62.38
1962-05-31	US9OPHY	Victoria’s Secret	62.26832740481453
1962-06-30	US9OPHY	Victoria’s Secret	62.3
1962-07-31	US9OPHY	Victoria’s Secret	64.86
1962-08-31	US9OPHY	Victoria’s Secret	62.478009727578986
1962-09-30	US9OPHY	Victoria’s Secret	61.79993085861376
1962-10-31	US9OPHY	Victoria’s Secret	66.09
1962-11-30	US9OPHY	Victoria’s Secret	62.99
1962-12-31	US9OPHY	Victoria’s Secret	66.36
1963-01-31	US9OPHY	Victoria’s Secret	62.71
1963-02-28	US9OPHY	Victoria’s Secret	64.95
1963-03-31	US9OPHY	Victoria’s Secret	65.87
1963-04-30	US9OPHY	Victoria’s Secret	69.44
1963-05-31	US9OPHY	Victoria’s Secret	66.11
1963-06-30	US9OPHY	Victoria’s Secret	66.42
1963-07-31	US9OPHY	Victoria’s Secret	63.99
1963-08-31	US9OPHY	Victoria’s Secret	62.13
