Date	Company Code	Company Name	Stock Price
1959-01-31	USF90LX	Vinted	103.62
1959-02-28	USF90LX	Vinted	102.34
1959-03-31	USF90LX	Vinted	97.46
1959-04-30	USF90LX	Vinted	97.06
1959-05-31	USF90LX	Vinted	91.31
1959-06-30	USF90LX	Vinted	90.59
1959-07-31	USF90LX	Vinted	87.88
1959-08-31	USF90LX	Vinted	87.93
1959-09-30	USF90LX	Vinted	89.12
1959-10-31	USF90LX	Vinted	87.7
1959-11-30	USF90LX	Vinted	78.75
1959-12-31	USF90LX	Vinted	82.77
1960-01-31	USF90LX	Vinted	76.96
1960-02-29	USF90LX	Vinted	71.99
1960-03-31	USF90LX	Vinted	69.61
1960-04-30	USF90LX	Vinted	66.98
1960-05-31	USF90LX	Vinted	69.09
1960-06-30	USF90LX	Vinted	68.41
1960-07-31	USF90LX	Vinted	61.94
1960-08-31	USF90LX	Vinted	61.64
1960-09-30	USF90LX	Vinted	61.42188513317648
1960-10-31	USF90LX	Vinted	62.605952841952714
1960-11-30	USF90LX	Vinted	62.81
1960-12-31	USF90LX	Vinted	61.165022658688756
1961-01-31	USF90LX	Vinted	62.37336623575143
1961-02-28	USF90LX	Vinted	64.65
1961-03-31	USF90LX	Vinted	61.65528123974696
1961-04-30	USF90LX	Vinted	62.99886285215186
1961-05-31	USF90LX	Vinted	65.09
1961-06-30	USF90LX	Vinted	71.74
1961-07-31	USF90LX	Vinted	68.31
1961-08-31	USF90LX	Vinted	71.58
1961-09-30	USF90LX	Vinted	70.92
1961-10-31	USF90LX	Vinted	72.8
1961-11-30	USF90LX	Vinted	72.62
1961-12-31	USF90LX	Vinted	71.91
1962-01-31	USF90LX	Vinted	65.81
1962-02-28	USF90LX	Vinted	63.92
1962-03-31	USF90LX	Vinted	61.242593336999334
1962-04-30	USF90LX	Vinted	61.20366806213114
1962-05-31	USF90LX	Vinted	61.21557847450709
1962-06-30	USF90LX	Vinted	61.733258263571884
1962-07-31	USF90LX	Vinted	61.64
1962-08-31	USF90LX	Vinted	62.09530695292302
1962-09-30	USF90LX	Vinted	61.92998188107708
1962-10-31	USF90LX	Vinted	62.14
1962-11-30	USF90LX	Vinted	61.31
1962-12-31	USF90LX	Vinted	62.82492713459473
1963-01-31	USF90LX	Vinted	63.07
1963-02-28	USF90LX	Vinted	60.05
1963-03-31	USF90LX	Vinted	61.72
1963-04-30	USF90LX	Vinted	62.33534560086484
1963-05-31	USF90LX	Vinted	67.86
1963-06-30	USF90LX	Vinted	69.61
1963-07-31	USF90LX	Vinted	73.56
1963-08-31	USF90LX	Vinted	74.99
1963-09-30	USF90LX	Vinted	75.58
1963-10-31	USF90LX	Vinted	74.14
1963-11-30	USF90LX	Vinted	76.89
1963-12-31	USF90LX	Vinted	71.34
1964-01-31	USF90LX	Vinted	80.86
1964-02-29	USF90LX	Vinted	83.12
1964-03-31	USF90LX	Vinted	82.01
1964-04-30	USF90LX	Vinted	74.85
1964-05-31	USF90LX	Vinted	73.95
1964-06-30	USF90LX	Vinted	74.12
1964-07-31	USF90LX	Vinted	76.67
1964-08-31	USF90LX	Vinted	75.41
1964-09-30	USF90LX	Vinted	70.82
1964-10-31	USF90LX	Vinted	70.59
1964-11-30	USF90LX	Vinted	76.02
1964-12-31	USF90LX	Vinted	78.81
1965-01-31	USF90LX	Vinted	84.53
1965-02-28	USF90LX	Vinted	82.73
1965-03-31	USF90LX	Vinted	79.98
1965-04-30	USF90LX	Vinted	78.11
1965-05-31	USF90LX	Vinted	76.47
1965-06-30	USF90LX	Vinted	75.07
1965-07-31	USF90LX	Vinted	72.4
1965-08-31	USF90LX	Vinted	66.86
1965-09-30	USF90LX	Vinted	69.49
1965-10-31	USF90LX	Vinted	78.22
1965-11-30	USF90LX	Vinted	80.35
1965-12-31	USF90LX	Vinted	82.51
1966-01-31	USF90LX	Vinted	83.09
1966-02-28	USF90LX	Vinted	82.46
1966-03-31	USF90LX	Vinted	80.06
1966-04-30	USF90LX	Vinted	85.21
1966-05-31	USF90LX	Vinted	82.33
1966-06-30	USF90LX	Vinted	79.08
1966-07-31	USF90LX	Vinted	74.85
1966-08-31	USF90LX	Vinted	80.17
1966-09-30	USF90LX	Vinted	78.51
1966-10-31	USF90LX	Vinted	84.51
1966-11-30	USF90LX	Vinted	91.39
1966-12-31	USF90LX	Vinted	88.39
1967-01-31	USF90LX	Vinted	91.16
1967-02-28	USF90LX	Vinted	89.93
1967-03-31	USF90LX	Vinted	90.55
1967-04-30	USF90LX	Vinted	85.42
1967-05-31	USF90LX	Vinted	89.32
1967-06-30	USF90LX	Vinted	85.43
1967-07-31	USF90LX	Vinted	89.9
1967-08-31	USF90LX	Vinted	86.68
1967-09-30	USF90LX	Vinted	81.13
1967-10-31	USF90LX	Vinted	77.83
1967-11-30	USF90LX	Vinted	79.57
1967-12-31	USF90LX	Vinted	77.15
1968-01-31	USF90LX	Vinted	87.01
1968-02-29	USF90LX	Vinted	80.82
1968-03-31	USF90LX	Vinted	79.83
1968-04-30	USF90LX	Vinted	76.58
1968-05-31	USF90LX	Vinted	73.87
1968-06-30	USF90LX	Vinted	72.4
1968-07-31	USF90LX	Vinted	76.23
1968-08-31	USF90LX	Vinted	76.93
1968-09-30	USF90LX	Vinted	78.81
1968-10-31	USF90LX	Vinted	76.03
1968-11-30	USF90LX	Vinted	72.88
1968-12-31	USF90LX	Vinted	70.1
1969-01-31	USF90LX	Vinted	70.74
1969-02-28	USF90LX	Vinted	77.85
1969-03-31	USF90LX	Vinted	76.89
1969-04-30	USF90LX	Vinted	77.02
1969-05-31	USF90LX	Vinted	77.31
1969-06-30	USF90LX	Vinted	75.93
1969-07-31	USF90LX	Vinted	69.95
1969-08-31	USF90LX	Vinted	65.53
1969-09-30	USF90LX	Vinted	69.05
1969-10-31	USF90LX	Vinted	63.24
1969-11-30	USF90LX	Vinted	69.37
1969-12-31	USF90LX	Vinted	70.55
1970-01-31	USF90LX	Vinted	77.4
1970-02-28	USF90LX	Vinted	85.02
1970-03-31	USF90LX	Vinted	76.86
1970-04-30	USF90LX	Vinted	78.91
1970-05-31	USF90LX	Vinted	80.32
1970-06-30	USF90LX	Vinted	83.02
1970-07-31	USF90LX	Vinted	80.98
1970-08-31	USF90LX	Vinted	74.4
1970-09-30	USF90LX	Vinted	79.01
1970-10-31	USF90LX	Vinted	76.6
1970-11-30	USF90LX	Vinted	81.02
1970-12-31	USF90LX	Vinted	83.8
1971-01-31	USF90LX	Vinted	83.76
1971-02-28	USF90LX	Vinted	82.87
1971-03-31	USF90LX	Vinted	92.63
1971-04-30	USF90LX	Vinted	92.85
1971-05-31	USF90LX	Vinted	96.07
1971-06-30	USF90LX	Vinted	94.69
1971-07-31	USF90LX	Vinted	93.38
1971-08-31	USF90LX	Vinted	92.16
1971-09-30	USF90LX	Vinted	93.2
1971-10-31	USF90LX	Vinted	101.2
1971-11-30	USF90LX	Vinted	100.45
1971-12-31	USF90LX	Vinted	105.16
1972-01-31	USF90LX	Vinted	101.04
1972-02-29	USF90LX	Vinted	103.45
1972-03-31	USF90LX	Vinted	109.36
1972-04-30	USF90LX	Vinted	108.81
1972-05-31	USF90LX	Vinted	105.1
1972-06-30	USF90LX	Vinted	104.04
1972-07-31	USF90LX	Vinted	97.87
1972-08-31	USF90LX	Vinted	94.62
1972-09-30	USF90LX	Vinted	96.72
1972-10-31	USF90LX	Vinted	94.61
1972-11-30	USF90LX	Vinted	97.34
1972-12-31	USF90LX	Vinted	99.12
1973-01-31	USF90LX	Vinted	95.01
1973-02-28	USF90LX	Vinted	94.15
1973-03-31	USF90LX	Vinted	91.58
1973-04-30	USF90LX	Vinted	89.95
1973-05-31	USF90LX	Vinted	83.24
1973-06-30	USF90LX	Vinted	77.26
1973-07-31	USF90LX	Vinted	80.75
1973-08-31	USF90LX	Vinted	79.72
1973-09-30	USF90LX	Vinted	77.52
1973-10-31	USF90LX	Vinted	79.53
1973-11-30	USF90LX	Vinted	74.01
1973-12-31	USF90LX	Vinted	72.31
1974-01-31	USF90LX	Vinted	69.96
1974-02-28	USF90LX	Vinted	73.6
1974-03-31	USF90LX	Vinted	65.61
1974-04-30	USF90LX	Vinted	67.25
1974-05-31	USF90LX	Vinted	75.82
1974-06-30	USF90LX	Vinted	80.25
1974-07-31	USF90LX	Vinted	76.92
1974-08-31	USF90LX	Vinted	75.64
1974-09-30	USF90LX	Vinted	72.17
1974-10-31	USF90LX	Vinted	71.56
1974-11-30	USF90LX	Vinted	67.87
1974-12-31	USF90LX	Vinted	62.8
1975-01-31	USF90LX	Vinted	67.39
1975-02-28	USF90LX	Vinted	68.55
1975-03-31	USF90LX	Vinted	70.82
1975-04-30	USF90LX	Vinted	70.67
1975-05-31	USF90LX	Vinted	69.15
1975-06-30	USF90LX	Vinted	67.79
1975-07-31	USF90LX	Vinted	70.06
1975-08-31	USF90LX	Vinted	72.71
1975-09-30	USF90LX	Vinted	75.06
1975-10-31	USF90LX	Vinted	77.96
1975-11-30	USF90LX	Vinted	75.28
1975-12-31	USF90LX	Vinted	71.6
1976-01-31	USF90LX	Vinted	73.53
1976-02-29	USF90LX	Vinted	72.36
1976-03-31	USF90LX	Vinted	69.34
1976-04-30	USF90LX	Vinted	72.16
1976-05-31	USF90LX	Vinted	71.58
1976-06-30	USF90LX	Vinted	68.86
1976-07-31	USF90LX	Vinted	69.25
1976-08-31	USF90LX	Vinted	68.75
1976-09-30	USF90LX	Vinted	67.05
1976-10-31	USF90LX	Vinted	68.09
1976-11-30	USF90LX	Vinted	64.86
1976-12-31	USF90LX	Vinted	62.53
1977-01-31	USF90LX	Vinted	68.42
