Date	Company Code	Company Name	Stock Price
1959-01-31	US1CNFS	Visa Inc.	99.54
1959-02-28	US1CNFS	Visa Inc.	101.87
1959-03-31	US1CNFS	Visa Inc.	108.16
1959-04-30	US1CNFS	Visa Inc.	103.03
1959-05-31	US1CNFS	Visa Inc.	103.93
1959-06-30	US1CNFS	Visa Inc.	106.97
1959-07-31	US1CNFS	Visa Inc.	110.25
1959-08-31	US1CNFS	Visa Inc.	112.21
1959-09-30	US1CNFS	Visa Inc.	111.68
1959-10-31	US1CNFS	Visa Inc.	104.81
1959-11-30	US1CNFS	Visa Inc.	101.42
1959-12-31	US1CNFS	Visa Inc.	101.5
1960-01-31	US1CNFS	Visa Inc.	94.8
1960-02-29	US1CNFS	Visa Inc.	97.14
1960-03-31	US1CNFS	Visa Inc.	96.89
1960-04-30	US1CNFS	Visa Inc.	93.26
1960-05-31	US1CNFS	Visa Inc.	88.68
1960-06-30	US1CNFS	Visa Inc.	86.26
1960-07-31	US1CNFS	Visa Inc.	87.33
1960-08-31	US1CNFS	Visa Inc.	78.97
1960-09-30	US1CNFS	Visa Inc.	73.9
1960-10-31	US1CNFS	Visa Inc.	72.27
1960-11-30	US1CNFS	Visa Inc.	67.48
1960-12-31	US1CNFS	Visa Inc.	65.29
1961-01-31	US1CNFS	Visa Inc.	66.15
1961-02-28	US1CNFS	Visa Inc.	65.25
1961-03-31	US1CNFS	Visa Inc.	63.72
1961-04-30	US1CNFS	Visa Inc.	70.86
1961-05-31	US1CNFS	Visa Inc.	71.95
1961-06-30	US1CNFS	Visa Inc.	65.12
1961-07-31	US1CNFS	Visa Inc.	63.54
1961-08-31	US1CNFS	Visa Inc.	62.178686736390034
1961-09-30	US1CNFS	Visa Inc.	60.56
1961-10-31	US1CNFS	Visa Inc.	62.20312839599826
1961-11-30	US1CNFS	Visa Inc.	60.19
1961-12-31	US1CNFS	Visa Inc.	61.47850794890685
1962-01-31	US1CNFS	Visa Inc.	65.42
1962-02-28	US1CNFS	Visa Inc.	68.35
1962-03-31	US1CNFS	Visa Inc.	61.8
1962-04-30	US1CNFS	Visa Inc.	63.87
1962-05-31	US1CNFS	Visa Inc.	60.98
1962-06-30	US1CNFS	Visa Inc.	62.46
1962-07-31	US1CNFS	Visa Inc.	62.85
1962-08-31	US1CNFS	Visa Inc.	67.49
1962-09-30	US1CNFS	Visa Inc.	69.91
1962-10-31	US1CNFS	Visa Inc.	74.82
