Date	Company Code	Company Name	Stock Price
1959-01-31	USUX6DS	Walmart Inc.	108.6
1959-02-28	USUX6DS	Walmart Inc.	115.98
1959-03-31	USUX6DS	Walmart Inc.	123.14
1959-04-30	USUX6DS	Walmart Inc.	121.29
1959-05-31	USUX6DS	Walmart Inc.	120.35
1959-06-30	USUX6DS	Walmart Inc.	116.3
1959-07-31	USUX6DS	Walmart Inc.	113.7
1959-08-31	USUX6DS	Walmart Inc.	110.78
1959-09-30	USUX6DS	Walmart Inc.	110.57
1959-10-31	USUX6DS	Walmart Inc.	112.06
1959-11-30	USUX6DS	Walmart Inc.	106.48
1959-12-31	USUX6DS	Walmart Inc.	99.79
1960-01-31	USUX6DS	Walmart Inc.	96.14
1960-02-29	USUX6DS	Walmart Inc.	89.93
1960-03-31	USUX6DS	Walmart Inc.	84.4
1960-04-30	USUX6DS	Walmart Inc.	80.25
1960-05-31	USUX6DS	Walmart Inc.	84.21
1960-06-30	USUX6DS	Walmart Inc.	86.44
1960-07-31	USUX6DS	Walmart Inc.	84.37
1960-08-31	USUX6DS	Walmart Inc.	84.98
1960-09-30	USUX6DS	Walmart Inc.	84.11
1960-10-31	USUX6DS	Walmart Inc.	82.65
1960-11-30	USUX6DS	Walmart Inc.	83.69
1960-12-31	USUX6DS	Walmart Inc.	85.41
1961-01-31	USUX6DS	Walmart Inc.	83.18
1961-02-28	USUX6DS	Walmart Inc.	89.47
1961-03-31	USUX6DS	Walmart Inc.	90.64
1961-04-30	USUX6DS	Walmart Inc.	92.02
1961-05-31	USUX6DS	Walmart Inc.	96.17
1961-06-30	USUX6DS	Walmart Inc.	99.21
1961-07-31	USUX6DS	Walmart Inc.	94.97
1961-08-31	USUX6DS	Walmart Inc.	93.02
1961-09-30	USUX6DS	Walmart Inc.	93.56
1961-10-31	USUX6DS	Walmart Inc.	94.07
1961-11-30	USUX6DS	Walmart Inc.	94.93
1961-12-31	USUX6DS	Walmart Inc.	99.57
1962-01-31	USUX6DS	Walmart Inc.	104.68
1962-02-28	USUX6DS	Walmart Inc.	100.11
1962-03-31	USUX6DS	Walmart Inc.	103.23
1962-04-30	USUX6DS	Walmart Inc.	102.97
1962-05-31	USUX6DS	Walmart Inc.	104.29
1962-06-30	USUX6DS	Walmart Inc.	108.08
1962-07-31	USUX6DS	Walmart Inc.	109.14
1962-08-31	USUX6DS	Walmart Inc.	105.32
1962-09-30	USUX6DS	Walmart Inc.	110.58
1962-10-31	USUX6DS	Walmart Inc.	106.63
1962-11-30	USUX6DS	Walmart Inc.	104.0
1962-12-31	USUX6DS	Walmart Inc.	108.24
1963-01-31	USUX6DS	Walmart Inc.	110.23
1963-02-28	USUX6DS	Walmart Inc.	112.29
1963-03-31	USUX6DS	Walmart Inc.	103.37
1963-04-30	USUX6DS	Walmart Inc.	105.67
1963-05-31	USUX6DS	Walmart Inc.	103.23
1963-06-30	USUX6DS	Walmart Inc.	104.14
1963-07-31	USUX6DS	Walmart Inc.	100.93
1963-08-31	USUX6DS	Walmart Inc.	100.33
1963-09-30	USUX6DS	Walmart Inc.	101.21
1963-10-31	USUX6DS	Walmart Inc.	102.84
1963-11-30	USUX6DS	Walmart Inc.	101.93
1963-12-31	USUX6DS	Walmart Inc.	101.42
1964-01-31	USUX6DS	Walmart Inc.	108.51
1964-02-29	USUX6DS	Walmart Inc.	110.31
1964-03-31	USUX6DS	Walmart Inc.	107.32
1964-04-30	USUX6DS	Walmart Inc.	102.88
1964-05-31	USUX6DS	Walmart Inc.	100.13
1964-06-30	USUX6DS	Walmart Inc.	105.92
1964-07-31	USUX6DS	Walmart Inc.	109.73
1964-08-31	USUX6DS	Walmart Inc.	106.47
1964-09-30	USUX6DS	Walmart Inc.	110.61
1964-10-31	USUX6DS	Walmart Inc.	114.8
1964-11-30	USUX6DS	Walmart Inc.	115.88
1964-12-31	USUX6DS	Walmart Inc.	110.38
1965-01-31	USUX6DS	Walmart Inc.	108.26
1965-02-28	USUX6DS	Walmart Inc.	113.14
1965-03-31	USUX6DS	Walmart Inc.	114.23
1965-04-30	USUX6DS	Walmart Inc.	112.26
1965-05-31	USUX6DS	Walmart Inc.	115.83
1965-06-30	USUX6DS	Walmart Inc.	118.93
1965-07-31	USUX6DS	Walmart Inc.	117.59
1965-08-31	USUX6DS	Walmart Inc.	121.94
1965-09-30	USUX6DS	Walmart Inc.	121.22
1965-10-31	USUX6DS	Walmart Inc.	126.65
1965-11-30	USUX6DS	Walmart Inc.	127.94
1965-12-31	USUX6DS	Walmart Inc.	134.17
1966-01-31	USUX6DS	Walmart Inc.	135.6
