Date	Company Code	Company Name	Stock Price
1959-01-31	USU6GSC	Walt Disney Co.	111.58
1959-02-28	USU6GSC	Walt Disney Co.	118.68
1959-03-31	USU6GSC	Walt Disney Co.	114.1
1959-04-30	USU6GSC	Walt Disney Co.	115.6
1959-05-31	USU6GSC	Walt Disney Co.	115.51
1959-06-30	USU6GSC	Walt Disney Co.	113.63
1959-07-31	USU6GSC	Walt Disney Co.	110.99
1959-08-31	USU6GSC	Walt Disney Co.	112.5
1959-09-30	USU6GSC	Walt Disney Co.	110.15
1959-10-31	USU6GSC	Walt Disney Co.	116.95
1959-11-30	USU6GSC	Walt Disney Co.	117.41
1959-12-31	USU6GSC	Walt Disney Co.	120.03
1960-01-31	USU6GSC	Walt Disney Co.	111.89
1960-02-29	USU6GSC	Walt Disney Co.	110.48
1960-03-31	USU6GSC	Walt Disney Co.	116.55
1960-04-30	USU6GSC	Walt Disney Co.	115.23
1960-05-31	USU6GSC	Walt Disney Co.	112.5
1960-06-30	USU6GSC	Walt Disney Co.	118.59
1960-07-31	USU6GSC	Walt Disney Co.	119.94
1960-08-31	USU6GSC	Walt Disney Co.	124.7
1960-09-30	USU6GSC	Walt Disney Co.	129.1
1960-10-31	USU6GSC	Walt Disney Co.	127.67
1960-11-30	USU6GSC	Walt Disney Co.	136.47
1960-12-31	USU6GSC	Walt Disney Co.	138.3
1961-01-31	USU6GSC	Walt Disney Co.	139.15
1961-02-28	USU6GSC	Walt Disney Co.	131.97
1961-03-31	USU6GSC	Walt Disney Co.	124.34
1961-04-30	USU6GSC	Walt Disney Co.	117.26
1961-05-31	USU6GSC	Walt Disney Co.	116.43
1961-06-30	USU6GSC	Walt Disney Co.	121.99
1961-07-31	USU6GSC	Walt Disney Co.	123.17
1961-08-31	USU6GSC	Walt Disney Co.	124.25
1961-09-30	USU6GSC	Walt Disney Co.	127.4
1961-10-31	USU6GSC	Walt Disney Co.	130.82
1961-11-30	USU6GSC	Walt Disney Co.	133.31
1961-12-31	USU6GSC	Walt Disney Co.	131.52
1962-01-31	USU6GSC	Walt Disney Co.	138.39
1962-02-28	USU6GSC	Walt Disney Co.	135.88
1962-03-31	USU6GSC	Walt Disney Co.	136.69
1962-04-30	USU6GSC	Walt Disney Co.	140.28
1962-05-31	USU6GSC	Walt Disney Co.	133.54
1962-06-30	USU6GSC	Walt Disney Co.	130.3
1962-07-31	USU6GSC	Walt Disney Co.	136.72
1962-08-31	USU6GSC	Walt Disney Co.	143.21
1962-09-30	USU6GSC	Walt Disney Co.	144.73
1962-10-31	USU6GSC	Walt Disney Co.	144.15
1962-11-30	USU6GSC	Walt Disney Co.	143.97
1962-12-31	USU6GSC	Walt Disney Co.	149.72
1963-01-31	USU6GSC	Walt Disney Co.	146.83
1963-02-28	USU6GSC	Walt Disney Co.	151.68
1963-03-31	USU6GSC	Walt Disney Co.	145.53
1963-04-30	USU6GSC	Walt Disney Co.	146.03
1963-05-31	USU6GSC	Walt Disney Co.	141.79
1963-06-30	USU6GSC	Walt Disney Co.	143.52
1963-07-31	USU6GSC	Walt Disney Co.	144.02
1963-08-31	USU6GSC	Walt Disney Co.	149.25
1963-09-30	USU6GSC	Walt Disney Co.	147.65
1963-10-31	USU6GSC	Walt Disney Co.	154.19
1963-11-30	USU6GSC	Walt Disney Co.	146.57
1963-12-31	USU6GSC	Walt Disney Co.	152.91
1964-01-31	USU6GSC	Walt Disney Co.	149.84
1964-02-29	USU6GSC	Walt Disney Co.	145.25
1964-03-31	USU6GSC	Walt Disney Co.	140.74
1964-04-30	USU6GSC	Walt Disney Co.	137.79
1964-05-31	USU6GSC	Walt Disney Co.	138.66
1964-06-30	USU6GSC	Walt Disney Co.	139.85
1964-07-31	USU6GSC	Walt Disney Co.	135.72
1964-08-31	USU6GSC	Walt Disney Co.	134.62
1964-09-30	USU6GSC	Walt Disney Co.	133.41
1964-10-31	USU6GSC	Walt Disney Co.	129.9
1964-11-30	USU6GSC	Walt Disney Co.	128.03
1964-12-31	USU6GSC	Walt Disney Co.	129.17
1965-01-31	USU6GSC	Walt Disney Co.	125.94
1965-02-28	USU6GSC	Walt Disney Co.	133.76
1965-03-31	USU6GSC	Walt Disney Co.	131.68
1965-04-30	USU6GSC	Walt Disney Co.	127.92
1965-05-31	USU6GSC	Walt Disney Co.	127.13
1965-06-30	USU6GSC	Walt Disney Co.	128.14
1965-07-31	USU6GSC	Walt Disney Co.	135.35
1965-08-31	USU6GSC	Walt Disney Co.	136.63
1965-09-30	USU6GSC	Walt Disney Co.	130.66
1965-10-31	USU6GSC	Walt Disney Co.	133.18
1965-11-30	USU6GSC	Walt Disney Co.	128.53
1965-12-31	USU6GSC	Walt Disney Co.	127.76
1966-01-31	USU6GSC	Walt Disney Co.	123.5
1966-02-28	USU6GSC	Walt Disney Co.	121.13
1966-03-31	USU6GSC	Walt Disney Co.	120.0
1966-04-30	USU6GSC	Walt Disney Co.	123.52
1966-05-31	USU6GSC	Walt Disney Co.	126.23
1966-06-30	USU6GSC	Walt Disney Co.	129.15
1966-07-31	USU6GSC	Walt Disney Co.	123.63
1966-08-31	USU6GSC	Walt Disney Co.	119.7
1966-09-30	USU6GSC	Walt Disney Co.	122.32
1966-10-31	USU6GSC	Walt Disney Co.	119.51
1966-11-30	USU6GSC	Walt Disney Co.	121.74
1966-12-31	USU6GSC	Walt Disney Co.	121.24
1967-01-31	USU6GSC	Walt Disney Co.	122.04
1967-02-28	USU6GSC	Walt Disney Co.	121.19
1967-03-31	USU6GSC	Walt Disney Co.	124.14
1967-04-30	USU6GSC	Walt Disney Co.	116.35
1967-05-31	USU6GSC	Walt Disney Co.	118.74
1967-06-30	USU6GSC	Walt Disney Co.	115.27
1967-07-31	USU6GSC	Walt Disney Co.	113.74
1967-08-31	USU6GSC	Walt Disney Co.	113.82
1967-09-30	USU6GSC	Walt Disney Co.	111.39
1967-10-31	USU6GSC	Walt Disney Co.	116.3
1967-11-30	USU6GSC	Walt Disney Co.	119.62
1967-12-31	USU6GSC	Walt Disney Co.	124.48
1968-01-31	USU6GSC	Walt Disney Co.	118.93
1968-02-29	USU6GSC	Walt Disney Co.	117.8
1968-03-31	USU6GSC	Walt Disney Co.	118.05
1968-04-30	USU6GSC	Walt Disney Co.	118.38
