Date	Company Code	Company Name	Stock Price
1959-01-31	US3BTGC	Whole Foods Market	121.09
1959-02-28	US3BTGC	Whole Foods Market	123.95
1959-03-31	US3BTGC	Whole Foods Market	126.06
1959-04-30	US3BTGC	Whole Foods Market	124.23
1959-05-31	US3BTGC	Whole Foods Market	121.97
1959-06-30	US3BTGC	Whole Foods Market	123.64
1959-07-31	US3BTGC	Whole Foods Market	127.13
1959-08-31	US3BTGC	Whole Foods Market	130.49
1959-09-30	US3BTGC	Whole Foods Market	128.41
1959-10-31	US3BTGC	Whole Foods Market	131.14
1959-11-30	US3BTGC	Whole Foods Market	132.2
1959-12-31	US3BTGC	Whole Foods Market	135.32
1960-01-31	US3BTGC	Whole Foods Market	136.07
1960-02-29	US3BTGC	Whole Foods Market	131.12
1960-03-31	US3BTGC	Whole Foods Market	128.66
1960-04-30	US3BTGC	Whole Foods Market	128.42
1960-05-31	US3BTGC	Whole Foods Market	130.37
1960-06-30	US3BTGC	Whole Foods Market	124.68
1960-07-31	US3BTGC	Whole Foods Market	122.77
1960-08-31	US3BTGC	Whole Foods Market	126.41
1960-09-30	US3BTGC	Whole Foods Market	121.14
1960-10-31	US3BTGC	Whole Foods Market	121.34
1960-11-30	US3BTGC	Whole Foods Market	122.35
1960-12-31	US3BTGC	Whole Foods Market	119.54
1961-01-31	US3BTGC	Whole Foods Market	119.06
1961-02-28	US3BTGC	Whole Foods Market	115.1
1961-03-31	US3BTGC	Whole Foods Market	111.05
1961-04-30	US3BTGC	Whole Foods Market	111.73
1961-05-31	US3BTGC	Whole Foods Market	112.03
1961-06-30	US3BTGC	Whole Foods Market	104.37
1961-07-31	US3BTGC	Whole Foods Market	104.27
1961-08-31	US3BTGC	Whole Foods Market	102.57
1961-09-30	US3BTGC	Whole Foods Market	104.13
1961-10-31	US3BTGC	Whole Foods Market	106.32
1961-11-30	US3BTGC	Whole Foods Market	107.05
1961-12-31	US3BTGC	Whole Foods Market	104.87
1962-01-31	US3BTGC	Whole Foods Market	112.15
1962-02-28	US3BTGC	Whole Foods Market	116.74
1962-03-31	US3BTGC	Whole Foods Market	114.86
1962-04-30	US3BTGC	Whole Foods Market	111.7
1962-05-31	US3BTGC	Whole Foods Market	118.02
1962-06-30	US3BTGC	Whole Foods Market	117.46
1962-07-31	US3BTGC	Whole Foods Market	118.87
1962-08-31	US3BTGC	Whole Foods Market	111.97
1962-09-30	US3BTGC	Whole Foods Market	110.42
1962-10-31	US3BTGC	Whole Foods Market	107.24
