Date	Company Code	Company Name	Stock Price
1959-01-31	USY6I8K	XPeng Inc.	103.28
1959-02-28	USY6I8K	XPeng Inc.	106.99
1959-03-31	USY6I8K	XPeng Inc.	105.44
1959-04-30	USY6I8K	XPeng Inc.	104.47
1959-05-31	USY6I8K	XPeng Inc.	104.52
1959-06-30	USY6I8K	XPeng Inc.	110.74
1959-07-31	USY6I8K	XPeng Inc.	107.94
1959-08-31	USY6I8K	XPeng Inc.	105.44
1959-09-30	USY6I8K	XPeng Inc.	105.88
1959-10-31	USY6I8K	XPeng Inc.	105.41
1959-11-30	USY6I8K	XPeng Inc.	106.28
1959-12-31	USY6I8K	XPeng Inc.	111.04
1960-01-31	USY6I8K	XPeng Inc.	107.94
1960-02-29	USY6I8K	XPeng Inc.	107.31
1960-03-31	USY6I8K	XPeng Inc.	103.63
1960-04-30	USY6I8K	XPeng Inc.	103.68
1960-05-31	USY6I8K	XPeng Inc.	107.66
1960-06-30	USY6I8K	XPeng Inc.	110.6
1960-07-31	USY6I8K	XPeng Inc.	107.5
1960-08-31	USY6I8K	XPeng Inc.	108.34
1960-09-30	USY6I8K	XPeng Inc.	112.43
1960-10-31	USY6I8K	XPeng Inc.	107.81
1960-11-30	USY6I8K	XPeng Inc.	114.32
1960-12-31	USY6I8K	XPeng Inc.	115.03
1961-01-31	USY6I8K	XPeng Inc.	106.25
1961-02-28	USY6I8K	XPeng Inc.	105.6
1961-03-31	USY6I8K	XPeng Inc.	105.05
1961-04-30	USY6I8K	XPeng Inc.	109.92
1961-05-31	USY6I8K	XPeng Inc.	113.39
1961-06-30	USY6I8K	XPeng Inc.	113.86
1961-07-31	USY6I8K	XPeng Inc.	113.52
1961-08-31	USY6I8K	XPeng Inc.	108.28
1961-09-30	USY6I8K	XPeng Inc.	109.33
1961-10-31	USY6I8K	XPeng Inc.	112.26
1961-11-30	USY6I8K	XPeng Inc.	108.68
1961-12-31	USY6I8K	XPeng Inc.	100.58
1962-01-31	USY6I8K	XPeng Inc.	100.33
1962-02-28	USY6I8K	XPeng Inc.	102.95
1962-03-31	USY6I8K	XPeng Inc.	107.36
1962-04-30	USY6I8K	XPeng Inc.	104.61
1962-05-31	USY6I8K	XPeng Inc.	103.13
1962-06-30	USY6I8K	XPeng Inc.	104.54
1962-07-31	USY6I8K	XPeng Inc.	109.2
1962-08-31	USY6I8K	XPeng Inc.	105.52
1962-09-30	USY6I8K	XPeng Inc.	103.85
