Date	Company Code	Company Name	Stock Price
1959-01-31	US6BW2I	Yelp Inc.	96.81
1959-02-28	US6BW2I	Yelp Inc.	96.7
1959-03-31	US6BW2I	Yelp Inc.	93.17
1959-04-30	US6BW2I	Yelp Inc.	95.16
1959-05-31	US6BW2I	Yelp Inc.	102.96
1959-06-30	US6BW2I	Yelp Inc.	108.42
1959-07-31	US6BW2I	Yelp Inc.	104.63
1959-08-31	US6BW2I	Yelp Inc.	105.78
1959-09-30	US6BW2I	Yelp Inc.	104.76
1959-10-31	US6BW2I	Yelp Inc.	105.28
1959-11-30	US6BW2I	Yelp Inc.	103.54
1959-12-31	US6BW2I	Yelp Inc.	103.18
1960-01-31	US6BW2I	Yelp Inc.	102.14
1960-02-29	US6BW2I	Yelp Inc.	105.84
1960-03-31	US6BW2I	Yelp Inc.	101.27
1960-04-30	US6BW2I	Yelp Inc.	96.17
1960-05-31	US6BW2I	Yelp Inc.	92.97
1960-06-30	US6BW2I	Yelp Inc.	94.98
1960-07-31	US6BW2I	Yelp Inc.	95.59
1960-08-31	US6BW2I	Yelp Inc.	93.14
1960-09-30	US6BW2I	Yelp Inc.	99.63
1960-10-31	US6BW2I	Yelp Inc.	96.39
1960-11-30	US6BW2I	Yelp Inc.	95.62
1960-12-31	US6BW2I	Yelp Inc.	95.46
1961-01-31	US6BW2I	Yelp Inc.	97.88
1961-02-28	US6BW2I	Yelp Inc.	95.16
1961-03-31	US6BW2I	Yelp Inc.	93.49
1961-04-30	US6BW2I	Yelp Inc.	100.38
1961-05-31	US6BW2I	Yelp Inc.	101.58
1961-06-30	US6BW2I	Yelp Inc.	100.32
1961-07-31	US6BW2I	Yelp Inc.	96.36
1961-08-31	US6BW2I	Yelp Inc.	105.52
1961-09-30	US6BW2I	Yelp Inc.	109.36
1961-10-31	US6BW2I	Yelp Inc.	102.78
1961-11-30	US6BW2I	Yelp Inc.	104.82
1961-12-31	US6BW2I	Yelp Inc.	105.65
1962-01-31	US6BW2I	Yelp Inc.	100.89
1962-02-28	US6BW2I	Yelp Inc.	98.15
1962-03-31	US6BW2I	Yelp Inc.	102.67
1962-04-30	US6BW2I	Yelp Inc.	101.64
1962-05-31	US6BW2I	Yelp Inc.	101.86
1962-06-30	US6BW2I	Yelp Inc.	99.9
1962-07-31	US6BW2I	Yelp Inc.	104.17
1962-08-31	US6BW2I	Yelp Inc.	105.91
1962-09-30	US6BW2I	Yelp Inc.	105.28
1962-10-31	US6BW2I	Yelp Inc.	106.95
1962-11-30	US6BW2I	Yelp Inc.	108.95
1962-12-31	US6BW2I	Yelp Inc.	112.55
1963-01-31	US6BW2I	Yelp Inc.	115.46
1963-02-28	US6BW2I	Yelp Inc.	112.46
1963-03-31	US6BW2I	Yelp Inc.	112.96
1963-04-30	US6BW2I	Yelp Inc.	115.82
1963-05-31	US6BW2I	Yelp Inc.	114.49
1963-06-30	US6BW2I	Yelp Inc.	116.21
1963-07-31	US6BW2I	Yelp Inc.	114.94
1963-08-31	US6BW2I	Yelp Inc.	109.38
1963-09-30	US6BW2I	Yelp Inc.	110.47
1963-10-31	US6BW2I	Yelp Inc.	109.89
1963-11-30	US6BW2I	Yelp Inc.	113.45
1963-12-31	US6BW2I	Yelp Inc.	111.64
1964-01-31	US6BW2I	Yelp Inc.	114.28
1964-02-29	US6BW2I	Yelp Inc.	111.83
1964-03-31	US6BW2I	Yelp Inc.	110.76
1964-04-30	US6BW2I	Yelp Inc.	112.29
1964-05-31	US6BW2I	Yelp Inc.	113.42
1964-06-30	US6BW2I	Yelp Inc.	109.32
1964-07-31	US6BW2I	Yelp Inc.	110.77
1964-08-31	US6BW2I	Yelp Inc.	109.15
1964-09-30	US6BW2I	Yelp Inc.	109.49
1964-10-31	US6BW2I	Yelp Inc.	102.55
1964-11-30	US6BW2I	Yelp Inc.	104.36
1964-12-31	US6BW2I	Yelp Inc.	104.4
1965-01-31	US6BW2I	Yelp Inc.	105.88
1965-02-28	US6BW2I	Yelp Inc.	104.07
1965-03-31	US6BW2I	Yelp Inc.	98.04
1965-04-30	US6BW2I	Yelp Inc.	94.43
1965-05-31	US6BW2I	Yelp Inc.	92.65
1965-06-30	US6BW2I	Yelp Inc.	92.91
1965-07-31	US6BW2I	Yelp Inc.	84.92
1965-08-31	US6BW2I	Yelp Inc.	87.65
1965-09-30	US6BW2I	Yelp Inc.	94.65
1965-10-31	US6BW2I	Yelp Inc.	96.45
1965-11-30	US6BW2I	Yelp Inc.	94.11
1965-12-31	US6BW2I	Yelp Inc.	90.48
1966-01-31	US6BW2I	Yelp Inc.	90.43
1966-02-28	US6BW2I	Yelp Inc.	88.42
1966-03-31	US6BW2I	Yelp Inc.	85.74
1966-04-30	US6BW2I	Yelp Inc.	85.67
1966-05-31	US6BW2I	Yelp Inc.	85.8
1966-06-30	US6BW2I	Yelp Inc.	81.09
1966-07-31	US6BW2I	Yelp Inc.	82.37
1966-08-31	US6BW2I	Yelp Inc.	76.64
1966-09-30	US6BW2I	Yelp Inc.	77.51
1966-10-31	US6BW2I	Yelp Inc.	75.98
1966-11-30	US6BW2I	Yelp Inc.	73.34
1966-12-31	US6BW2I	Yelp Inc.	75.66
1967-01-31	US6BW2I	Yelp Inc.	69.72
1967-02-28	US6BW2I	Yelp Inc.	72.48
