Date	Company Code	Company Name	Stock Price
1959-01-31	USWFUG9	Zara	103.2
1959-02-28	USWFUG9	Zara	108.91
1959-03-31	USWFUG9	Zara	111.32
1959-04-30	USWFUG9	Zara	111.36
1959-05-31	USWFUG9	Zara	106.29
1959-06-30	USWFUG9	Zara	99.13
1959-07-31	USWFUG9	Zara	92.82
1959-08-31	USWFUG9	Zara	87.36
1959-09-30	USWFUG9	Zara	83.07
1959-10-31	USWFUG9	Zara	82.54
1959-11-30	USWFUG9	Zara	85.78
1959-12-31	USWFUG9	Zara	84.63
1960-01-31	USWFUG9	Zara	86.47
1960-02-29	USWFUG9	Zara	85.82
1960-03-31	USWFUG9	Zara	86.22
1960-04-30	USWFUG9	Zara	93.21
1960-05-31	USWFUG9	Zara	88.42
1960-06-30	USWFUG9	Zara	86.83
1960-07-31	USWFUG9	Zara	83.58
1960-08-31	USWFUG9	Zara	86.69
1960-09-30	USWFUG9	Zara	81.32
1960-10-31	USWFUG9	Zara	86.44
1960-11-30	USWFUG9	Zara	87.48
1960-12-31	USWFUG9	Zara	90.11
1961-01-31	USWFUG9	Zara	94.76
1961-02-28	USWFUG9	Zara	95.57
1961-03-31	USWFUG9	Zara	89.29
1961-04-30	USWFUG9	Zara	80.94
1961-05-31	USWFUG9	Zara	82.1
1961-06-30	USWFUG9	Zara	77.78
1961-07-31	USWFUG9	Zara	81.28
1961-08-31	USWFUG9	Zara	74.27
1961-09-30	USWFUG9	Zara	68.14
1961-10-31	USWFUG9	Zara	64.85
1961-11-30	USWFUG9	Zara	71.75
1961-12-31	USWFUG9	Zara	69.25
1962-01-31	USWFUG9	Zara	71.01
1962-02-28	USWFUG9	Zara	68.33
1962-03-31	USWFUG9	Zara	68.11
1962-04-30	USWFUG9	Zara	66.76
1962-05-31	USWFUG9	Zara	60.71
1962-06-30	USWFUG9	Zara	60.72
1962-07-31	USWFUG9	Zara	66.46
1962-08-31	USWFUG9	Zara	66.46
1962-09-30	USWFUG9	Zara	70.19
1962-10-31	USWFUG9	Zara	71.83
1962-11-30	USWFUG9	Zara	64.31
1962-12-31	USWFUG9	Zara	62.853017933649625
1963-01-31	USWFUG9	Zara	61.04
1963-02-28	USWFUG9	Zara	61.96908706594524
1963-03-31	USWFUG9	Zara	65.12
1963-04-30	USWFUG9	Zara	64.05
1963-05-31	USWFUG9	Zara	68.65
1963-06-30	USWFUG9	Zara	66.57
1963-07-31	USWFUG9	Zara	63.86
1963-08-31	USWFUG9	Zara	60.49
1963-09-30	USWFUG9	Zara	60.03
1963-10-31	USWFUG9	Zara	62.19276538958994
1963-11-30	USWFUG9	Zara	64.55
1963-12-31	USWFUG9	Zara	62.94
1964-01-31	USWFUG9	Zara	61.21760994788777
1964-02-29	USWFUG9	Zara	60.11
1964-03-31	USWFUG9	Zara	60.95
1964-04-30	USWFUG9	Zara	62.093465128893996
1964-05-31	USWFUG9	Zara	62.9
1964-06-30	USWFUG9	Zara	62.53
1964-07-31	USWFUG9	Zara	61.360982015453416
1964-08-31	USWFUG9	Zara	62.10010218466589
1964-09-30	USWFUG9	Zara	65.63
1964-10-31	USWFUG9	Zara	62.76855290043267
1964-11-30	USWFUG9	Zara	65.96
1964-12-31	USWFUG9	Zara	64.02
1965-01-31	USWFUG9	Zara	68.59
1965-02-28	USWFUG9	Zara	62.03
1965-03-31	USWFUG9	Zara	62.0
1965-04-30	USWFUG9	Zara	63.44
1965-05-31	USWFUG9	Zara	63.12
1965-06-30	USWFUG9	Zara	61.520916282443764
1965-07-31	USWFUG9	Zara	64.48
1965-08-31	USWFUG9	Zara	70.41
1965-09-30	USWFUG9	Zara	70.98
1965-10-31	USWFUG9	Zara	61.64
1965-11-30	USWFUG9	Zara	62.373923397049566
1965-12-31	USWFUG9	Zara	63.87
1966-01-31	USWFUG9	Zara	60.98
1966-02-28	USWFUG9	Zara	62.96847268695771
1966-03-31	USWFUG9	Zara	60.38
1966-04-30	USWFUG9	Zara	65.54
1966-05-31	USWFUG9	Zara	66.65
1966-06-30	USWFUG9	Zara	69.96
1966-07-31	USWFUG9	Zara	71.57
1966-08-31	USWFUG9	Zara	69.95
1966-09-30	USWFUG9	Zara	65.64
1966-10-31	USWFUG9	Zara	62.25
1966-11-30	USWFUG9	Zara	64.02
1966-12-31	USWFUG9	Zara	61.12
1967-01-31	USWFUG9	Zara	62.872075940438734
1967-02-28	USWFUG9	Zara	60.48
1967-03-31	USWFUG9	Zara	61.054365280904705
1967-04-30	USWFUG9	Zara	62.54267627483719
1967-05-31	USWFUG9	Zara	62.07
1967-06-30	USWFUG9	Zara	61.85305792237719
1967-07-31	USWFUG9	Zara	62.5159044502857
1967-08-31	USWFUG9	Zara	65.17
1967-09-30	USWFUG9	Zara	67.59
1967-10-31	USWFUG9	Zara	67.95
1967-11-30	USWFUG9	Zara	62.34
1967-12-31	USWFUG9	Zara	61.887596561853385
1968-01-31	USWFUG9	Zara	61.64370779605422
1968-02-29	USWFUG9	Zara	62.95
1968-03-31	USWFUG9	Zara	62.68
1968-04-30	USWFUG9	Zara	63.2
1968-05-31	USWFUG9	Zara	64.64
1968-06-30	USWFUG9	Zara	67.01
1968-07-31	USWFUG9	Zara	64.01
1968-08-31	USWFUG9	Zara	65.55
1968-09-30	USWFUG9	Zara	70.96
1968-10-31	USWFUG9	Zara	66.62
1968-11-30	USWFUG9	Zara	66.11
1968-12-31	USWFUG9	Zara	66.57
1969-01-31	USWFUG9	Zara	65.06
1969-02-28	USWFUG9	Zara	71.01
1969-03-31	USWFUG9	Zara	70.64
1969-04-30	USWFUG9	Zara	70.27
1969-05-31	USWFUG9	Zara	69.35
1969-06-30	USWFUG9	Zara	69.72
1969-07-31	USWFUG9	Zara	77.25
1969-08-31	USWFUG9	Zara	79.29
1969-09-30	USWFUG9	Zara	75.02
1969-10-31	USWFUG9	Zara	68.75
1969-11-30	USWFUG9	Zara	61.26
1969-12-31	USWFUG9	Zara	62.28
1970-01-31	USWFUG9	Zara	66.42
1970-02-28	USWFUG9	Zara	60.87
1970-03-31	USWFUG9	Zara	61.13448004796455
1970-04-30	USWFUG9	Zara	62.47
1970-05-31	USWFUG9	Zara	61.6
1970-06-30	USWFUG9	Zara	63.53
1970-07-31	USWFUG9	Zara	61.43126627865242
1970-08-31	USWFUG9	Zara	63.11
1970-09-30	USWFUG9	Zara	62.92
1970-10-31	USWFUG9	Zara	63.23
1970-11-30	USWFUG9	Zara	60.54
1970-12-31	USWFUG9	Zara	62.62665894945447
1971-01-31	USWFUG9	Zara	62.31520054107366
1971-02-28	USWFUG9	Zara	61.88013597866958
1971-03-31	USWFUG9	Zara	67.75
1971-04-30	USWFUG9	Zara	65.4
1971-05-31	USWFUG9	Zara	64.71
1971-06-30	USWFUG9	Zara	70.08
1971-07-31	USWFUG9	Zara	74.19
1971-08-31	USWFUG9	Zara	74.97
1971-09-30	USWFUG9	Zara	75.26
1971-10-31	USWFUG9	Zara	75.61
1971-11-30	USWFUG9	Zara	76.49
1971-12-31	USWFUG9	Zara	72.64
1972-01-31	USWFUG9	Zara	72.35
1972-02-29	USWFUG9	Zara	72.09
1972-03-31	USWFUG9	Zara	67.58
1972-04-30	USWFUG9	Zara	64.21
1972-05-31	USWFUG9	Zara	61.878592696900874
1972-06-30	USWFUG9	Zara	63.85
1972-07-31	USWFUG9	Zara	68.0
1972-08-31	USWFUG9	Zara	68.67
1972-09-30	USWFUG9	Zara	71.02
1972-10-31	USWFUG9	Zara	71.58
1972-11-30	USWFUG9	Zara	67.78
1972-12-31	USWFUG9	Zara	66.3
1973-01-31	USWFUG9	Zara	67.39
1973-02-28	USWFUG9	Zara	70.44
1973-03-31	USWFUG9	Zara	73.92
1973-04-30	USWFUG9	Zara	78.67
1973-05-31	USWFUG9	Zara	77.19
