Date	Company Code	Company Name	Stock Price
1959-01-31	USUNANK	ZoomInfo Technologies Inc.	92.92
1959-02-28	USUNANK	ZoomInfo Technologies Inc.	85.83
1959-03-31	USUNANK	ZoomInfo Technologies Inc.	92.82
1959-04-30	USUNANK	ZoomInfo Technologies Inc.	87.01
1959-05-31	USUNANK	ZoomInfo Technologies Inc.	90.21
1959-06-30	USUNANK	ZoomInfo Technologies Inc.	96.06
1959-07-31	USUNANK	ZoomInfo Technologies Inc.	91.26
1959-08-31	USUNANK	ZoomInfo Technologies Inc.	88.75
1959-09-30	USUNANK	ZoomInfo Technologies Inc.	90.23
1959-10-31	USUNANK	ZoomInfo Technologies Inc.	85.7
1959-11-30	USUNANK	ZoomInfo Technologies Inc.	82.39
1959-12-31	USUNANK	ZoomInfo Technologies Inc.	79.96
1960-01-31	USUNANK	ZoomInfo Technologies Inc.	75.19
1960-02-29	USUNANK	ZoomInfo Technologies Inc.	74.26
1960-03-31	USUNANK	ZoomInfo Technologies Inc.	72.93
1960-04-30	USUNANK	ZoomInfo Technologies Inc.	74.49
1960-05-31	USUNANK	ZoomInfo Technologies Inc.	78.61
1960-06-30	USUNANK	ZoomInfo Technologies Inc.	81.81
1960-07-31	USUNANK	ZoomInfo Technologies Inc.	85.28
1960-08-31	USUNANK	ZoomInfo Technologies Inc.	83.81
1960-09-30	USUNANK	ZoomInfo Technologies Inc.	91.29
1960-10-31	USUNANK	ZoomInfo Technologies Inc.	92.87
1960-11-30	USUNANK	ZoomInfo Technologies Inc.	95.69
1960-12-31	USUNANK	ZoomInfo Technologies Inc.	94.56
1961-01-31	USUNANK	ZoomInfo Technologies Inc.	91.97
1961-02-28	USUNANK	ZoomInfo Technologies Inc.	89.8
1961-03-31	USUNANK	ZoomInfo Technologies Inc.	91.76
1961-04-30	USUNANK	ZoomInfo Technologies Inc.	95.44
1961-05-31	USUNANK	ZoomInfo Technologies Inc.	100.16
1961-06-30	USUNANK	ZoomInfo Technologies Inc.	98.77
1961-07-31	USUNANK	ZoomInfo Technologies Inc.	99.88
1961-08-31	USUNANK	ZoomInfo Technologies Inc.	100.81
1961-09-30	USUNANK	ZoomInfo Technologies Inc.	96.07
1961-10-31	USUNANK	ZoomInfo Technologies Inc.	99.27
1961-11-30	USUNANK	ZoomInfo Technologies Inc.	99.35
1961-12-31	USUNANK	ZoomInfo Technologies Inc.	99.85
1962-01-31	USUNANK	ZoomInfo Technologies Inc.	93.84
1962-02-28	USUNANK	ZoomInfo Technologies Inc.	95.67
1962-03-31	USUNANK	ZoomInfo Technologies Inc.	93.48
1962-04-30	USUNANK	ZoomInfo Technologies Inc.	87.75
1962-05-31	USUNANK	ZoomInfo Technologies Inc.	90.34
1962-06-30	USUNANK	ZoomInfo Technologies Inc.	93.76
1962-07-31	USUNANK	ZoomInfo Technologies Inc.	102.65
1962-08-31	USUNANK	ZoomInfo Technologies Inc.	103.69
1962-09-30	USUNANK	ZoomInfo Technologies Inc.	100.2
1962-10-31	USUNANK	ZoomInfo Technologies Inc.	99.48
1962-11-30	USUNANK	ZoomInfo Technologies Inc.	103.64
1962-12-31	USUNANK	ZoomInfo Technologies Inc.	97.24
1963-01-31	USUNANK	ZoomInfo Technologies Inc.	93.14
1963-02-28	USUNANK	ZoomInfo Technologies Inc.	92.05
1963-03-31	USUNANK	ZoomInfo Technologies Inc.	86.64
1963-04-30	USUNANK	ZoomInfo Technologies Inc.	89.05
1963-05-31	USUNANK	ZoomInfo Technologies Inc.	86.39
1963-06-30	USUNANK	ZoomInfo Technologies Inc.	86.65
1963-07-31	USUNANK	ZoomInfo Technologies Inc.	89.67
1963-08-31	USUNANK	ZoomInfo Technologies Inc.	90.67
1963-09-30	USUNANK	ZoomInfo Technologies Inc.	92.19
1963-10-31	USUNANK	ZoomInfo Technologies Inc.	93.62
1963-11-30	USUNANK	ZoomInfo Technologies Inc.	85.49
1963-12-31	USUNANK	ZoomInfo Technologies Inc.	88.61
1964-01-31	USUNANK	ZoomInfo Technologies Inc.	88.99
1964-02-29	USUNANK	ZoomInfo Technologies Inc.	84.77
1964-03-31	USUNANK	ZoomInfo Technologies Inc.	83.86
1964-04-30	USUNANK	ZoomInfo Technologies Inc.	81.9
