Date	Company Code	Company Name	Stock Price
1959-01-31	USICGQH	Zoom Video Communications Inc.	108.76
1959-02-28	USICGQH	Zoom Video Communications Inc.	110.51
1959-03-31	USICGQH	Zoom Video Communications Inc.	117.62
1959-04-30	USICGQH	Zoom Video Communications Inc.	120.89
1959-05-31	USICGQH	Zoom Video Communications Inc.	126.44
1959-06-30	USICGQH	Zoom Video Communications Inc.	123.02
1959-07-31	USICGQH	Zoom Video Communications Inc.	117.44
1959-08-31	USICGQH	Zoom Video Communications Inc.	119.7
1959-09-30	USICGQH	Zoom Video Communications Inc.	121.34
1959-10-31	USICGQH	Zoom Video Communications Inc.	115.66
1959-11-30	USICGQH	Zoom Video Communications Inc.	114.49
1959-12-31	USICGQH	Zoom Video Communications Inc.	111.23
1960-01-31	USICGQH	Zoom Video Communications Inc.	117.15
1960-02-29	USICGQH	Zoom Video Communications Inc.	115.35
1960-03-31	USICGQH	Zoom Video Communications Inc.	112.31
1960-04-30	USICGQH	Zoom Video Communications Inc.	112.42
1960-05-31	USICGQH	Zoom Video Communications Inc.	114.78
1960-06-30	USICGQH	Zoom Video Communications Inc.	117.67
1960-07-31	USICGQH	Zoom Video Communications Inc.	119.2
1960-08-31	USICGQH	Zoom Video Communications Inc.	123.19
1960-09-30	USICGQH	Zoom Video Communications Inc.	124.6
1960-10-31	USICGQH	Zoom Video Communications Inc.	125.54
1960-11-30	USICGQH	Zoom Video Communications Inc.	119.86
1960-12-31	USICGQH	Zoom Video Communications Inc.	121.35
1961-01-31	USICGQH	Zoom Video Communications Inc.	125.13
1961-02-28	USICGQH	Zoom Video Communications Inc.	120.27
1961-03-31	USICGQH	Zoom Video Communications Inc.	116.9
1961-04-30	USICGQH	Zoom Video Communications Inc.	117.0
1961-05-31	USICGQH	Zoom Video Communications Inc.	119.63
1961-06-30	USICGQH	Zoom Video Communications Inc.	117.64
1961-07-31	USICGQH	Zoom Video Communications Inc.	120.58
1961-08-31	USICGQH	Zoom Video Communications Inc.	113.43
1961-09-30	USICGQH	Zoom Video Communications Inc.	114.13
1961-10-31	USICGQH	Zoom Video Communications Inc.	118.91
1961-11-30	USICGQH	Zoom Video Communications Inc.	115.4
1961-12-31	USICGQH	Zoom Video Communications Inc.	114.01
1962-01-31	USICGQH	Zoom Video Communications Inc.	119.19
1962-02-28	USICGQH	Zoom Video Communications Inc.	121.92
1962-03-31	USICGQH	Zoom Video Communications Inc.	125.59
1962-04-30	USICGQH	Zoom Video Communications Inc.	126.77
1962-05-31	USICGQH	Zoom Video Communications Inc.	126.76
1962-06-30	USICGQH	Zoom Video Communications Inc.	126.3
1962-07-31	USICGQH	Zoom Video Communications Inc.	121.65
1962-08-31	USICGQH	Zoom Video Communications Inc.	128.2
1962-09-30	USICGQH	Zoom Video Communications Inc.	125.21
1962-10-31	USICGQH	Zoom Video Communications Inc.	124.15
1962-11-30	USICGQH	Zoom Video Communications Inc.	128.47
1962-12-31	USICGQH	Zoom Video Communications Inc.	124.78
1963-01-31	USICGQH	Zoom Video Communications Inc.	129.64
1963-02-28	USICGQH	Zoom Video Communications Inc.	125.27
1963-03-31	USICGQH	Zoom Video Communications Inc.	122.55
1963-04-30	USICGQH	Zoom Video Communications Inc.	117.3
1963-05-31	USICGQH	Zoom Video Communications Inc.	120.62
1963-06-30	USICGQH	Zoom Video Communications Inc.	126.84
1963-07-31	USICGQH	Zoom Video Communications Inc.	126.32
1963-08-31	USICGQH	Zoom Video Communications Inc.	124.81
1963-09-30	USICGQH	Zoom Video Communications Inc.	123.39
1963-10-31	USICGQH	Zoom Video Communications Inc.	126.87
1963-11-30	USICGQH	Zoom Video Communications Inc.	120.13
1963-12-31	USICGQH	Zoom Video Communications Inc.	119.43
1964-01-31	USICGQH	Zoom Video Communications Inc.	118.95
1964-02-29	USICGQH	Zoom Video Communications Inc.	119.25
1964-03-31	USICGQH	Zoom Video Communications Inc.	112.04
1964-04-30	USICGQH	Zoom Video Communications Inc.	110.04
1964-05-31	USICGQH	Zoom Video Communications Inc.	102.77
1964-06-30	USICGQH	Zoom Video Communications Inc.	101.21
1964-07-31	USICGQH	Zoom Video Communications Inc.	99.72
1964-08-31	USICGQH	Zoom Video Communications Inc.	96.85
1964-09-30	USICGQH	Zoom Video Communications Inc.	98.48
1964-10-31	USICGQH	Zoom Video Communications Inc.	101.0
1964-11-30	USICGQH	Zoom Video Communications Inc.	94.48
1964-12-31	USICGQH	Zoom Video Communications Inc.	96.67
1965-01-31	USICGQH	Zoom Video Communications Inc.	92.27
1965-02-28	USICGQH	Zoom Video Communications Inc.	90.07
1965-03-31	USICGQH	Zoom Video Communications Inc.	94.11
1965-04-30	USICGQH	Zoom Video Communications Inc.	88.45
1965-05-31	USICGQH	Zoom Video Communications Inc.	87.74
1965-06-30	USICGQH	Zoom Video Communications Inc.	79.7
1965-07-31	USICGQH	Zoom Video Communications Inc.	82.94
1965-08-31	USICGQH	Zoom Video Communications Inc.	77.4
1965-09-30	USICGQH	Zoom Video Communications Inc.	78.06
1965-10-31	USICGQH	Zoom Video Communications Inc.	77.55
1965-11-30	USICGQH	Zoom Video Communications Inc.	74.04
1965-12-31	USICGQH	Zoom Video Communications Inc.	74.95
1966-01-31	USICGQH	Zoom Video Communications Inc.	71.72
1966-02-28	USICGQH	Zoom Video Communications Inc.	77.07
1966-03-31	USICGQH	Zoom Video Communications Inc.	80.71
1966-04-30	USICGQH	Zoom Video Communications Inc.	78.14
1966-05-31	USICGQH	Zoom Video Communications Inc.	78.17
1966-06-30	USICGQH	Zoom Video Communications Inc.	80.53
1966-07-31	USICGQH	Zoom Video Communications Inc.	86.35
1966-08-31	USICGQH	Zoom Video Communications Inc.	86.49
1966-09-30	USICGQH	Zoom Video Communications Inc.	77.79
1966-10-31	USICGQH	Zoom Video Communications Inc.	70.73
1966-11-30	USICGQH	Zoom Video Communications Inc.	70.19
1966-12-31	USICGQH	Zoom Video Communications Inc.	73.58
1967-01-31	USICGQH	Zoom Video Communications Inc.	74.15
1967-02-28	USICGQH	Zoom Video Communications Inc.	75.92
1967-03-31	USICGQH	Zoom Video Communications Inc.	77.24
1967-04-30	USICGQH	Zoom Video Communications Inc.	79.87
1967-05-31	USICGQH	Zoom Video Communications Inc.	83.29
1967-06-30	USICGQH	Zoom Video Communications Inc.	79.89
1967-07-31	USICGQH	Zoom Video Communications Inc.	76.12
1967-08-31	USICGQH	Zoom Video Communications Inc.	75.14
1967-09-30	USICGQH	Zoom Video Communications Inc.	74.85
1967-10-31	USICGQH	Zoom Video Communications Inc.	75.56
1967-11-30	USICGQH	Zoom Video Communications Inc.	70.81
1967-12-31	USICGQH	Zoom Video Communications Inc.	78.89
1968-01-31	USICGQH	Zoom Video Communications Inc.	79.02
1968-02-29	USICGQH	Zoom Video Communications Inc.	78.55
1968-03-31	USICGQH	Zoom Video Communications Inc.	78.19
1968-04-30	USICGQH	Zoom Video Communications Inc.	75.42
1968-05-31	USICGQH	Zoom Video Communications Inc.	75.71
1968-06-30	USICGQH	Zoom Video Communications Inc.	73.01
1968-07-31	USICGQH	Zoom Video Communications Inc.	76.84
1968-08-31	USICGQH	Zoom Video Communications Inc.	72.84
1968-09-30	USICGQH	Zoom Video Communications Inc.	77.51
1968-10-31	USICGQH	Zoom Video Communications Inc.	80.96
1968-11-30	USICGQH	Zoom Video Communications Inc.	78.04
1968-12-31	USICGQH	Zoom Video Communications Inc.	79.57
1969-01-31	USICGQH	Zoom Video Communications Inc.	78.9
1969-02-28	USICGQH	Zoom Video Communications Inc.	75.86
1969-03-31	USICGQH	Zoom Video Communications Inc.	75.52
1969-04-30	USICGQH	Zoom Video Communications Inc.	69.72
1969-05-31	USICGQH	Zoom Video Communications Inc.	70.5
1969-06-30	USICGQH	Zoom Video Communications Inc.	69.21
1969-07-31	USICGQH	Zoom Video Communications Inc.	76.43
1969-08-31	USICGQH	Zoom Video Communications Inc.	81.15
1969-09-30	USICGQH	Zoom Video Communications Inc.	82.55
1969-10-31	USICGQH	Zoom Video Communications Inc.	79.75
1969-11-30	USICGQH	Zoom Video Communications Inc.	85.45
1969-12-31	USICGQH	Zoom Video Communications Inc.	85.59
1970-01-31	USICGQH	Zoom Video Communications Inc.	93.09
1970-02-28	USICGQH	Zoom Video Communications Inc.	90.85
1970-03-31	USICGQH	Zoom Video Communications Inc.	85.55
1970-04-30	USICGQH	Zoom Video Communications Inc.	78.87
1970-05-31	USICGQH	Zoom Video Communications Inc.	82.09
1970-06-30	USICGQH	Zoom Video Communications Inc.	84.33
1970-07-31	USICGQH	Zoom Video Communications Inc.	82.4
1970-08-31	USICGQH	Zoom Video Communications Inc.	83.8
1970-09-30	USICGQH	Zoom Video Communications Inc.	86.92
1970-10-31	USICGQH	Zoom Video Communications Inc.	79.83
1970-11-30	USICGQH	Zoom Video Communications Inc.	84.01
1970-12-31	USICGQH	Zoom Video Communications Inc.	83.14
1971-01-31	USICGQH	Zoom Video Communications Inc.	88.38
1971-02-28	USICGQH	Zoom Video Communications Inc.	87.54
1971-03-31	USICGQH	Zoom Video Communications Inc.	91.9
1971-04-30	USICGQH	Zoom Video Communications Inc.	89.56
1971-05-31	USICGQH	Zoom Video Communications Inc.	82.78
1971-06-30	USICGQH	Zoom Video Communications Inc.	82.21
1971-07-31	USICGQH	Zoom Video Communications Inc.	80.31
1971-08-31	USICGQH	Zoom Video Communications Inc.	79.28
